; Candidate 9297
; ADRP+ADD at VM 0xfffffff008a237a8 (fileoff 0x1a1f7a8): page=0x1fe876000 add_imm=0xe40

0xfffffff008a23728: fc0300aa  mov	x28, x0
0xfffffff008a2372c: 700240f9  ldr	x16, [x19]
0xfffffff008a23730: f10313aa  mov	x17, x19
0xfffffff008a23734: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a23738: 301ac1da  autda	x16, x17
0xfffffff008a2373c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a23740: 1002118b  add	x16, x16, x17
0xfffffff008a23744: 080240f9  ldr	x8, [x16]
0xfffffff008a23748: e90310aa  mov	x9, x16
0xfffffff008a2374c: e00313aa  mov	x0, x19
0xfffffff008a23750: 010080d2  mov	x1, #0
0xfffffff008a23754: f10309aa  mov	x17, x9
0xfffffff008a23758: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a2375c: 11093fd7  blraa	x8, x17
0xfffffff008a23760: 700240f9  ldr	x16, [x19]
0xfffffff008a23764: f10313aa  mov	x17, x19
0xfffffff008a23768: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2376c: 301ac1da  autda	x16, x17
0xfffffff008a23770: 113d80d2  mov	x17, #0x1e8
0xfffffff008a23774: 1002118b  add	x16, x16, x17
0xfffffff008a23778: 080240f9  ldr	x8, [x16]
0xfffffff008a2377c: e90310aa  mov	x9, x16
0xfffffff008a23780: e00313aa  mov	x0, x19
0xfffffff008a23784: 010080d2  mov	x1, #0
0xfffffff008a23788: f10309aa  mov	x17, x9
0xfffffff008a2378c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a23790: 11093fd7  blraa	x8, x17
0xfffffff008a23794: 54608052  mov	w20, #0x302
0xfffffff008a23798: f47301a9  stp	x20, x28, [sp, #0x10]
0xfffffff008a2379c: d543ffb0  adrp	x21, #0xfffffff00729c000
0xfffffff008a237a0: b5ca3e91  add	x21, x21, #0xfb2
0xfffffff008a237a4: e05700a9  stp	x0, x21, [sp]
0xfffffff008a237a8: a043ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a237ac: 00003991  add	x0, x0, #0xe40
0xfffffff008a237b0: 4181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a237b4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a237b8: e343ffb0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a237bc: 630c2091  add	x3, x3, #0x803
0xfffffff008a237c0: 02028052  mov	w2, #0x10
0xfffffff008a237c4: 5b3ee497  bl	#0xfffffff008333130
0xfffffff008a237c8: 700240f9  ldr	x16, [x19]
0xfffffff008a237cc: f10313aa  mov	x17, x19
0xfffffff008a237d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a237d4: 301ac1da  autda	x16, x17
0xfffffff008a237d8: f10310aa  mov	x17, x16
0xfffffff008a237dc: f147c1da  xpacd	x17
0xfffffff008a237e0: 1f0211eb  cmp	x16, x17
0xfffffff008a237e4: 40000054  b.eq	#0xfffffff008a237ec
0xfffffff008a237e8: 408e38d4  brk	#0xc472
0xfffffff008a237ec: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a237f0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a237f4: e00313aa  mov	x0, x19
0xfffffff008a237f8: 010080d2  mov	x1, #0
0xfffffff008a237fc: f10308aa  mov	x17, x8
0xfffffff008a23800: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a23804: 31093fd7  blraa	x9, x17
0xfffffff008a23808: f47301a9  stp	x20, x28, [sp, #0x10]
0xfffffff008a2380c: e05700a9  stp	x0, x21, [sp]
0xfffffff008a23810: c043ffb0  adrp	x0, #0xfffffff00729c000
0xfffffff008a23814: 00083f91  add	x0, x0, #0xfc2
0xfffffff008a23818: 3d000014  b	#0xfffffff008a2390c
0xfffffff008a2381c: 700240f9  ldr	x16, [x19]
0xfffffff008a23820: f10313aa  mov	x17, x19
0xfffffff008a23824: 31b4f9f2  movk	x17, #0xcda1, lsl #48
