; Candidate 5309
; ADRP+ADD at VM 0xfffffff0087e6468 (fileoff 0x17e2468): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e63e8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e63ec: fd430191  add	x29, sp, #0x50
0xfffffff0087e63f0: 600e8052  mov	w0, #0x73
0xfffffff0087e63f4: c1008052  mov	w1, #6
0xfffffff0087e63f8: f6540294  bl	#0xfffffff00887b7d0
0xfffffff0087e63fc: 60040034  cbz	w0, #0xfffffff0087e6488
0xfffffff0087e6400: 600e8052  mov	w0, #0x73
0xfffffff0087e6404: 05550294  bl	#0xfffffff00887b818
0xfffffff0087e6408: f40300aa  mov	x20, x0
0xfffffff0087e640c: 68370394  bl	#0xfffffff0088b41ac
0xfffffff0087e6410: f30300aa  mov	x19, x0
0xfffffff0087e6414: c0008052  mov	w0, #6
0xfffffff0087e6418: 0e550294  bl	#0xfffffff00887b850
0xfffffff0087e641c: 54010034  cbz	w20, #0xfffffff0087e6444
0xfffffff0087e6420: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6424: 088d3291  add	x8, x8, #0xca3
0xfffffff0087e6428: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e642c: 680e8052  mov	w8, #0x73
0xfffffff0087e6430: f32300a9  stp	x19, x8, [sp]
0xfffffff0087e6434: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e6438: 00243291  add	x0, x0, #0xc89
0xfffffff0087e643c: 0944d797  bl	#0xfffffff007db7460
0xfffffff0087e6440: 12000014  b	#0xfffffff0087e6488
0xfffffff0087e6444: 5a370394  bl	#0xfffffff0088b41ac
0xfffffff0087e6448: f30300aa  mov	x19, x0
0xfffffff0087e644c: c0008052  mov	w0, #6
0xfffffff0087e6450: 00550294  bl	#0xfffffff00887b850
0xfffffff0087e6454: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6458: 088d3291  add	x8, x8, #0xca3
0xfffffff0087e645c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e6460: 680e8052  mov	w8, #0x73
0xfffffff0087e6464: f32300a9  stp	x19, x8, [sp]
0xfffffff0087e6468: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e646c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e6470: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e6474: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e6478: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e647c: 63f01591  add	x3, x3, #0x57c
0xfffffff0087e6480: 02008052  mov	w2, #0
0xfffffff0087e6484: 2b33ed97  bl	#0xfffffff008333130
0xfffffff0087e6488: 2091ffd0  adrp	x0, #0xfffffff007a0c000
0xfffffff0087e648c: 00603391  add	x0, x0, #0xcd8
0xfffffff0087e6490: 19c0ed97  bl	#0xfffffff0083564f4
0xfffffff0087e6494: f30300aa  mov	x19, x0
0xfffffff0087e6498: e00000b4  cbz	x0, #0xfffffff0087e64b4
0xfffffff0087e649c: e00313aa  mov	x0, x19
0xfffffff0087e64a0: 01008052  mov	w1, #0
0xfffffff0087e64a4: 02038052  mov	w2, #0x18
0xfffffff0087e64a8: c699d597  bl	#0xfffffff007d4cbc0
0xfffffff0087e64ac: 16008052  mov	w22, #0
0xfffffff0087e64b0: 30000014  b	#0xfffffff0087e6570
0xfffffff0087e64b4: 600e8052  mov	w0, #0x73
0xfffffff0087e64b8: 81008052  mov	w1, #4
0xfffffff0087e64bc: c5540294  bl	#0xfffffff00887b7d0
0xfffffff0087e64c0: 60050034  cbz	w0, #0xfffffff0087e656c
0xfffffff0087e64c4: 600e8052  mov	w0, #0x73
0xfffffff0087e64c8: d4540294  bl	#0xfffffff00887b818
0xfffffff0087e64cc: f50300aa  mov	x21, x0
0xfffffff0087e64d0: 37370394  bl	#0xfffffff0088b41ac
0xfffffff0087e64d4: f40300aa  mov	x20, x0
0xfffffff0087e64d8: 80008052  mov	w0, #4
0xfffffff0087e64dc: dd540294  bl	#0xfffffff00887b850
0xfffffff0087e64e0: d5010034  cbz	w21, #0xfffffff0087e6518
0xfffffff0087e64e4: 6851ffb0  adrp	x8, #0xfffffff007213000
