; Candidate 4882
; ADRP+ADD at VM 0xfffffff0087cb6c8 (fileoff 0x17c76c8): page=0x1fea1e000 add_imm=0xe80

0xfffffff0087cb648: e0be0034  cbz	w0, #0xfffffff0087cce24
0xfffffff0087cb64c: 60008052  mov	w0, #3
0xfffffff0087cb650: 72c00294  bl	#0xfffffff00887b818
0xfffffff0087cb654: f40300aa  mov	x20, x0
0xfffffff0087cb658: d5a20394  bl	#0xfffffff0088b41ac
0xfffffff0087cb65c: f30300aa  mov	x19, x0
0xfffffff0087cb660: 80008052  mov	w0, #4
0xfffffff0087cb664: 7bc00294  bl	#0xfffffff00887b850
0xfffffff0087cb668: 14a00034  cbz	w20, #0xfffffff0087cca68
0xfffffff0087cb66c: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cb670: 08f92f91  add	x8, x8, #0xbfe
0xfffffff0087cb674: a99f8052  mov	w9, #0x4fd
0xfffffff0087cb678: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cb67c: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cb680: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cb684: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cb688: 68008052  mov	w8, #3
0xfffffff0087cb68c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cb690: 2052ff90  adrp	x0, #0xfffffff00720f000
0xfffffff0087cb694: 00dc2e91  add	x0, x0, #0xbb7
0xfffffff0087cb698: 42020014  b	#0xfffffff0087cbfa0
0xfffffff0087cb69c: b3735838  ldurb	w19, [x29, #-0x79]
0xfffffff0087cb6a0: c3a20394  bl	#0xfffffff0088b41ac
0xfffffff0087cb6a4: f40300aa  mov	x20, x0
0xfffffff0087cb6a8: e0008052  mov	w0, #7
0xfffffff0087cb6ac: 69c00294  bl	#0xfffffff00887b850
0xfffffff0087cb6b0: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cb6b4: 491f47b9  ldr	w9, [x26, #0x71c]
0xfffffff0087cb6b8: f32702a9  stp	x19, x9, [sp, #0x20]
0xfffffff0087cb6bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cb6c0: a80f8052  mov	w8, #0x7d
0xfffffff0087cb6c4: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cb6c8: e050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cb6cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cb6d0: e191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cb6d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cb6d8: 6353ffd0  adrp	x3, #0xfffffff007239000
0xfffffff0087cb6dc: 63b00d91  add	x3, x3, #0x36c
0xfffffff0087cb6e0: 02008052  mov	w2, #0
0xfffffff0087cb6e4: 939eed97  bl	#0xfffffff008333130
0xfffffff0087cb6e8: 68a30091  add	x8, x27, #0x28
0xfffffff0087cb6ec: 69874bb9  ldr	w9, [x27, #0xb84]
0xfffffff0087cb6f0: 090d098b  add	x9, x8, x9, lsl #3
0xfffffff0087cb6f4: 2a1141f9  ldr	x10, [x9, #0x220]
0xfffffff0087cb6f8: ca2200f9  str	x10, [x22, #0x40]
0xfffffff0087cb6fc: 293941f9  ldr	x9, [x9, #0x270]
0xfffffff0087cb700: c92600f9  str	x9, [x22, #0x48]
0xfffffff0087cb704: 696f4bb9  ldr	w9, [x27, #0xb6c]
0xfffffff0087cb708: 081d098b  add	x8, x8, x9, lsl #7
0xfffffff0087cb70c: 01010b91  add	x1, x8, #0x2c0
0xfffffff0087cb710: f30316aa  mov	x19, x22
0xfffffff0087cb714: b6c358b8  ldur	w22, [x29, #-0x74]
0xfffffff0087cb718: e20316aa  mov	x2, x22
0xfffffff0087cb71c: a9f8ff97  bl	#0xfffffff0087c99c0
0xfffffff0087cb720: 603311f9  str	x0, [x27, #0x2260]
0xfffffff0087cb724: a00400b4  cbz	x0, #0xfffffff0087cb7b8
0xfffffff0087cb728: a80359b8  ldur	w8, [x29, #-0x70]
0xfffffff0087cb72c: 091840b9  ldr	w9, [x0, #0x18]
0xfffffff0087cb730: 492b00b9  str	w9, [x26, #0x28]
0xfffffff0087cb734: 080c088b  add	x8, x0, x8, lsl #3
0xfffffff0087cb738: 083540f9  ldr	x8, [x8, #0x68]
0xfffffff0087cb73c: 680200f9  str	x8, [x19]
0xfffffff0087cb740: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff0087cb744: 685200b9  str	w8, [x19, #0x50]
