; Candidate 6758
; ADRP+ADD at VM 0xfffffff00883f61c (fileoff 0x183b61c): page=0x1fe9aa000 add_imm=0xe80

0xfffffff00883f59c: 400a8052  mov	w0, #0x52
0xfffffff00883f5a0: 9ef00094  bl	#0xfffffff00887b818
0xfffffff00883f5a4: f50300aa  mov	x21, x0
0xfffffff00883f5a8: 01d30194  bl	#0xfffffff0088b41ac
0xfffffff00883f5ac: f40300aa  mov	x20, x0
0xfffffff00883f5b0: c0008052  mov	w0, #6
0xfffffff00883f5b4: a7f00094  bl	#0xfffffff00887b850
0xfffffff00883f5b8: b5010034  cbz	w21, #0xfffffff00883f5ec
0xfffffff00883f5bc: 884efff0  adrp	x8, #0xfffffff007212000
0xfffffff00883f5c0: 08553591  add	x8, x8, #0xd55
0xfffffff00883f5c4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883f5c8: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883f5cc: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883f5d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883f5d4: 480a8052  mov	w8, #0x52
0xfffffff00883f5d8: f42300a9  stp	x20, x8, [sp]
0xfffffff00883f5dc: 804effb0  adrp	x0, #0xfffffff007210000
0xfffffff00883f5e0: 008c2c91  add	x0, x0, #0xb23
0xfffffff00883f5e4: 9fdfd597  bl	#0xfffffff007db7460
0xfffffff00883f5e8: 15000014  b	#0xfffffff00883f63c
0xfffffff00883f5ec: f0d20194  bl	#0xfffffff0088b41ac
0xfffffff00883f5f0: f40300aa  mov	x20, x0
0xfffffff00883f5f4: c0008052  mov	w0, #6
0xfffffff00883f5f8: 96f00094  bl	#0xfffffff00887b850
0xfffffff00883f5fc: 884efff0  adrp	x8, #0xfffffff007212000
0xfffffff00883f600: 08553591  add	x8, x8, #0xd55
0xfffffff00883f604: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883f608: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883f60c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883f610: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883f614: 480a8052  mov	w8, #0x52
0xfffffff00883f618: f42300a9  stp	x20, x8, [sp]
0xfffffff00883f61c: 404dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883f620: 00003a91  add	x0, x0, #0xe80
0xfffffff00883f624: 418effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883f628: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883f62c: 8350ff90  adrp	x3, #0xfffffff00724f000
0xfffffff00883f630: 63782291  add	x3, x3, #0x89e
0xfffffff00883f634: 02008052  mov	w2, #0
0xfffffff00883f638: beceeb97  bl	#0xfffffff008333130
0xfffffff00883f63c: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00883f640: 15008092  mov	x21, #-1
0xfffffff00883f644: f5d700a9  stp	x21, x21, [sp, #8]
0xfffffff00883f648: ff0300f9  str	xzr, [sp]
0xfffffff00883f64c: 01008012  mov	w1, #-1
0xfffffff00883f650: e2018052  mov	w2, #0xf
0xfffffff00883f654: 43038052  mov	w3, #0x1a
0xfffffff00883f658: 040080d2  mov	x4, #0
0xfffffff00883f65c: 050080d2  mov	x5, #0
0xfffffff00883f660: 06008052  mov	w6, #0
0xfffffff00883f664: 07008052  mov	w7, #0
0xfffffff00883f668: 95310094  bl	#0xfffffff00884bcbc
0xfffffff00883f66c: 74220291  add	x20, x19, #0x88
0xfffffff00883f670: e00314aa  mov	x0, x20
0xfffffff00883f674: e1018052  mov	w1, #0xf
0xfffffff00883f678: 42038052  mov	w2, #0x1a
0xfffffff00883f67c: 03008052  mov	w3, #0
0xfffffff00883f680: 7f8aff97  bl	#0xfffffff00882207c
0xfffffff00883f684: 68be40b9  ldr	w8, [x19, #0xbc]
0xfffffff00883f688: 1f050071  cmp	w8, #1
0xfffffff00883f68c: 4b010054  b.lt	#0xfffffff00883f6b4
0xfffffff00883f690: 160080d2  mov	x22, #0
0xfffffff00883f694: 77020391  add	x23, x19, #0xc0
0xfffffff00883f698: e07a76f8  ldr	x0, [x23, x22, lsl #3]
