; Candidate 1486
; ADRP+ADD at VM 0xfffffff008433f28 (fileoff 0x142ff28): page=0x1fec71000 add_imm=0xeae

0xfffffff008433ea8: c757fd97  bl	#0xfffffff008389dc4
0xfffffff008433eac: f40300aa  mov	x20, x0
0xfffffff008433eb0: 28ef00f0  adrp	x8, #0xfffffff00a21a000
0xfffffff008433eb4: 017142f9  ldr	x1, [x8, #0x4e0]
0xfffffff008433eb8: 28ef00f0  adrp	x8, #0xfffffff00a21a000
0xfffffff008433ebc: 027542f9  ldr	x2, [x8, #0x4e8]
0xfffffff008433ec0: 100040f9  ldr	x16, [x0]
0xfffffff008433ec4: f10300aa  mov	x17, x0
0xfffffff008433ec8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433ecc: 301ac1da  autda	x16, x17
0xfffffff008433ed0: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008433ed4: e90310aa  mov	x9, x16
0xfffffff008433ed8: f10309aa  mov	x17, x9
0xfffffff008433edc: d1b3f1f2  movk	x17, #0x8d9e, lsl #48
0xfffffff008433ee0: 11093fd7  blraa	x8, x17
0xfffffff008433ee4: e00314aa  mov	x0, x20
0xfffffff008433ee8: 018095d2  mov	x1, #0xac00
0xfffffff008433eec: 6184bff2  movk	x1, #0xfc23, lsl #16
0xfffffff008433ef0: c100c0f2  movk	x1, #6, lsl #32
0xfffffff008433ef4: 020080d2  mov	x2, #0
0xfffffff008433ef8: 921afd97  bl	#0xfffffff00837a940
0xfffffff008433efc: 600100b4  cbz	x0, #0xfffffff008433f28
0xfffffff008433f00: 100040f9  ldr	x16, [x0]
0xfffffff008433f04: f10300aa  mov	x17, x0
0xfffffff008433f08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433f0c: 301ac1da  autda	x16, x17
0xfffffff008433f10: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008433f14: e90310aa  mov	x9, x16
0xfffffff008433f18: f10309aa  mov	x17, x9
0xfffffff008433f1c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008433f20: 11093fd7  blraa	x8, x17
0xfffffff008433f24: 04000014  b	#0xfffffff008433f34
0xfffffff008433f28: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433f2c: 00b83a91  add	x0, x0, #0xeae
0xfffffff008433f30: 3c8cfc97  bl	#0xfffffff008357020
0xfffffff008433f34: 900240f9  ldr	x16, [x20]
0xfffffff008433f38: f10314aa  mov	x17, x20
0xfffffff008433f3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008433f40: 301ac1da  autda	x16, x17
0xfffffff008433f44: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008433f48: e90310aa  mov	x9, x16
0xfffffff008433f4c: e00314aa  mov	x0, x20
0xfffffff008433f50: f10309aa  mov	x17, x9
0xfffffff008433f54: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008433f58: 11093fd7  blraa	x8, x17
0xfffffff008433f5c: bcf000b0  adrp	x28, #0xfffffff00a248000
0xfffffff008433f60: 891343b9  ldr	w9, [x28, #0x310]
0xfffffff008433f64: 28050011  add	w8, w9, #1
0xfffffff008433f68: 881303b9  str	w8, [x28, #0x310]
0xfffffff008433f6c: 29010034  cbz	w9, #0xfffffff008433f90
0xfffffff008433f70: e80300f9  str	x8, [sp]
0xfffffff008433f74: 8063ffb0  adrp	x0, #0xfffffff0070a4000
0xfffffff008433f78: 00d03a91  add	x0, x0, #0xeb4
0xfffffff008433f7c: 298cfc97  bl	#0xfffffff008357020
0xfffffff008433f80: 00718252  mov	w0, #0x1388
0xfffffff008433f84: 01488852  mov	w1, #0x4240
0xfffffff008433f88: e101a072  movk	w1, #0xf, lsl #16
0xfffffff008433f8c: 4569e597  bl	#0xfffffff007d8e4a0
0xfffffff008433f90: e0a9ff90  adrp	x0, #0xfffffff00796f000
0xfffffff008433f94: 00201a91  add	x0, x0, #0x688
0xfffffff008433f98: 01508052  mov	w1, #0x280
0xfffffff008433f9c: 6200a052  mov	w2, #0x30000
0xfffffff008433fa0: 030080d2  mov	x3, #0
0xfffffff008433fa4: 57c9e597  bl	#0xfffffff007da6500
