; Candidate 8723
; ADRP+ADD at VM 0xfffffff0088bfec8 (fileoff 0x18bbec8): page=0x1fe92a000 add_imm=0xe80

0xfffffff0088bfe48: 811a40b9  ldr	w1, [x20, #0x18]
0xfffffff0088bfe4c: e2230191  add	x2, sp, #0x48
0xfffffff0088bfe50: e00313aa  mov	x0, x19
0xfffffff0088bfe54: 2f000094  bl	#0xfffffff0088bff10
0xfffffff0088bfe58: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff0088bfe5c: 1f01176b  cmp	w8, w23
0xfffffff0088bfe60: 40000054  b.eq	#0xfffffff0088bfe68
0xfffffff0088bfe64: 680a00b9  str	w8, [x19, #8]
0xfffffff0088bfe68: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff0088bfe6c: 1f01176b  cmp	w8, w23
0xfffffff0088bfe70: 61000054  b.ne	#0xfffffff0088bfe7c
0xfffffff0088bfe74: 00008052  mov	w0, #0
0xfffffff0088bfe78: 3ffdff17  b	#0xfffffff0088bf374
0xfffffff0088bfe7c: 00008052  mov	w0, #0
0xfffffff0088bfe80: 68f20cb9  str	w8, [x19, #0xcf0]
0xfffffff0088bfe84: 3cfdff17  b	#0xfffffff0088bf374
0xfffffff0088bfe88: c9d0ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bfe8c: f40300aa  mov	x20, x0
0xfffffff0088bfe90: 80008052  mov	w0, #4
0xfffffff0088bfe94: 6feefe97  bl	#0xfffffff00887b850
0xfffffff0088bfe98: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bfe9c: 080d1891  add	x8, x8, #0x603
0xfffffff0088bfea0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088bfea4: a8f98052  mov	w8, #0x7cd
0xfffffff0088bfea8: a94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088bfeac: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bfeb0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bfeb4: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bfeb8: 08113791  add	x8, x8, #0xdc4
0xfffffff0088bfebc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bfec0: e8088052  mov	w8, #0x47
0xfffffff0088bfec4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bfec8: 4049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bfecc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bfed0: 418affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088bfed4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bfed8: 234dfff0  adrp	x3, #0xfffffff007266000
0xfffffff0088bfedc: 63dc1d91  add	x3, x3, #0x777
0xfffffff0088bfee0: 02008052  mov	w2, #0
0xfffffff0088bfee4: 93cce997  bl	#0xfffffff008333130
0xfffffff0088bfee8: e4feff17  b	#0xfffffff0088bfa78
0xfffffff0088bfeec: d877d297  bl	#0xfffffff007d5de4c
0xfffffff0088bfef0: 40020000  udf	#0x240
0xfffffff0088bfef4: 64020000  udf	#0x264
0xfffffff0088bfef8: 0c000000  udf	#0xc
0xfffffff0088bfefc: 88020000  udf	#0x288
0xfffffff0088bff00: a4020000  udf	#0x2a4
0xfffffff0088bff04: a4020000  udf	#0x2a4
0xfffffff0088bff08: a4020000  udf	#0x2a4
0xfffffff0088bff0c: 0c000000  udf	#0xc
0xfffffff0088bff10: 5f2403d5  bti	c
0xfffffff0088bff14: 080080d2  mov	x8, #0
0xfffffff0088bff18: 099f8a52  mov	w9, #0x54f8
0xfffffff0088bff1c: 096869b8  ldr	w9, [x0, x9]
0xfffffff0088bff20: 0aa00d91  add	x10, x0, #0x368
0xfffffff0088bff24: eb0f8052  mov	w11, #0x7f
0xfffffff0088bff28: ec0f8012  mov	w12, #-0x80
0xfffffff0088bff2c: edfb9f52  mov	w13, #0xffdf
0xfffffff0088bff30: 6d00a072  movk	w13, #3, lsl #16
0xfffffff0088bff34: eeff8152  mov	w14, #0xfff
0xfffffff0088bff38: 0ffc9f52  mov	w15, #0xffe0
0xfffffff0088bff3c: 6fffbf72  movk	w15, #0xfffb, lsl #16
0xfffffff0088bff40: 10008252  mov	w16, #0x1000
0xfffffff0088bff44: 110080d2  mov	x17, #0
