; Candidate 16768
; ADRP+ADD at VM 0xfffffff009f51e80 (fileoff 0x2f4de80): page=0x1fd912000 add_imm=0xdf8

0xfffffff009f51e00: 4901090b  add	w9, w10, w9
0xfffffff009f51e04: e903292a  mvn	w9, w9
0xfffffff009f51e08: 088109aa  orr	x8, x8, x9, lsl #32
0xfffffff009f51e0c: c80200f9  str	x8, [x22]
0xfffffff009f51e10: a06640f9  ldr	x0, [x21, #0xc8]
0xfffffff009f51e14: 632240f9  ldr	x3, [x19, #0x40]
0xfffffff009f51e18: 610440f9  ldr	x1, [x3, #8]
0xfffffff009f51e1c: 086842f9  ldr	x8, [x0, #0x4d0]
0xfffffff009f51e20: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff009f51e24: 22008052  mov	w2, #1
0xfffffff009f51e28: 040080d2  mov	x4, #0
0xfffffff009f51e2c: 25008052  mov	w5, #1
0xfffffff009f51e30: 51699fd2  mov	x17, #0xfb4a
0xfffffff009f51e34: 11093fd7  blraa	x8, x17
0xfffffff009f51e38: a0220034  cbz	w0, #0xfffffff009f5228c
0xfffffff009f51e3c: f70300aa  mov	x23, x0
0xfffffff009f51e40: e00314aa  mov	x0, x20
0xfffffff009f51e44: 22677997  bl	#0xfffffff007dabacc
0xfffffff009f51e48: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff009f51e4c: 08020035  cbnz	w8, #0xfffffff009f51e8c
0xfffffff009f51e50: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f51e54: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f51e58: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f51e5c: 6a2240f9  ldr	x10, [x19, #0x40]
0xfffffff009f51e60: 4a0540f9  ldr	x10, [x10, #8]
0xfffffff009f51e64: eb0317aa  mov	x11, x23
0xfffffff009f51e68: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f51e6c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f51e70: 88c8fed0  adrp	x8, #0xfffffff007863000
0xfffffff009f51e74: 08fd2a91  add	x8, x8, #0xabf
0xfffffff009f51e78: a9918052  mov	w9, #0x48d
0xfffffff009f51e7c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f51e80: 80c8fed0  adrp	x0, #0xfffffff007863000
0xfffffff009f51e84: 00e03791  add	x0, x0, #0xdf8
0xfffffff009f51e88: 8fb6fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f51e8c: e8918052  mov	w8, #0x48f
0xfffffff009f51e90: 4b000014  b	#0xfffffff009f51fbc
0xfffffff009f51e94: 883240b9  ldr	w8, [x20, #0x30]
0xfffffff009f51e98: 682600b9  str	w8, [x19, #0x24]
0xfffffff009f51e9c: 883640b9  ldr	w8, [x20, #0x34]
0xfffffff009f51ea0: 68fe0529  stp	w8, wzr, [x19, #0x2c]
0xfffffff009f51ea4: 7f2a00b9  str	wzr, [x19, #0x28]
0xfffffff009f51ea8: 08008092  mov	x8, #-1
0xfffffff009f51eac: e84300f9  str	x8, [sp, #0x80]
0xfffffff009f51eb0: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009f51eb4: 018140b9  ldr	w1, [x8, #0x80]
0xfffffff009f51eb8: e2030291  add	x2, sp, #0x80
0xfffffff009f51ebc: e00315aa  mov	x0, x21
0xfffffff009f51ec0: 4594fd97  bl	#0xfffffff009eb6fd4
0xfffffff009f51ec4: c0090034  cbz	w0, #0xfffffff009f51ffc
0xfffffff009f51ec8: f70300aa  mov	x23, x0
0xfffffff009f51ecc: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff009f51ed0: e8010035  cbnz	w8, #0xfffffff009f51f0c
0xfffffff009f51ed4: a9224ca9  ldp	x9, x8, [x21, #0xc0]
0xfffffff009f51ed8: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f51edc: 6a0a40f9  ldr	x10, [x19, #0x10]
0xfffffff009f51ee0: eb0317aa  mov	x11, x23
0xfffffff009f51ee4: 298140b9  ldr	w9, [x9, #0x80]
0xfffffff009f51ee8: e92f02a9  stp	x9, x11, [sp, #0x20]
0xfffffff009f51eec: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff009f51ef0: 88c8fed0  adrp	x8, #0xfffffff007863000
0xfffffff009f51ef4: 08fd2a91  add	x8, x8, #0xabf
0xfffffff009f51ef8: 09728052  mov	w9, #0x390
0xfffffff009f51efc: e82700a9  stp	x8, x9, [sp]
