; Candidate 3913
; ADRP+ADD at VM 0xfffffff008773160 (fileoff 0x176f160): page=0x1fe9be000 add_imm=0xd90

0xfffffff0087730e0: ff030191  add	sp, sp, #0x40
0xfffffff0087730e4: ff0f5fd6  retab	
0xfffffff0087730e8: 5f2403d5  bti	c
0xfffffff0087730ec: 20008052  mov	w0, #1
0xfffffff0087730f0: c0035fd6  ret	
0xfffffff0087730f4: 7f2303d5  pacibsp	
0xfffffff0087730f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087730fc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008773100: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008773104: fd830091  add	x29, sp, #0x20
0xfffffff008773108: f40302aa  mov	x20, x2
0xfffffff00877310c: f30300aa  mov	x19, x0
0xfffffff008773110: 1610ff97  bl	#0xfffffff008737168
0xfffffff008773114: 7094ffb0  adrp	x16, #0xfffffff007a00000
0xfffffff008773118: 10422991  add	x16, x16, #0xa50
0xfffffff00877311c: 10420091  add	x16, x16, #0x10
0xfffffff008773120: f10300aa  mov	x17, x0
0xfffffff008773124: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008773128: 300ac1da  pacda	x16, x17
0xfffffff00877312c: 100000f9  str	x16, [x0]
0xfffffff008773130: 8094ffd0  adrp	x0, #0xfffffff007a05000
0xfffffff008773134: 00a00b91  add	x0, x0, #0x2e8
0xfffffff008773138: ef8cef97  bl	#0xfffffff0083564f4
0xfffffff00877313c: 01008052  mov	w1, #0
0xfffffff008773140: e20314aa  mov	x2, x20
0xfffffff008773144: 119dff97  bl	#0xfffffff00875a588
0xfffffff008773148: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00877314c: 344ffff0  adrp	x20, #0xfffffff00715a000
0xfffffff008773150: 943e0691  add	x20, x20, #0x18f
0xfffffff008773154: 600100b5  cbnz	x0, #0xfffffff008773180
0xfffffff008773158: a8078052  mov	w8, #0x3d
0xfffffff00877315c: f42300a9  stp	x20, x8, [sp]
0xfffffff008773160: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008773164: 00403691  add	x0, x0, #0xd90
0xfffffff008773168: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877316c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008773170: 834eff90  adrp	x3, #0xfffffff007143000
0xfffffff008773174: 63bc3e91  add	x3, x3, #0xfaf
0xfffffff008773178: 02008052  mov	w2, #0
0xfffffff00877317c: edffee97  bl	#0xfffffff008333130
0xfffffff008773180: 08008852  mov	w8, #0x4000
0xfffffff008773184: 689600f9  str	x8, [x19, #0x128]
0xfffffff008773188: a094ff90  adrp	x0, #0xfffffff007a07000
0xfffffff00877318c: 00201891  add	x0, x0, #0x608
0xfffffff008773190: 2100a052  mov	w1, #0x10000
0xfffffff008773194: 0f8fef97  bl	#0xfffffff008356dd0
0xfffffff008773198: 609200f9  str	x0, [x19, #0x120]
0xfffffff00877319c: 600100b5  cbnz	x0, #0xfffffff0087731c8
0xfffffff0087731a0: 88088052  mov	w8, #0x44
0xfffffff0087731a4: f42300a9  stp	x20, x8, [sp]
0xfffffff0087731a8: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087731ac: 00403691  add	x0, x0, #0xd90
0xfffffff0087731b0: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087731b4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087731b8: 834eff90  adrp	x3, #0xfffffff007143000
0xfffffff0087731bc: 63883f91  add	x3, x3, #0xfe2
0xfffffff0087731c0: 02008052  mov	w2, #0
0xfffffff0087731c4: dbffee97  bl	#0xfffffff008333130
0xfffffff0087731c8: 7f622339  strb	wzr, [x19, #0x8d8]
0xfffffff0087731cc: f40300f9  str	x20, [sp]
0xfffffff0087731d0: e04dffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087731d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087731d8: 4194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087731dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
