; Candidate 11391
; ADRP+ADD at VM 0xfffffff008f0a940 (fileoff 0x1f06940): page=0x1fec12000 add_imm=0xd30

0xfffffff008f0a8c0: 00008052  mov	w0, #0
0xfffffff008f0a8c4: 02000014  b	#0xfffffff008f0a8cc
0xfffffff008f0a8c8: 20008052  mov	w0, #1
0xfffffff008f0a8cc: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff008f0a8d0: 6960ffd0  adrp	x9, #0xfffffff007b18000
0xfffffff008f0a8d4: 29a144f9  ldr	x9, [x9, #0x940]
0xfffffff008f0a8d8: 290140f9  ldr	x9, [x9]
0xfffffff008f0a8dc: 3f0108eb  cmp	x9, x8
0xfffffff008f0a8e0: 01010054  b.ne	#0xfffffff008f0a900
0xfffffff008f0a8e4: fd7b4fa9  ldp	x29, x30, [sp, #0xf0]
0xfffffff008f0a8e8: f44f4ea9  ldp	x20, x19, [sp, #0xe0]
0xfffffff008f0a8ec: f6574da9  ldp	x22, x21, [sp, #0xd0]
0xfffffff008f0a8f0: f85f4ca9  ldp	x24, x23, [sp, #0xc0]
0xfffffff008f0a8f4: fa674ba9  ldp	x26, x25, [sp, #0xb0]
0xfffffff008f0a8f8: ff030491  add	sp, sp, #0x100
0xfffffff008f0a8fc: ff0f5fd6  retab	
0xfffffff008f0a900: 534db997  bl	#0xfffffff007d5de4c
0xfffffff008f0a904: 7f2303d5  pacibsp	
0xfffffff008f0a908: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f0a90c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a910: fd430091  add	x29, sp, #0x10
0xfffffff008f0a914: f30300aa  mov	x19, x0
0xfffffff008f0a918: 7060ffd0  adrp	x16, #0xfffffff007b18000
0xfffffff008f0a91c: 10022991  add	x16, x16, #0xa40
0xfffffff008f0a920: 10420091  add	x16, x16, #0x10
0xfffffff008f0a924: f10300aa  mov	x17, x0
0xfffffff008f0a928: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f0a92c: 300ac1da  pacda	x16, x17
0xfffffff008f0a930: 100000f9  str	x16, [x0]
0xfffffff008f0a934: 08048052  mov	w8, #0x20
0xfffffff008f0a938: 080800b9  str	w8, [x0, #8]
0xfffffff008f0a93c: 01fc01a9  stp	x1, xzr, [x0, #0x18]
0xfffffff008f0a940: 8060ffd0  adrp	x0, #0xfffffff007b1c000
0xfffffff008f0a944: 00c03491  add	x0, x0, #0xd30
0xfffffff008f0a948: 01208052  mov	w1, #0x100
0xfffffff008f0a94c: 2131d197  bl	#0xfffffff008356dd0
0xfffffff008f0a950: 600a00f9  str	x0, [x19, #0x10]
0xfffffff008f0a954: e00313aa  mov	x0, x19
0xfffffff008f0a958: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f0a95c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f0a960: ff0f5fd6  retab	
0xfffffff008f0a964: 7f2303d5  pacibsp	
0xfffffff008f0a968: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f0a96c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a970: fd430091  add	x29, sp, #0x10
0xfffffff008f0a974: f30300aa  mov	x19, x0
0xfffffff008f0a978: 7060ffd0  adrp	x16, #0xfffffff007b18000
0xfffffff008f0a97c: 10022991  add	x16, x16, #0xa40
0xfffffff008f0a980: 10420091  add	x16, x16, #0x10
0xfffffff008f0a984: f10300aa  mov	x17, x0
0xfffffff008f0a988: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f0a98c: 300ac1da  pacda	x16, x17
0xfffffff008f0a990: 100000f9  str	x16, [x0]
0xfffffff008f0a994: 080840b9  ldr	w8, [x0, #8]
0xfffffff008f0a998: 02f17dd3  lsl	x2, x8, #3
0xfffffff008f0a99c: 010840f9  ldr	x1, [x0, #0x10]
0xfffffff008f0a9a0: 1f0800f9  str	xzr, [x0, #0x10]
0xfffffff008f0a9a4: 8060ffd0  adrp	x0, #0xfffffff007b1c000
0xfffffff008f0a9a8: 00003691  add	x0, x0, #0xd80
0xfffffff008f0a9ac: 0f31d197  bl	#0xfffffff008356de8
0xfffffff008f0a9b0: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008f0a9b4: 400100b4  cbz	x0, #0xfffffff008f0a9dc
0xfffffff008f0a9b8: 100040f9  ldr	x16, [x0]
0xfffffff008f0a9bc: f10300aa  mov	x17, x0
