; Candidate 6118
; ADRP+ADD at VM 0xfffffff008815a00 (fileoff 0x1811a00): page=0x1fe9d4000 add_imm=0xe80

0xfffffff008815980: 00050034  cbz	w0, #0xfffffff008815a20
0xfffffff008815984: 800e8052  mov	w0, #0x74
0xfffffff008815988: a4970194  bl	#0xfffffff00887b818
0xfffffff00881598c: f70300aa  mov	x23, x0
0xfffffff008815990: 077a0294  bl	#0xfffffff0088b41ac
0xfffffff008815994: f60300aa  mov	x22, x0
0xfffffff008815998: 00018052  mov	w0, #8
0xfffffff00881599c: ad970194  bl	#0xfffffff00887b850
0xfffffff0088159a0: 97010034  cbz	w23, #0xfffffff0088159d0
0xfffffff0088159a4: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088159a8: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088159ac: 08392291  add	x8, x8, #0x88e
0xfffffff0088159b0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088159b4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088159b8: 880e8052  mov	w8, #0x74
0xfffffff0088159bc: e04fffd0  adrp	x0, #0xfffffff007213000
0xfffffff0088159c0: 00b43791  add	x0, x0, #0xded
0xfffffff0088159c4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088159c8: a686d697  bl	#0xfffffff007db7460
0xfffffff0088159cc: 15000014  b	#0xfffffff008815a20
0xfffffff0088159d0: f7790294  bl	#0xfffffff0088b41ac
0xfffffff0088159d4: f60300aa  mov	x22, x0
0xfffffff0088159d8: 00018052  mov	w0, #8
0xfffffff0088159dc: 9d970194  bl	#0xfffffff00887b850
0xfffffff0088159e0: e80315aa  mov	x8, x21
0xfffffff0088159e4: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088159e8: 4850ffb0  adrp	x8, #0xfffffff00721e000
0xfffffff0088159ec: 08392291  add	x8, x8, #0x88e
0xfffffff0088159f0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088159f4: 880e8052  mov	w8, #0x74
0xfffffff0088159f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088159fc: f60300f9  str	x22, [sp]
0xfffffff008815a00: a04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008815a04: 00003a91  add	x0, x0, #0xe80
0xfffffff008815a08: 818ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008815a0c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008815a10: 8351fff0  adrp	x3, #0xfffffff007248000
0xfffffff008815a14: 63a01991  add	x3, x3, #0x668
0xfffffff008815a18: 02008052  mov	w2, #0
0xfffffff008815a1c: c575ec97  bl	#0xfffffff008333130
0xfffffff008815a20: e00315aa  mov	x0, x21
0xfffffff008815a24: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008815a28: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008815a2c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008815a30: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008815a34: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008815a38: ffc30291  add	sp, sp, #0xb0
0xfffffff008815a3c: ff0f5fd6  retab	
0xfffffff008815a40: 7f2303d5  pacibsp	
0xfffffff008815a44: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008815a48: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff008815a4c: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff008815a50: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff008815a54: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008815a58: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008815a5c: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008815a60: fdc30291  add	x29, sp, #0xb0
0xfffffff008815a64: f40301aa  mov	x20, x1
0xfffffff008815a68: f30300aa  mov	x19, x0
0xfffffff008815a6c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008815a70: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff008815a74: 800e8052  mov	w0, #0x74
0xfffffff008815a78: 01018052  mov	w1, #8
0xfffffff008815a7c: 55970194  bl	#0xfffffff00887b7d0
