; Candidate 2884
; ADRP+ADD at VM 0xfffffff0086f346c (fileoff 0x16ef46c): page=0x1fea3e000 add_imm=0xd90

0xfffffff0086f33ec: e00316aa  mov	x0, x22
0xfffffff0086f33f0: 01008052  mov	w1, #0
0xfffffff0086f33f4: 025a8052  mov	w2, #0x2d0
0xfffffff0086f33f8: f265d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f33fc: 76d61df9  str	x22, [x19, #0x3ba8]
0xfffffff0086f3400: 73da1df9  str	x19, [x19, #0x3bb0]
0xfffffff0086f3404: 10000090  adrp	x16, #0xfffffff0086f3000
0xfffffff0086f3408: 10e20291  add	x16, x16, #0xb8
0xfffffff0086f340c: 117b8ed2  mov	x17, #0x73d8
0xfffffff0086f3410: 3002c1da  pacia	x16, x17
0xfffffff0086f3414: 70de1df9  str	x16, [x19, #0x3bb8]
0xfffffff0086f3418: 8098ff90  adrp	x0, #0xfffffff007a03000
0xfffffff0086f341c: 00a00391  add	x0, x0, #0xe8
0xfffffff0086f3420: 358cf197  bl	#0xfffffff0083564f4
0xfffffff0086f3424: 6100a052  mov	w1, #0x30000
0xfffffff0086f3428: e20315aa  mov	x2, x21
0xfffffff0086f342c: a98eff97  bl	#0xfffffff0086d6ed0
0xfffffff0086f3430: 60661cf9  str	x0, [x19, #0x38c8]
0xfffffff0086f3434: 600500b4  cbz	x0, #0xfffffff0086f34e0
0xfffffff0086f3438: 9f020071  cmp	w20, #0
0xfffffff0086f343c: 28008052  mov	w8, #1
0xfffffff0086f3440: 0815881a  cinc	w8, w8, eq
0xfffffff0086f3444: 683e0cb9  str	w8, [x19, #0xc3c]
0xfffffff0086f3448: 60620091  add	x0, x19, #0x18
0xfffffff0086f344c: 01008052  mov	w1, #0
0xfffffff0086f3450: 02818052  mov	w2, #0x408
0xfffffff0086f3454: db65d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f3458: 60821091  add	x0, x19, #0x420
0xfffffff0086f345c: 01008052  mov	w1, #0
0xfffffff0086f3460: 02818052  mov	w2, #0x408
0xfffffff0086f3464: d765d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f3468: 31000014  b	#0xfffffff0086f352c
0xfffffff0086f346c: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f3470: 00403691  add	x0, x0, #0xd90
0xfffffff0086f3474: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f3478: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f347c: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f3480: 63102991  add	x3, x3, #0xa44
0xfffffff0086f3484: 02008052  mov	w2, #0
0xfffffff0086f3488: 2afff097  bl	#0xfffffff008333130
0xfffffff0086f348c: 1d000014  b	#0xfffffff0086f3500
0xfffffff0086f3490: bfce0471  cmp	w21, #0x133
0xfffffff0086f3494: ac050054  b.gt	#0xfffffff0086f3548
0xfffffff0086f3498: bf6e0071  cmp	w21, #0x1b
0xfffffff0086f349c: 8c060054  b.gt	#0xfffffff0086f356c
0xfffffff0086f34a0: bf560071  cmp	w21, #0x15
0xfffffff0086f34a4: 00080054  b.eq	#0xfffffff0086f35a4
0xfffffff0086f34a8: bf6a0071  cmp	w21, #0x1a
0xfffffff0086f34ac: 41090054  b.ne	#0xfffffff0086f35d4
0xfffffff0086f34b0: e00313aa  mov	x0, x19
0xfffffff0086f34b4: d6e70094  bl	#0xfffffff00872d40c
0xfffffff0086f34b8: b8ffff17  b	#0xfffffff0086f3398
0xfffffff0086f34bc: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f34c0: 00403691  add	x0, x0, #0xd90
0xfffffff0086f34c4: 4198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f34c8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f34cc: 0352ffb0  adrp	x3, #0xfffffff007134000
0xfffffff0086f34d0: 63102a91  add	x3, x3, #0xa84
0xfffffff0086f34d4: 02008052  mov	w2, #0
0xfffffff0086f34d8: 16fff097  bl	#0xfffffff008333130
0xfffffff0086f34dc: 09000014  b	#0xfffffff0086f3500
0xfffffff0086f34e0: e051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f34e4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f34e8: 4198ffd0  adrp	x1, #0xfffffff0079fd000
