; Candidate 6928
; ADRP+ADD at VM 0xfffffff00884aaa8 (fileoff 0x1846aa8): page=0x1fe99f000 add_imm=0xe80

0xfffffff00884aa28: 20080034  cbz	w0, #0xfffffff00884ab2c
0xfffffff00884aa2c: 20098052  mov	w0, #0x49
0xfffffff00884aa30: 81008052  mov	w1, #4
0xfffffff00884aa34: 67c30094  bl	#0xfffffff00887b7d0
0xfffffff00884aa38: 200b0034  cbz	w0, #0xfffffff00884ab9c
0xfffffff00884aa3c: 20098052  mov	w0, #0x49
0xfffffff00884aa40: 76c30094  bl	#0xfffffff00887b818
0xfffffff00884aa44: f60300aa  mov	x22, x0
0xfffffff00884aa48: d9a50194  bl	#0xfffffff0088b41ac
0xfffffff00884aa4c: f50300aa  mov	x21, x0
0xfffffff00884aa50: 80008052  mov	w0, #4
0xfffffff00884aa54: 7fc30094  bl	#0xfffffff00887b850
0xfffffff00884aa58: 96100034  cbz	w22, #0xfffffff00884ac68
0xfffffff00884aa5c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884aa60: 284effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884aa64: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884aa68: 89358052  mov	w9, #0x1ac
0xfffffff00884aa6c: 43000014  b	#0xfffffff00884ab78
0xfffffff00884aa70: cfa50194  bl	#0xfffffff0088b41ac
0xfffffff00884aa74: f50300aa  mov	x21, x0
0xfffffff00884aa78: 80008052  mov	w0, #4
0xfffffff00884aa7c: 75c30094  bl	#0xfffffff00887b850
0xfffffff00884aa80: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884aa84: 284effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884aa88: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884aa8c: 09358052  mov	w9, #0x1a8
0xfffffff00884aa90: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884aa94: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884aa98: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884aa9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884aaa0: 28098052  mov	w8, #0x49
0xfffffff00884aaa4: f52300a9  stp	x21, x8, [sp]
0xfffffff00884aaa8: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884aaac: 00003a91  add	x0, x0, #0xe80
0xfffffff00884aab0: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884aab4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884aab8: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884aabc: 63e01d91  add	x3, x3, #0x778
0xfffffff00884aac0: 02008052  mov	w2, #0
0xfffffff00884aac4: 9ba1eb97  bl	#0xfffffff008333130
0xfffffff00884aac8: 35000014  b	#0xfffffff00884ab9c
0xfffffff00884aacc: b8a50194  bl	#0xfffffff0088b41ac
0xfffffff00884aad0: f50300aa  mov	x21, x0
0xfffffff00884aad4: 80008052  mov	w0, #4
0xfffffff00884aad8: 5ec30094  bl	#0xfffffff00887b850
0xfffffff00884aadc: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884aae0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884aae4: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884aae8: 69338052  mov	w9, #0x19b
0xfffffff00884aaec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884aaf0: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884aaf4: 08951e91  add	x8, x8, #0x7a5
0xfffffff00884aaf8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884aafc: 28098052  mov	w8, #0x49
0xfffffff00884ab00: f52300a9  stp	x21, x8, [sp]
0xfffffff00884ab04: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884ab08: 00003a91  add	x0, x0, #0xe80
0xfffffff00884ab0c: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884ab10: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884ab14: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884ab18: 632c1d91  add	x3, x3, #0x74b
0xfffffff00884ab1c: 02008052  mov	w2, #0
0xfffffff00884ab20: 84a1eb97  bl	#0xfffffff008333130
0xfffffff00884ab24: 557e8012  mov	w21, #-0x3f3
