; Candidate 2768
; ADRP+ADD at VM 0xfffffff0086e7574 (fileoff 0x16e3574): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e74f4: 3621d91a  lsl	w22, w9, w25
0xfffffff0086e74f8: a9ce5eb9  ldr	w9, [x21, #0x1ecc]
0xfffffff0086e74fc: 3f01176a  tst	w9, w23
0xfffffff0086e7500: 40020054  b.eq	#0xfffffff0086e7548
0xfffffff0086e7504: f82300a9  stp	x24, x8, [sp]
0xfffffff0086e7508: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e750c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7510: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7514: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7518: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e751c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7520: 02008052  mov	w2, #0
0xfffffff0086e7524: 032ff197  bl	#0xfffffff008333130
0xfffffff0086e7528: a82e40b9  ldr	w8, [x21, #0x2c]
0xfffffff0086e752c: 07000014  b	#0xfffffff0086e7548
0xfffffff0086e7530: 16008052  mov	w22, #0
0xfffffff0086e7534: 18000014  b	#0xfffffff0086e7594
0xfffffff0086e7538: 16008052  mov	w22, #0
0xfffffff0086e753c: e8030aaa  mov	x8, x10
0xfffffff0086e7540: f80309aa  mov	x24, x9
0xfffffff0086e7544: f90313aa  mov	x25, x19
0xfffffff0086e7548: e903194b  neg	w9, w25
0xfffffff0086e754c: 0927c91a  lsr	w9, w24, w9
0xfffffff0086e7550: 3601162a  orr	w22, w9, w22
0xfffffff0086e7554: 0923d91a  lsl	w9, w24, w25
0xfffffff0086e7558: 0801194b  sub	w8, w8, w25
0xfffffff0086e755c: a9220529  stp	w9, w8, [x21, #0x28]
0xfffffff0086e7560: a9ce5eb9  ldr	w9, [x21, #0x1ecc]
0xfffffff0086e7564: 3f01176a  tst	w9, w23
0xfffffff0086e7568: 60010054  b.eq	#0xfffffff0086e7594
0xfffffff0086e756c: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e7570: f35300a9  stp	x19, x20, [sp]
0xfffffff0086e7574: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7578: 00403691  add	x0, x0, #0xd90
0xfffffff0086e757c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7580: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7584: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7588: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e758c: 02008052  mov	w2, #0
0xfffffff0086e7590: e82ef197  bl	#0xfffffff008333130
0xfffffff0086e7594: e00316aa  mov	x0, x22
0xfffffff0086e7598: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0086e759c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0086e75a0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0086e75a4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0086e75a8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0086e75ac: ffc30191  add	sp, sp, #0x70
0xfffffff0086e75b0: ff0f5fd6  retab	
0xfffffff0086e75b4: 7f2303d5  pacibsp	
0xfffffff0086e75b8: ff4302d1  sub	sp, sp, #0x90
0xfffffff0086e75bc: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0086e75c0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0086e75c4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0086e75c8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0086e75cc: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0086e75d0: fd030291  add	x29, sp, #0x80
0xfffffff0086e75d4: f30300aa  mov	x19, x0
0xfffffff0086e75d8: 34008052  mov	w20, #1
0xfffffff0086e75dc: 9400a072  movk	w20, #4, lsl #16
0xfffffff0086e75e0: 09284529  ldp	w9, w10, [x0, #0x28]
0xfffffff0086e75e4: 5f1d0071  cmp	w10, #7
0xfffffff0086e75e8: a8040054  b.hi	#0xfffffff0086e767c
0xfffffff0086e75ec: 08008052  mov	w8, #0
0xfffffff0086e75f0: 16008052  mov	w22, #0
