; Candidate 13153
; ADRP+ADD at VM 0xfffffff0091fe190 (fileoff 0x21fa190): page=0x111c000 add_imm=0xe28

0xfffffff0091fe110: 8af041f9  ldr	x10, [x4, #0x3e0]
0xfffffff0091fe114: 0a4800f9  str	x10, [x0, #0x90]
0xfffffff0091fe118: 2915ffd0  adrp	x9, #0xfffffff0074a4000
0xfffffff0091fe11c: 20a541fd  ldr	d0, [x9, #0x348]
0xfffffff0091fe120: 004c00fd  str	d0, [x0, #0x98]
0xfffffff0091fe124: 08a000b9  str	w8, [x0, #0xa0]
0xfffffff0091fe128: 2915ffd0  adrp	x9, #0xfffffff0074a4000
0xfffffff0091fe12c: 20a941fd  ldr	d0, [x9, #0x350]
0xfffffff0091fe130: d38800d0  adrp	x19, #0xfffffff00a318000
0xfffffff0091fe134: 690e44f9  ldr	x9, [x19, #0x818]
0xfffffff0091fe138: 095400f9  str	x9, [x0, #0xa8]
0xfffffff0091fe13c: 005800fd  str	d0, [x0, #0xb0]
0xfffffff0091fe140: 14b800b9  str	w20, [x0, #0xb8]
0xfffffff0091fe144: 1f7c0ca9  stp	xzr, xzr, [x0, #0xc0]
0xfffffff0091fe148: 1f6800f9  str	xzr, [x0, #0xd0]
0xfffffff0091fe14c: 15c800b9  str	w21, [x0, #0xc8]
0xfffffff0091fe150: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe154: 00ac41fd  ldr	d0, [x0, #0x358]
0xfffffff0091fe158: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe15c: 01b041fd  ldr	d1, [x0, #0x360]
0xfffffff0091fe160: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe164: 02b441fd  ldr	d2, [x0, #0x368]
0xfffffff0091fe168: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe16c: 03b841fd  ldr	d3, [x0, #0x370]
0xfffffff0091fe170: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe174: 04bc41fd  ldr	d4, [x0, #0x378]
0xfffffff0091fe178: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe17c: 05c041fd  ldr	d5, [x0, #0x380]
0xfffffff0091fe180: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe184: 06c441fd  ldr	d6, [x0, #0x388]
0xfffffff0091fe188: 2015ffd0  adrp	x0, #0xfffffff0074a4000
0xfffffff0091fe18c: 07c841fd  ldr	d7, [x0, #0x390]
0xfffffff0091fe190: e0880090  adrp	x0, #0xfffffff00a31a000
0xfffffff0091fe194: 00a03891  add	x0, x0, #0xe28
0xfffffff0091fe198: 0d0000f9  str	x13, [x0]
0xfffffff0091fe19c: 000400fd  str	d0, [x0, #8]
0xfffffff0091fe1a0: 141000b9  str	w20, [x0, #0x10]
0xfffffff0091fe1a4: 0e0c00f9  str	x14, [x0, #0x18]
0xfffffff0091fe1a8: 011000fd  str	d1, [x0, #0x20]
0xfffffff0091fe1ac: 0b2800b9  str	w11, [x0, #0x28]
0xfffffff0091fe1b0: 0f1800f9  str	x15, [x0, #0x30]
0xfffffff0091fe1b4: 021c00fd  str	d2, [x0, #0x38]
0xfffffff0091fe1b8: 144000b9  str	w20, [x0, #0x40]
0xfffffff0091fe1bc: 112400f9  str	x17, [x0, #0x48]
0xfffffff0091fe1c0: 032800fd  str	d3, [x0, #0x50]
0xfffffff0091fe1c4: 085800b9  str	w8, [x0, #0x58]
0xfffffff0091fe1c8: 103000f9  str	x16, [x0, #0x60]
0xfffffff0091fe1cc: 043400fd  str	d4, [x0, #0x68]
0xfffffff0091fe1d0: 147000b9  str	w20, [x0, #0x70]
0xfffffff0091fe1d4: 0c3c00f9  str	x12, [x0, #0x78]
0xfffffff0091fe1d8: 054000fd  str	d5, [x0, #0x80]
0xfffffff0091fe1dc: 148800b9  str	w20, [x0, #0x88]
0xfffffff0091fe1e0: 0a4800f9  str	x10, [x0, #0x90]
0xfffffff0091fe1e4: 064c00fd  str	d6, [x0, #0x98]
0xfffffff0091fe1e8: 08a000b9  str	w8, [x0, #0xa0]
0xfffffff0091fe1ec: 095400f9  str	x9, [x0, #0xa8]
0xfffffff0091fe1f0: 075800fd  str	d7, [x0, #0xb0]
0xfffffff0091fe1f4: 14b800b9  str	w20, [x0, #0xb8]
0xfffffff0091fe1f8: 1f7c0ca9  stp	xzr, xzr, [x0, #0xc0]
0xfffffff0091fe1fc: 1f6800f9  str	xzr, [x0, #0xd0]
0xfffffff0091fe200: 15c800b9  str	w21, [x0, #0xc8]
0xfffffff0091fe204: e0880090  adrp	x0, #0xfffffff00a31a000
0xfffffff0091fe208: 00003c91  add	x0, x0, #0xf00
0xfffffff0091fe20c: 0d0000f9  str	x13, [x0]
