; Candidate 5171
; ADRP+ADD at VM 0xfffffff0087dd4b4 (fileoff 0x17d94b4): page=0x1fea0c000 add_imm=0xe80

0xfffffff0087dd434: 18020034  cbz	w24, #0xfffffff0087dd474
0xfffffff0087dd438: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dd43c: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dd440: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dd444: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dd448: 08053591  add	x8, x8, #0xd41
0xfffffff0087dd44c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dd450: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dd454: 081d0291  add	x8, x8, #0x87
0xfffffff0087dd458: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dd45c: 280a8052  mov	w8, #0x51
0xfffffff0087dd460: a051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087dd464: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dd468: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dd46c: fd67d797  bl	#0xfffffff007db7460
0xfffffff0087dd470: 19000014  b	#0xfffffff0087dd4d4
0xfffffff0087dd474: 4e5b0394  bl	#0xfffffff0088b41ac
0xfffffff0087dd478: f70300aa  mov	x23, x0
0xfffffff0087dd47c: e0008052  mov	w0, #7
0xfffffff0087dd480: f4780294  bl	#0xfffffff00887b850
0xfffffff0087dd484: e80316aa  mov	x8, x22
0xfffffff0087dd488: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dd48c: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dd490: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dd494: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dd498: 08053591  add	x8, x8, #0xd41
0xfffffff0087dd49c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dd4a0: a851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087dd4a4: 081d0291  add	x8, x8, #0x87
0xfffffff0087dd4a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dd4ac: 280a8052  mov	w8, #0x51
0xfffffff0087dd4b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dd4b4: 6050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dd4b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dd4bc: 4191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087dd4c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dd4c4: 0353ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087dd4c8: 63ec0491  add	x3, x3, #0x13b
0xfffffff0087dd4cc: 02008052  mov	w2, #0
0xfffffff0087dd4d0: 1857ed97  bl	#0xfffffff008333130
0xfffffff0087dd4d4: e00316aa  mov	x0, x22
0xfffffff0087dd4d8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dd4dc: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dd4e0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dd4e4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dd4e8: ff830291  add	sp, sp, #0xa0
0xfffffff0087dd4ec: ff0f5fd6  retab	
0xfffffff0087dd4f0: 7f2303d5  pacibsp	
0xfffffff0087dd4f4: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087dd4f8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087dd4fc: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087dd500: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087dd504: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087dd508: fd030291  add	x29, sp, #0x80
0xfffffff0087dd50c: f50302aa  mov	x21, x2
0xfffffff0087dd510: f40301aa  mov	x20, x1
0xfffffff0087dd514: f30300aa  mov	x19, x0
0xfffffff0087dd518: 200a8052  mov	w0, #0x51
0xfffffff0087dd51c: 01018052  mov	w1, #8
0xfffffff0087dd520: ac780294  bl	#0xfffffff00887b7d0
0xfffffff0087dd524: 60050034  cbz	w0, #0xfffffff0087dd5d0
0xfffffff0087dd528: 200a8052  mov	w0, #0x51
0xfffffff0087dd52c: bb780294  bl	#0xfffffff00887b818
0xfffffff0087dd530: f70300aa  mov	x23, x0
