; Candidate 6891
; ADRP+ADD at VM 0xfffffff0088486c4 (fileoff 0x18446c4): page=0x1fe9a1000 add_imm=0xe80

0xfffffff008848644: 4350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008848648: 63403e91  add	x3, x3, #0xf90
0xfffffff00884864c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008848650: fa0300f9  str	x26, [sp]
0xfffffff008848654: fa031caa  mov	x26, x28
0xfffffff008848658: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884865c: 00003a91  add	x0, x0, #0xe80
0xfffffff008848660: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848664: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848668: 02008052  mov	w2, #0
0xfffffff00884866c: b1aaeb97  bl	#0xfffffff008333130
0xfffffff008848670: 3b7f8012  mov	w27, #-0x3fa
0xfffffff008848674: f9feff17  b	#0xfffffff008848258
0xfffffff008848678: cdae0194  bl	#0xfffffff0088b41ac
0xfffffff00884867c: fa0300aa  mov	x26, x0
0xfffffff008848680: 80008052  mov	w0, #4
0xfffffff008848684: 73cc0094  bl	#0xfffffff00887b850
0xfffffff008848688: e8031baa  mov	x8, x27
0xfffffff00884868c: e90319aa  mov	x9, x25
0xfffffff008848690: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008848694: 484eff90  adrp	x8, #0xfffffff007210000
0xfffffff008848698: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884869c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088486a0: 684a8052  mov	w8, #0x253
0xfffffff0088486a4: 494effb0  adrp	x9, #0xfffffff007211000
0xfffffff0088486a8: 29892c91  add	x9, x9, #0xb22
0xfffffff0088486ac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088486b0: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff0088486b4: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088486b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088486bc: c80d8052  mov	w8, #0x6e
0xfffffff0088486c0: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088486c4: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088486c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088486cc: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088486d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088486d4: 4350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff0088486d8: 63800191  add	x3, x3, #0x60
0xfffffff0088486dc: 02008052  mov	w2, #0
0xfffffff0088486e0: 94aaeb97  bl	#0xfffffff008333130
0xfffffff0088486e4: dcfeff17  b	#0xfffffff008848254
0xfffffff0088486e8: b1ae0194  bl	#0xfffffff0088b41ac
0xfffffff0088486ec: fa0300aa  mov	x26, x0
0xfffffff0088486f0: 80008052  mov	w0, #4
0xfffffff0088486f4: 57cc0094  bl	#0xfffffff00887b850
0xfffffff0088486f8: e8031baa  mov	x8, x27
0xfffffff0088486fc: e90319aa  mov	x9, x25
0xfffffff008848700: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008848704: 484eff90  adrp	x8, #0xfffffff007210000
0xfffffff008848708: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884870c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008848710: a8498052  mov	w8, #0x24d
0xfffffff008848714: 494effb0  adrp	x9, #0xfffffff007211000
0xfffffff008848718: 29892c91  add	x9, x9, #0xb22
0xfffffff00884871c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008848720: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848724: 08b51291  add	x8, x8, #0x4ad
0xfffffff008848728: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884872c: c80d8052  mov	w8, #0x6e
0xfffffff008848730: fa2300a9  stp	x26, x8, [sp]
0xfffffff008848734: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848738: 00003a91  add	x0, x0, #0xe80
0xfffffff00884873c: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848740: 212c42f9  ldr	x1, [x1, #0x458]
