; Candidate 7145
; ADRP+ADD at VM 0xfffffff00885ac48 (fileoff 0x1856c48): page=0x1fe98f000 add_imm=0xe80

0xfffffff00885abc8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885abcc: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00885abd0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00885abd4: 484effb0  adrp	x8, #0xfffffff007223000
0xfffffff00885abd8: 08552691  add	x8, x8, #0x995
0xfffffff00885abdc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885abe0: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885abe4: 08811191  add	x8, x8, #0x460
0xfffffff00885abe8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885abec: 880c8052  mov	w8, #0x64
0xfffffff00885abf0: 604effb0  adrp	x0, #0xfffffff007227000
0xfffffff00885abf4: 00fc0791  add	x0, x0, #0x1ff
0xfffffff00885abf8: f72300a9  stp	x23, x8, [sp]
0xfffffff00885abfc: 1972d597  bl	#0xfffffff007db7460
0xfffffff00885ac00: 740300b5  cbnz	x20, #0xfffffff00885ac6c
0xfffffff00885ac04: 4d000014  b	#0xfffffff00885ad38
0xfffffff00885ac08: 69650194  bl	#0xfffffff0088b41ac
0xfffffff00885ac0c: f70300aa  mov	x23, x0
0xfffffff00885ac10: 00018052  mov	w0, #8
0xfffffff00885ac14: 0f830094  bl	#0xfffffff00887b850
0xfffffff00885ac18: e80316aa  mov	x8, x22
0xfffffff00885ac1c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885ac20: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff00885ac24: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00885ac28: 484effb0  adrp	x8, #0xfffffff007223000
0xfffffff00885ac2c: 08552691  add	x8, x8, #0x995
0xfffffff00885ac30: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885ac34: 684effb0  adrp	x8, #0xfffffff007227000
0xfffffff00885ac38: 08811191  add	x8, x8, #0x460
0xfffffff00885ac3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885ac40: 880c8052  mov	w8, #0x64
0xfffffff00885ac44: f72300a9  stp	x23, x8, [sp]
0xfffffff00885ac48: 604cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885ac4c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885ac50: 618dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885ac54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885ac58: c34fffd0  adrp	x3, #0xfffffff007254000
0xfffffff00885ac5c: 63682e91  add	x3, x3, #0xb9a
0xfffffff00885ac60: 02008052  mov	w2, #0
0xfffffff00885ac64: 3361eb97  bl	#0xfffffff008333130
0xfffffff00885ac68: 940600b4  cbz	x20, #0xfffffff00885ad38
0xfffffff00885ac6c: 750600b4  cbz	x21, #0xfffffff00885ad38
0xfffffff00885ac70: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff00885ac74: b84a40f9  ldr	x24, [x21, #0x90]
0xfffffff00885ac78: d82c00b4  cbz	x24, #0xfffffff00885b210
0xfffffff00885ac7c: 88668b52  mov	w8, #0x5b34
0xfffffff00885ac80: 89008052  mov	w9, #4
0xfffffff00885ac84: 096b28b8  str	w9, [x24, x8]
0xfffffff00885ac88: 800c8052  mov	w0, #0x64
0xfffffff00885ac8c: e1008052  mov	w1, #7
0xfffffff00885ac90: d0820094  bl	#0xfffffff00887b7d0
0xfffffff00885ac94: e0110034  cbz	w0, #0xfffffff00885aed0
0xfffffff00885ac98: 800c8052  mov	w0, #0x64
0xfffffff00885ac9c: df820094  bl	#0xfffffff00887b818
0xfffffff00885aca0: fa0300aa  mov	x26, x0
0xfffffff00885aca4: 42650194  bl	#0xfffffff0088b41ac
0xfffffff00885aca8: f70300aa  mov	x23, x0
0xfffffff00885acac: e0008052  mov	w0, #7
0xfffffff00885acb0: e8820094  bl	#0xfffffff00887b850
0xfffffff00885acb4: fa0b0034  cbz	w26, #0xfffffff00885ae30
0xfffffff00885acb8: a8a641a9  ldp	x8, x9, [x21, #0x18]
0xfffffff00885acbc: aa4280b9  ldrsw	x10, [x21, #0x40]
0xfffffff00885acc0: 0b0b0a8b  add	x11, x24, x10, lsl #2
0xfffffff00885acc4: 6b1540b9  ldr	w11, [x11, #0x14]
