; Candidate 2620
; ADRP+ADD at VM 0xfffffff0086d58a0 (fileoff 0x16d18a0): page=0x1fea5c000 add_imm=0xd90

0xfffffff0086d5820: 1f1d0071  cmp	w8, #7
0xfffffff0086d5824: 29008052  mov	w9, #1
0xfffffff0086d5828: 2921c81a  lsl	w9, w9, w8
0xfffffff0086d582c: 0a198052  mov	w10, #0xc8
0xfffffff0086d5830: 29010a0a  and	w9, w9, w10
0xfffffff0086d5834: 2499407a  ccmp	w9, #0, #4, ls
0xfffffff0086d5838: 00050054  b.eq	#0xfffffff0086d58d8
0xfffffff0086d583c: f40301aa  mov	x20, x1
0xfffffff0086d5840: 288440b9  ldr	w8, [x1, #0x84]
0xfffffff0086d5844: 1f0d0071  cmp	w8, #3
0xfffffff0086d5848: 0499427a  ccmp	w8, #2, #4, ls
0xfffffff0086d584c: 20060054  b.eq	#0xfffffff0086d5910
0xfffffff0086d5850: f30300aa  mov	x19, x0
0xfffffff0086d5854: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff0086d5858: 9d58db97  bl	#0xfffffff007dabacc
0xfffffff0086d585c: 8a7a40b9  ldr	w10, [x20, #0x78]
0xfffffff0086d5860: 890240f9  ldr	x9, [x20]
0xfffffff0086d5864: 680640f9  ldr	x8, [x19, #8]
0xfffffff0086d5868: 480100b4  cbz	x8, #0xfffffff0086d5890
0xfffffff0086d586c: f40308aa  mov	x20, x8
0xfffffff0086d5870: 8b0240f9  ldr	x11, [x20]
0xfffffff0086d5874: 7f0109eb  cmp	x11, x9
0xfffffff0086d5878: 81000054  b.ne	#0xfffffff0086d5888
0xfffffff0086d587c: 8b7a40b9  ldr	w11, [x20, #0x78]
0xfffffff0086d5880: 7f010a6b  cmp	w11, w10
0xfffffff0086d5884: 20060054  b.eq	#0xfffffff0086d5948
0xfffffff0086d5888: 945240f9  ldr	x20, [x20, #0xa0]
0xfffffff0086d588c: 34ffffb5  cbnz	x20, #0xfffffff0086d5870
0xfffffff0086d5890: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0086d5894: c853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d5898: 08e90091  add	x8, x8, #0x3a
0xfffffff0086d589c: e80300f9  str	x8, [sp]
0xfffffff0086d58a0: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d58a4: 00403691  add	x0, x0, #0xd90
0xfffffff0086d58a8: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d58ac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d58b0: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d58b4: 63601a91  add	x3, x3, #0x698
0xfffffff0086d58b8: 02008052  mov	w2, #0
0xfffffff0086d58bc: 1d76f197  bl	#0xfffffff008333130
0xfffffff0086d58c0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0086d58c4: 9e5bdb97  bl	#0xfffffff007dac73c
0xfffffff0086d58c8: 485c8052  mov	w8, #0x2e2
0xfffffff0086d58cc: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0086d58d0: 13390011  add	w19, w8, #0xe
0xfffffff0086d58d4: 66000014  b	#0xfffffff0086d5a6c
0xfffffff0086d58d8: 535c8052  mov	w19, #0x2e2
0xfffffff0086d58dc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0086d58e0: c953ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086d58e4: 29e90091  add	x9, x9, #0x3a
0xfffffff0086d58e8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086d58ec: e052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086d58f0: 00403691  add	x0, x0, #0xd90
0xfffffff0086d58f4: 4199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d58f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d58fc: e352ffb0  adrp	x3, #0xfffffff007132000
0xfffffff0086d5900: 63601891  add	x3, x3, #0x618
0xfffffff0086d5904: 02008052  mov	w2, #0
0xfffffff0086d5908: 0a76f197  bl	#0xfffffff008333130
0xfffffff0086d590c: 58000014  b	#0xfffffff0086d5a6c
0xfffffff0086d5910: 535c8052  mov	w19, #0x2e2
0xfffffff0086d5914: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0086d5918: c953ffd0  adrp	x9, #0xfffffff00714f000
0xfffffff0086d591c: 29e90091  add	x9, x9, #0x3a
