; Candidate 183
; ADRP+ADD at VM 0xfffffff007e2da78 (fileoff 0xe29a78): page=0x23a4000 add_imm=0xd20

0xfffffff007e2d9f8: 087d091b  mul	w8, w8, w9
0xfffffff007e2d9fc: 5f01086b  cmp	w10, w8
0xfffffff007e2da00: 49000054  b.ls	#0xfffffff007e2da08
0xfffffff007e2da04: bffaff97  bl	#0xfffffff007e2c500
0xfffffff007e2da08: e00314aa  mov	x0, x20
0xfffffff007e2da0c: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff007e2da10: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff007e2da14: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff007e2da18: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff007e2da1c: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff007e2da20: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff007e2da24: ff030391  add	sp, sp, #0xc0
0xfffffff007e2da28: ff0f5fd6  retab	
0xfffffff007e2da2c: e81b01f0  adrp	x8, #0xfffffff00a1ac000
0xfffffff007e2da30: 08f142b9  ldr	w8, [x8, #0x2f0]
0xfffffff007e2da34: e8030035  cbnz	w8, #0xfffffff007e2dab0
0xfffffff007e2da38: 68008052  mov	w8, #3
0xfffffff007e2da3c: 1f01226a  bics	wzr, w8, w2
0xfffffff007e2da40: 61000054  b.ne	#0xfffffff007e2da4c
0xfffffff007e2da44: 7f0000b9  str	wzr, [x3]
0xfffffff007e2da48: 83fdff17  b	#0xfffffff007e2d054
0xfffffff007e2da4c: 34008012  mov	w20, #-2
0xfffffff007e2da50: eeffff17  b	#0xfffffff007e2da08
0xfffffff007e2da54: e00313aa  mov	x0, x19
0xfffffff007e2da58: 43fbfd97  bl	#0xfffffff007dac764
0xfffffff007e2da5c: b3ffff17  b	#0xfffffff007e2d928
0xfffffff007e2da60: 081d0190  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2da64: 043d43f9  ldr	x4, [x8, #0x678]
0xfffffff007e2da68: 63feff17  b	#0xfffffff007e2d3f4
0xfffffff007e2da6c: e00313aa  mov	x0, x19
0xfffffff007e2da70: 3dfbfd97  bl	#0xfffffff007dac764
0xfffffff007e2da74: 1bffff17  b	#0xfffffff007e2d6e0
0xfffffff007e2da78: 201d0190  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2da7c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2da80: 39fbfd97  bl	#0xfffffff007dac764
0xfffffff007e2da84: 9dffff17  b	#0xfffffff007e2d8f8
0xfffffff007e2da88: e00313aa  mov	x0, x19
0xfffffff007e2da8c: 36fbfd97  bl	#0xfffffff007dac764
0xfffffff007e2da90: 7dffff17  b	#0xfffffff007e2d884
0xfffffff007e2da94: c893ff90  adrp	x8, #0xfffffff0070a5000
0xfffffff007e2da98: 08752591  add	x8, x8, #0x95d
0xfffffff007e2da9c: 693a8052  mov	w9, #0x1d3
0xfffffff007e2daa0: e82700a9  stp	x8, x9, [sp]
0xfffffff007e2daa4: c093ff90  adrp	x0, #0xfffffff0070a5000
0xfffffff007e2daa8: 00102591  add	x0, x0, #0x944
0xfffffff007e2daac: 989a1994  bl	#0xfffffff00849450c
0xfffffff007e2dab0: e890fff0  adrp	x8, #0xfffffff00704c000
0xfffffff007e2dab4: 08490091  add	x8, x8, #0x12
0xfffffff007e2dab8: 69688252  mov	w9, #0x1343
0xfffffff007e2dabc: e82700a9  stp	x8, x9, [sp]
0xfffffff007e2dac0: e090fff0  adrp	x0, #0xfffffff00704c000
0xfffffff007e2dac4: 00140891  add	x0, x0, #0x205
0xfffffff007e2dac8: 919a1994  bl	#0xfffffff00849450c
0xfffffff007e2dacc: 7f2303d5  pacibsp	
0xfffffff007e2dad0: ffc300d1  sub	sp, sp, #0x30
0xfffffff007e2dad4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007e2dad8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007e2dadc: fd830091  add	x29, sp, #0x20
0xfffffff007e2dae0: f30300aa  mov	x19, x0
0xfffffff007e2dae4: 080040b9  ldr	w8, [x0]
0xfffffff007e2dae8: 09f8bf12  mov	w9, #0x3fffff
0xfffffff007e2daec: 3f01286a  bics	wzr, w9, w8
0xfffffff007e2daf0: e1020054  b.ne	#0xfffffff007e2db4c
0xfffffff007e2daf4: 08fd56d3  lsr	x8, x8, #0x16
