; Candidate 5010
; ADRP+ADD at VM 0xfffffff0087d1cc8 (fileoff 0x17cdcc8): page=0x1fea18000 add_imm=0xe80

0xfffffff0087d1c48: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087d1c4c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d1c50: 0852ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d1c54: 09050b91  add	x9, x8, #0x2c1
0xfffffff0087d1c58: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d1c5c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d1c60: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d1c64: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d1c68: 080a8052  mov	w8, #0x50
0xfffffff0087d1c6c: 0052ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d1c70: 00440a91  add	x0, x0, #0x291
0xfffffff0087d1c74: f92300a9  stp	x25, x8, [sp]
0xfffffff0087d1c78: fa95d797  bl	#0xfffffff007db7460
0xfffffff0087d1c7c: 19000014  b	#0xfffffff0087d1ce0
0xfffffff0087d1c80: 4b890394  bl	#0xfffffff0088b41ac
0xfffffff0087d1c84: f90300aa  mov	x25, x0
0xfffffff0087d1c88: 00018052  mov	w0, #8
0xfffffff0087d1c8c: f1a60294  bl	#0xfffffff00887b850
0xfffffff0087d1c90: f6e304a9  stp	x22, x24, [sp, #0x48]
0xfffffff0087d1c94: e80317aa  mov	x8, x23
0xfffffff0087d1c98: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0087d1c9c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087d1ca0: 0852ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d1ca4: 09050b91  add	x9, x8, #0x2c1
0xfffffff0087d1ca8: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d1cac: 08712591  add	x8, x8, #0x95c
0xfffffff0087d1cb0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d1cb4: 080a8052  mov	w8, #0x50
0xfffffff0087d1cb8: 4353ffb0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d1cbc: 63dc3691  add	x3, x3, #0xdb7
0xfffffff0087d1cc0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d1cc4: f90300f9  str	x25, [sp]
0xfffffff0087d1cc8: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d1ccc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d1cd0: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d1cd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d1cd8: 02008052  mov	w2, #0
0xfffffff0087d1cdc: 1585ed97  bl	#0xfffffff008333130
0xfffffff0087d1ce0: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff0087d1ce4: 7a67d797  bl	#0xfffffff007dabacc
0xfffffff0087d1ce8: 1f0300f9  str	xzr, [x24]
0xfffffff0087d1cec: 689240b9  ldr	w8, [x19, #0x90]
0xfffffff0087d1cf0: 01050011  add	w1, w8, #1
0xfffffff0087d1cf4: 619200b9  str	w1, [x19, #0x90]
0xfffffff0087d1cf8: e00313aa  mov	x0, x19
0xfffffff0087d1cfc: e20314aa  mov	x2, x20
0xfffffff0087d1d00: e30315aa  mov	x3, x21
0xfffffff0087d1d04: e40317aa  mov	x4, x23
0xfffffff0087d1d08: e50316aa  mov	x5, x22
0xfffffff0087d1d0c: df370094  bl	#0xfffffff0087dfc88
0xfffffff0087d1d10: f90300aa  mov	x25, x0
0xfffffff0087d1d14: 800700b4  cbz	x0, #0xfffffff0087d1e04
0xfffffff0087d1d18: 300340f9  ldr	x16, [x25]
0xfffffff0087d1d1c: f10319aa  mov	x17, x25
0xfffffff0087d1d20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d1d24: 301ac1da  autda	x16, x17
0xfffffff0087d1d28: 116c80d2  mov	x17, #0x360
0xfffffff0087d1d2c: 1002118b  add	x16, x16, x17
0xfffffff0087d1d30: 080240f9  ldr	x8, [x16]
0xfffffff0087d1d34: e90310aa  mov	x9, x16
0xfffffff0087d1d38: e00319aa  mov	x0, x25
0xfffffff0087d1d3c: e10313aa  mov	x1, x19
0xfffffff0087d1d40: f10309aa  mov	x17, x9
0xfffffff0087d1d44: 317df3f2  movk	x17, #0x9be9, lsl #48
