; Candidate 7066
; ADRP+ADD at VM 0xfffffff008854ec0 (fileoff 0x1850ec0): page=0x1fe995000 add_imm=0xe80

0xfffffff008854e40: 18020034  cbz	w24, #0xfffffff008854e80
0xfffffff008854e44: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008854e48: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008854e4c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008854e50: 884effd0  adrp	x8, #0xfffffff007226000
0xfffffff008854e54: 08cd2591  add	x8, x8, #0x973
0xfffffff008854e58: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008854e5c: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854e60: 08811191  add	x8, x8, #0x460
0xfffffff008854e64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854e68: 880c8052  mov	w8, #0x64
0xfffffff008854e6c: e04dffd0  adrp	x0, #0xfffffff007212000
0xfffffff008854e70: 00c82691  add	x0, x0, #0x9b2
0xfffffff008854e74: f72300a9  stp	x23, x8, [sp]
0xfffffff008854e78: 7a89d597  bl	#0xfffffff007db7460
0xfffffff008854e7c: 19000014  b	#0xfffffff008854ee0
0xfffffff008854e80: cb7c0194  bl	#0xfffffff0088b41ac
0xfffffff008854e84: f70300aa  mov	x23, x0
0xfffffff008854e88: e0008052  mov	w0, #7
0xfffffff008854e8c: 719a0094  bl	#0xfffffff00887b850
0xfffffff008854e90: e80316aa  mov	x8, x22
0xfffffff008854e94: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008854e98: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008854e9c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008854ea0: 884effd0  adrp	x8, #0xfffffff007226000
0xfffffff008854ea4: 08cd2591  add	x8, x8, #0x973
0xfffffff008854ea8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008854eac: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854eb0: 08811191  add	x8, x8, #0x460
0xfffffff008854eb4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008854eb8: 880c8052  mov	w8, #0x64
0xfffffff008854ebc: f72300a9  stp	x23, x8, [sp]
0xfffffff008854ec0: a04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008854ec4: 00003a91  add	x0, x0, #0xe80
0xfffffff008854ec8: a18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008854ecc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008854ed0: e34ffff0  adrp	x3, #0xfffffff007253000
0xfffffff008854ed4: 63542491  add	x3, x3, #0x915
0xfffffff008854ed8: 02008052  mov	w2, #0
0xfffffff008854edc: 9578eb97  bl	#0xfffffff008333130
0xfffffff008854ee0: e00316aa  mov	x0, x22
0xfffffff008854ee4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008854ee8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008854eec: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008854ef0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008854ef4: ff830291  add	sp, sp, #0xa0
0xfffffff008854ef8: ff0f5fd6  retab	
0xfffffff008854efc: 7f2303d5  pacibsp	
0xfffffff008854f00: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008854f04: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008854f08: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008854f0c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008854f10: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008854f14: fd430291  add	x29, sp, #0x90
0xfffffff008854f18: f50302aa  mov	x21, x2
0xfffffff008854f1c: f40301aa  mov	x20, x1
0xfffffff008854f20: f30300aa  mov	x19, x0
0xfffffff008854f24: 800c8052  mov	w0, #0x64
0xfffffff008854f28: e1008052  mov	w1, #7
0xfffffff008854f2c: 299a0094  bl	#0xfffffff00887b7d0
0xfffffff008854f30: e0020034  cbz	w0, #0xfffffff008854f8c
0xfffffff008854f34: 800c8052  mov	w0, #0x64
0xfffffff008854f38: 389a0094  bl	#0xfffffff00887b818
0xfffffff008854f3c: f70300aa  mov	x23, x0
