; Candidate 16415
; ADRP+ADD at VM 0xfffffff009e98674 (fileoff 0x2e94674): page=0x1fd9bf000 add_imm=0xe74

0xfffffff009e985f4: 980340f9  ldr	x24, [x28]
0xfffffff009e985f8: 09ab43b9  ldr	w9, [x24, #0x3a8]
0xfffffff009e985fc: 3f01086b  cmp	w9, w8
0xfffffff009e98600: 20020054  b.eq	#0xfffffff009e98644
0xfffffff009e98604: 9c2340f9  ldr	x28, [x28, #0x40]
0xfffffff009e98608: 7cffffb5  cbnz	x28, #0xfffffff009e985f4
0xfffffff009e9860c: 083e8452  mov	w8, #0x21f0
0xfffffff009e98610: 8802088b  add	x8, x20, x8
0xfffffff009e98614: 690640f9  ldr	x9, [x19, #8]
0xfffffff009e98618: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e9861c: 28cdfe90  adrp	x8, #0xfffffff00783c000
0xfffffff009e98620: 08013291  add	x8, x8, #0xc80
0xfffffff009e98624: 29508552  mov	w9, #0x2a81
0xfffffff009e98628: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9862c: 60cdfeb0  adrp	x0, #0xfffffff007845000
0xfffffff009e98630: 00e00e91  add	x0, x0, #0x3b8
0xfffffff009e98634: a49cff97  bl	#0xfffffff009e7f8c4
0xfffffff009e98638: 5b008052  mov	w27, #2
0xfffffff009e9863c: f80314aa  mov	x24, x20
0xfffffff009e98640: e3000014  b	#0xfffffff009e989cc
0xfffffff009e98644: fb3300f9  str	x27, [sp, #0x60]
0xfffffff009e98648: 800740f9  ldr	x0, [x28, #8]
0xfffffff009e9864c: cb230194  bl	#0xfffffff009ee1578
0xfffffff009e98650: e0020034  cbz	w0, #0xfffffff009e986ac
0xfffffff009e98654: fb0300aa  mov	x27, x0
0xfffffff009e98658: 083e8452  mov	w8, #0x21f0
0xfffffff009e9865c: 0803088b  add	x8, x24, x8
0xfffffff009e98660: 49518552  mov	w9, #0x2a8a
0xfffffff009e98664: 2acdfe90  adrp	x10, #0xfffffff00783c000
0xfffffff009e98668: 4a013291  add	x10, x10, #0xc80
0xfffffff009e9866c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e98670: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff009e98674: e0cdfef0  adrp	x0, #0xfffffff007857000
0xfffffff009e98678: 00d03991  add	x0, x0, #0xe74
0xfffffff009e9867c: 929cff97  bl	#0xfffffff009e7f8c4
0xfffffff009e98680: d3000014  b	#0xfffffff009e989cc
0xfffffff009e98684: 78820291  add	x24, x19, #0xa0
0xfffffff009e98688: e00318aa  mov	x0, x24
0xfffffff009e9868c: c9547c97  bl	#0xfffffff007dad9b0
0xfffffff009e98690: 684e40f9  ldr	x8, [x19, #0x98]
0xfffffff009e98694: 08016ab2  orr	x8, x8, #0x400000
0xfffffff009e98698: 684e00f9  str	x8, [x19, #0x98]
0xfffffff009e9869c: e00318aa  mov	x0, x24
0xfffffff009e986a0: b80359f8  ldur	x24, [x29, #-0x70]
0xfffffff009e986a4: 56587c97  bl	#0xfffffff007dae7fc
0xfffffff009e986a8: 22000014  b	#0xfffffff009e98730
0xfffffff009e986ac: fc2f00f9  str	x28, [sp, #0x58]
0xfffffff009e986b0: 800740f9  ldr	x0, [x28, #8]
0xfffffff009e986b4: d6868297  bl	#0xfffffff007f3a20c
0xfffffff009e986b8: 010080d2  mov	x1, #0
0xfffffff009e986bc: a69aff97  bl	#0xfffffff009e7f154
0xfffffff009e986c0: bc1a40b9  ldr	w28, [x21, #0x18]
0xfffffff009e986c4: 9fffff17  b	#0xfffffff009e98540
0xfffffff009e986c8: 096b40f9  ldr	x9, [x24, #0xd0]
0xfffffff009e986cc: 296540f9  ldr	x9, [x9, #0xc8]
0xfffffff009e986d0: 29ed44b9  ldr	w9, [x9, #0x4ec]
0xfffffff009e986d4: 2925c81a  lsr	w9, w9, w8
0xfffffff009e986d8: c9000034  cbz	w9, #0xfffffff009e986f0
0xfffffff009e986dc: 086b40f9  ldr	x8, [x24, #0xd0]
0xfffffff009e986e0: 09210391  add	x9, x8, #0xc8
0xfffffff009e986e4: 280140f9  ldr	x8, [x9]
0xfffffff009e986e8: 08ed44b9  ldr	w8, [x8, #0x4ec]
0xfffffff009e986ec: 03000014  b	#0xfffffff009e986f8
0xfffffff009e986f0: 29008052  mov	w9, #1
