; Candidate 15396
; ADRP+ADD at VM 0xfffffff009b5b4e8 (fileoff 0x2b574e8): page=0x1fdacd000 add_imm=0xed0

0xfffffff009b5b468: 40000054  b.eq	#0xfffffff009b5b470
0xfffffff009b5b46c: 408e38d4  brk	#0xc472
0xfffffff009b5b470: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b5b474: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5b478: e00313aa  mov	x0, x19
0xfffffff009b5b47c: 010080d2  mov	x1, #0
0xfffffff009b5b480: f10308aa  mov	x17, x8
0xfffffff009b5b484: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5b488: 31093fd7  blraa	x9, x17
0xfffffff009b5b48c: f60300aa  mov	x22, x0
0xfffffff009b5b490: 700240f9  ldr	x16, [x19]
0xfffffff009b5b494: f10313aa  mov	x17, x19
0xfffffff009b5b498: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5b49c: 301ac1da  autda	x16, x17
0xfffffff009b5b4a0: f10310aa  mov	x17, x16
0xfffffff009b5b4a4: f147c1da  xpacd	x17
0xfffffff009b5b4a8: 1f0211eb  cmp	x16, x17
0xfffffff009b5b4ac: 40000054  b.eq	#0xfffffff009b5b4b4
0xfffffff009b5b4b0: 408e38d4  brk	#0xc472
0xfffffff009b5b4b4: 08620891  add	x8, x16, #0x218
0xfffffff009b5b4b8: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b5b4bc: e00313aa  mov	x0, x19
0xfffffff009b5b4c0: 010080d2  mov	x1, #0
0xfffffff009b5b4c4: f10308aa  mov	x17, x8
0xfffffff009b5b4c8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b5b4cc: 31093fd7  blraa	x9, x17
0xfffffff009b5b4d0: 88d6fe90  adrp	x8, #0xfffffff00762b000
0xfffffff009b5b4d4: 08dd1791  add	x8, x8, #0x5f7
0xfffffff009b5b4d8: 69d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b5b4dc: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b5b4e0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b5b4e4: f60300a9  stp	x22, x0, [sp]
0xfffffff009b5b4e8: 60d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b5b4ec: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5b4f0: 83d6fed0  adrp	x3, #0xfffffff00762d000
0xfffffff009b5b4f4: 63f40d91  add	x3, x3, #0x37d
0xfffffff009b5b4f8: e10315aa  mov	x1, x21
0xfffffff009b5b4fc: e20314aa  mov	x2, x20
0xfffffff009b5b500: 0c5f9f97  bl	#0xfffffff008333130
0xfffffff009b5b504: a7b2ff97  bl	#0xfffffff009b47fa0
0xfffffff009b5b508: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b5b50c: 090948b9  ldr	w9, [x8, #0x808]
0xfffffff009b5b510: a9010036  tbz	w9, #0, #0xfffffff009b5b544
0xfffffff009b5b514: 08604091  add	x8, x0, #0x18, lsl #12
0xfffffff009b5b518: 14811a91  add	x20, x8, #0x6a0
0xfffffff009b5b51c: a1b2ff97  bl	#0xfffffff009b47fa0
0xfffffff009b5b520: 1f0014eb  cmp	x0, x20
0xfffffff009b5b524: e2000054  b.hs	#0xfffffff009b5b540
0xfffffff009b5b528: 20008052  mov	w0, #1
0xfffffff009b5b52c: afee9f97  bl	#0xfffffff008356fe8
0xfffffff009b5b530: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b5b534: 090948b9  ldr	w9, [x8, #0x808]
0xfffffff009b5b538: 29ff0737  tbnz	w9, #0, #0xfffffff009b5b51c
0xfffffff009b5b53c: 02000014  b	#0xfffffff009b5b544
0xfffffff009b5b540: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b5b544: 08212091  add	x8, x8, #0x808
0xfffffff009b5b548: 080140b9  ldr	w8, [x8]
0xfffffff009b5b54c: e8010037  tbnz	w8, #0, #0xfffffff009b5b588
0xfffffff009b5b550: 700240f9  ldr	x16, [x19]
0xfffffff009b5b554: f10313aa  mov	x17, x19
0xfffffff009b5b558: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5b55c: 301ac1da  autda	x16, x17
0xfffffff009b5b560: 11c680d2  mov	x17, #0x630
0xfffffff009b5b564: 1002118b  add	x16, x16, x17
