; Candidate 14173
; ADRP+ADD at VM 0xfffffff009749528 (fileoff 0x2745528): page=0xc42000 add_imm=0xd30

0xfffffff0097494a8: f55b01a9  stp	x21, x22, [sp, #0x10]
0xfffffff0097494ac: f46300a9  stp	x20, x24, [sp]
0xfffffff0097494b0: 00f2fed0  adrp	x0, #0xfffffff00758b000
0xfffffff0097494b4: 00802191  add	x0, x0, #0x860
0xfffffff0097494b8: 6126ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff0097494bc: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0097494c0: e3f2feb0  adrp	x3, #0xfffffff0075a6000
0xfffffff0097494c4: 63342091  add	x3, x3, #0x80d
0xfffffff0097494c8: 42008052  mov	w2, #2
0xfffffff0097494cc: 19a7af97  bl	#0xfffffff008333130
0xfffffff0097494d0: 20008052  mov	w0, #1
0xfffffff0097494d4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0097494d8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0097494dc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0097494e0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0097494e4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0097494e8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0097494ec: ff830291  add	sp, sp, #0xa0
0xfffffff0097494f0: ff0f5fd6  retab	
0xfffffff0097494f4: 700240f9  ldr	x16, [x19]
0xfffffff0097494f8: f10313aa  mov	x17, x19
0xfffffff0097494fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749500: 301ac1da  autda	x16, x17
0xfffffff009749504: 115780d2  mov	x17, #0x2b8
0xfffffff009749508: 1002118b  add	x16, x16, x17
0xfffffff00974950c: 080240f9  ldr	x8, [x16]
0xfffffff009749510: e90310aa  mov	x9, x16
0xfffffff009749514: e00313aa  mov	x0, x19
0xfffffff009749518: e10314aa  mov	x1, x20
0xfffffff00974951c: f10309aa  mov	x17, x9
0xfffffff009749520: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009749524: 11093fd7  blraa	x8, x17
0xfffffff009749528: 006200d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00974952c: 00c03491  add	x0, x0, #0xd30
0xfffffff009749530: 0a6dae97  bl	#0xfffffff0082e4958
0xfffffff009749534: f40300aa  mov	x20, x0
0xfffffff009749538: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff00974953c: 3af2fe90  adrp	x26, #0xfffffff00758d000
0xfffffff009749540: 5ac73491  add	x26, x26, #0xd31
0xfffffff009749544: c00300b4  cbz	x0, #0xfffffff0097495bc
0xfffffff009749548: 100040f9  ldr	x16, [x0]
0xfffffff00974954c: f10300aa  mov	x17, x0
0xfffffff009749550: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749554: 301ac1da  autda	x16, x17
0xfffffff009749558: 113d80d2  mov	x17, #0x1e8
0xfffffff00974955c: 1002118b  add	x16, x16, x17
0xfffffff009749560: 080240f9  ldr	x8, [x16]
0xfffffff009749564: e90310aa  mov	x9, x16
0xfffffff009749568: 010080d2  mov	x1, #0
0xfffffff00974956c: f10309aa  mov	x17, x9
0xfffffff009749570: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009749574: 11093fd7  blraa	x8, x17
0xfffffff009749578: f50300aa  mov	x21, x0
0xfffffff00974957c: 604e40f9  ldr	x0, [x19, #0x98]
0xfffffff009749580: 400200b4  cbz	x0, #0xfffffff0097495c8
0xfffffff009749584: 100040f9  ldr	x16, [x0]
0xfffffff009749588: f10300aa  mov	x17, x0
0xfffffff00974958c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009749590: 301ac1da  autda	x16, x17
0xfffffff009749594: 114380d2  mov	x17, #0x218
0xfffffff009749598: 1002118b  add	x16, x16, x17
0xfffffff00974959c: 080240f9  ldr	x8, [x16]
0xfffffff0097495a0: e90310aa  mov	x9, x16
0xfffffff0097495a4: 010080d2  mov	x1, #0
