; Candidate 8959
; ADRP+ADD at VM 0xfffffff0088fe78c (fileoff 0x18fa78c): page=0x1fe972000 add_imm=0xecb

0xfffffff0088fe70c: f7f30132  mov	w23, #-0x55555556
0xfffffff0088fe710: 95f1ff97  bl	#0xfffffff0088fad64
0xfffffff0088fe714: 20040036  tbz	w0, #0, #0xfffffff0088fe798
0xfffffff0088fe718: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fe71c: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0088fe720: f73700b9  str	w23, [sp, #0x34]
0xfffffff0088fe724: e0e30091  add	x0, sp, #0x38
0xfffffff0088fe728: e1d30091  add	x1, sp, #0x34
0xfffffff0088fe72c: f656d797  bl	#0xfffffff007ed4304
0xfffffff0088fe730: f61f40f9  ldr	x22, [sp, #0x38]
0xfffffff0088fe734: 700240f9  ldr	x16, [x19]
0xfffffff0088fe738: f10313aa  mov	x17, x19
0xfffffff0088fe73c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fe740: 301ac1da  autda	x16, x17
0xfffffff0088fe744: f10310aa  mov	x17, x16
0xfffffff0088fe748: f147c1da  xpacd	x17
0xfffffff0088fe74c: 1f0211eb  cmp	x16, x17
0xfffffff0088fe750: 40000054  b.eq	#0xfffffff0088fe758
0xfffffff0088fe754: 408e38d4  brk	#0xc472
0xfffffff0088fe758: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fe75c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fe760: f83740b9  ldr	w24, [sp, #0x34]
0xfffffff0088fe764: e00313aa  mov	x0, x19
0xfffffff0088fe768: 010080d2  mov	x1, #0
0xfffffff0088fe76c: f10308aa  mov	x17, x8
0xfffffff0088fe770: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fe774: 31093fd7  blraa	x9, x17
0xfffffff0088fe778: f55302a9  stp	x21, x20, [sp, #0x20]
0xfffffff0088fe77c: 884bfff0  adrp	x8, #0xfffffff007271000
0xfffffff0088fe780: 08390291  add	x8, x8, #0x8e
0xfffffff0088fe784: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fe788: f66300a9  stp	x22, x24, [sp]
0xfffffff0088fe78c: 804bffd0  adrp	x0, #0xfffffff007270000
0xfffffff0088fe790: 002c3b91  add	x0, x0, #0xecb
0xfffffff0088fe794: 2362e997  bl	#0xfffffff008357020
0xfffffff0088fe798: 68e24b39  ldrb	w8, [x19, #0x2f8]
0xfffffff0088fe79c: 88040034  cbz	w8, #0xfffffff0088fe82c
0xfffffff0088fe7a0: 16588052  mov	w22, #0x2c0
0xfffffff0088fe7a4: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0088fe7a8: 6ff1ff97  bl	#0xfffffff0088fad64
0xfffffff0088fe7ac: 001c0036  tbz	w0, #0, #0xfffffff0088feb2c
0xfffffff0088fe7b0: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0088fe7b4: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0088fe7b8: f73700b9  str	w23, [sp, #0x34]
0xfffffff0088fe7bc: e0e30091  add	x0, sp, #0x38
0xfffffff0088fe7c0: e1d30091  add	x1, sp, #0x34
0xfffffff0088fe7c4: d056d797  bl	#0xfffffff007ed4304
0xfffffff0088fe7c8: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff0088fe7cc: 700240f9  ldr	x16, [x19]
0xfffffff0088fe7d0: f10313aa  mov	x17, x19
0xfffffff0088fe7d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fe7d8: 301ac1da  autda	x16, x17
0xfffffff0088fe7dc: f10310aa  mov	x17, x16
0xfffffff0088fe7e0: f147c1da  xpacd	x17
0xfffffff0088fe7e4: 1f0211eb  cmp	x16, x17
0xfffffff0088fe7e8: 40000054  b.eq	#0xfffffff0088fe7f0
0xfffffff0088fe7ec: 408e38d4  brk	#0xc472
0xfffffff0088fe7f0: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fe7f4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fe7f8: f53740b9  ldr	w21, [sp, #0x34]
0xfffffff0088fe7fc: e00313aa  mov	x0, x19
0xfffffff0088fe800: 010080d2  mov	x1, #0
0xfffffff0088fe804: f10308aa  mov	x17, x8
0xfffffff0088fe808: 9193e1f2  movk	x17, #0xc9c, lsl #48
