; Candidate 12317
; ADRP+ADD at VM 0xfffffff009088f08 (fileoff 0x2084f08): page=0x1fe3d4000 add_imm=0xe43

0xfffffff009088e88: 96000014  b	#0xfffffff0090890e0
0xfffffff009088e8c: 9f2403d5  bti	j
0xfffffff009088e90: c14240f8  ldur	x1, [x22, #4]
0xfffffff009088e94: e00313aa  mov	x0, x19
0xfffffff009088e98: cc050094  bl	#0xfffffff00908a5c8
0xfffffff009088e9c: 60010034  cbz	w0, #0xfffffff009088ec8
0xfffffff009088ea0: 88000014  b	#0xfffffff0090890c0
0xfffffff009088ea4: 9f2403d5  bti	j
0xfffffff009088ea8: c10240b9  ldr	w1, [x22]
0xfffffff009088eac: e00313aa  mov	x0, x19
0xfffffff009088eb0: 9cf0ff97  bl	#0xfffffff009085120
0xfffffff009088eb4: a0000034  cbz	w0, #0xfffffff009088ec8
0xfffffff009088eb8: 86000014  b	#0xfffffff0090890d0
0xfffffff009088ebc: 9f2403d5  bti	j
0xfffffff009088ec0: e00313aa  mov	x0, x19
0xfffffff009088ec4: 3dedff97  bl	#0xfffffff0090843b8
0xfffffff009088ec8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009088ecc: 2813088b  add	x8, x25, x8, lsl #4
0xfffffff009088ed0: 08210091  add	x8, x8, #8
0xfffffff009088ed4: c9320091  add	x9, x22, #0xc
0xfffffff009088ed8: d6420091  add	x22, x22, #0x10
0xfffffff009088edc: 3f0108eb  cmp	x9, x8
0xfffffff009088ee0: 23eeff54  b.lo	#0xfffffff009088ca4
0xfffffff009088ee4: 30000014  b	#0xfffffff009088fa4
0xfffffff009088ee8: 7a821239  strb	w26, [x19, #0x4a0]
0xfffffff009088eec: 08050011  add	w8, w8, #1
0xfffffff009088ef0: 68861239  strb	w8, [x19, #0x4a1]
0xfffffff009088ef4: e9024039  ldrb	w9, [x23]
0xfffffff009088ef8: 3f790071  cmp	w9, #0x1e
0xfffffff009088efc: c8000054  b.hi	#0xfffffff009088f14
0xfffffff009088f00: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff009088f04: f50300f9  str	x21, [sp]
0xfffffff009088f08: a01eff90  adrp	x0, #0xfffffff00745c000
0xfffffff009088f0c: 000c3991  add	x0, x0, #0xe43
0xfffffff009088f10: 4438cb97  bl	#0xfffffff008357020
0xfffffff009088f14: 613a42f9  ldr	x1, [x19, #0x470]
0xfffffff009088f18: e00313aa  mov	x0, x19
0xfffffff009088f1c: 027d8052  mov	w2, #0x3e8
0xfffffff009088f20: ad600094  bl	#0xfffffff0090a11d4
0xfffffff009088f24: 20fdff34  cbz	w0, #0xfffffff009088ec8
0xfffffff009088f28: 82000014  b	#0xfffffff009089130
0xfffffff009088f2c: 087c4093  sxtw	x8, w0
0xfffffff009088f30: 6ad88152  mov	w10, #0xec3
0xfffffff009088f34: 891effb0  adrp	x9, #0xfffffff007459000
0xfffffff009088f38: 29493f91  add	x9, x9, #0xfd2
0xfffffff009088f3c: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009088f40: 891effb0  adrp	x9, #0xfffffff007459000
0xfffffff009088f44: 29b92d91  add	x9, x9, #0xb6e
0xfffffff009088f48: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009088f4c: 891effd0  adrp	x9, #0xfffffff00745a000
0xfffffff009088f50: 29dd3a91  add	x9, x9, #0xeb7
0xfffffff009088f54: e90300f9  str	x9, [sp]
0xfffffff009088f58: 801effb0  adrp	x0, #0xfffffff007459000
0xfffffff009088f5c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009088f60: 3038cb97  bl	#0xfffffff008357020
0xfffffff009088f64: 70ffff17  b	#0xfffffff009088d24
0xfffffff009088f68: 087c4093  sxtw	x8, w0
0xfffffff009088f6c: 2adc8152  mov	w10, #0xee1
0xfffffff009088f70: 891effb0  adrp	x9, #0xfffffff007459000
0xfffffff009088f74: 29493f91  add	x9, x9, #0xfd2
0xfffffff009088f78: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009088f7c: 891effb0  adrp	x9, #0xfffffff007459000
0xfffffff009088f80: 29b92d91  add	x9, x9, #0xb6e
0xfffffff009088f84: e8a700a9  stp	x8, x9, [sp, #8]
