; Candidate 13818
; ADRP+ADD at VM 0xfffffff0095a50a4 (fileoff 0x25a10a4): page=0xde3000 add_imm=0xecd

0xfffffff0095a5024: 2801889a  csel	x8, x9, x8, eq
0xfffffff0095a5028: 006868f8  ldr	x0, [x0, x8]
0xfffffff0095a502c: b0feff90  adrp	x16, #0xfffffff009579000
0xfffffff0095a5030: 10823f91  add	x16, x16, #0xfe0
0xfffffff0095a5034: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0095a5038: 3002c1da  pacia	x16, x17
0xfffffff0095a503c: e10310aa  mov	x1, x16
0xfffffff0095a5040: 5f19ff97  bl	#0xfffffff00956b5bc
0xfffffff0095a5044: 003c0013  sxth	w0, w0
0xfffffff0095a5048: 3c020094  bl	#0xfffffff0095a5938
0xfffffff0095a504c: f90300aa  mov	x25, x0
0xfffffff0095a5050: 605241f9  ldr	x0, [x19, #0x2a0]
0xfffffff0095a5054: 0ae3ff97  bl	#0xfffffff00959dc7c
0xfffffff0095a5058: f9000034  cbz	w25, #0xfffffff0095a5074
0xfffffff0095a505c: 287f4093  sxtw	x8, w25
0xfffffff0095a5060: e80300f9  str	x8, [sp]
0xfffffff0095a5064: e0fdfeb0  adrp	x0, #0xfffffff007562000
0xfffffff0095a5068: 00b42191  add	x0, x0, #0x86d
0xfffffff0095a506c: fd48a097  bl	#0xfffffff007db7460
0xfffffff0095a5070: 4cffff17  b	#0xfffffff0095a4da0
0xfffffff0095a5074: e00313aa  mov	x0, x19
0xfffffff0095a5078: 0054ff97  bl	#0xfffffff00957a078
0xfffffff0095a507c: 1f3c0072  tst	w0, #0xffff
0xfffffff0095a5080: e0000054  b.eq	#0xfffffff0095a509c
0xfffffff0095a5084: f90300aa  mov	x25, x0
0xfffffff0095a5088: 083c0013  sxth	w8, w0
0xfffffff0095a508c: e80300f9  str	x8, [sp]
0xfffffff0095a5090: e0fdfeb0  adrp	x0, #0xfffffff007562000
0xfffffff0095a5094: 009c2291  add	x0, x0, #0x8a7
0xfffffff0095a5098: b8feff17  b	#0xfffffff0095a4b78
0xfffffff0095a509c: e8be41b9  ldr	w8, [x23, #0x1bc]
0xfffffff0095a50a0: 08070034  cbz	w8, #0xfffffff0095a5180
0xfffffff0095a50a4: 006f00f0  adrp	x0, #0xfffffff00a388000
0xfffffff0095a50a8: 00343b91  add	x0, x0, #0xecd
0xfffffff0095a50ac: e00f01f9  str	x0, [sp, #0x218]
0xfffffff0095a50b0: 54e19e97  bl	#0xfffffff007d5d600
0xfffffff0095a50b4: 080080d2  mov	x8, #0
0xfffffff0095a50b8: e0170479  strh	w0, [sp, #0x20a]
0xfffffff0095a50bc: e9008052  mov	w9, #7
0xfffffff0095a50c0: e91702b9  str	w9, [sp, #0x214]
0xfffffff0095a50c4: eada40f9  ldr	x10, [x23, #0x1b0]
0xfffffff0095a50c8: 4a0dc0da  rev	x10, x10
0xfffffff0095a50cc: ea9b00f9  str	x10, [sp, #0x130]
0xfffffff0095a50d0: eaba41b9  ldr	w10, [x23, #0x1b8]
0xfffffff0095a50d4: 4a09c05a  rev	w10, w10
0xfffffff0095a50d8: ebbe41b9  ldr	w11, [x23, #0x1bc]
0xfffffff0095a50dc: 6b09c05a  rev	w11, w11
0xfffffff0095a50e0: eb4f01b9  str	w11, [sp, #0x14c]
0xfffffff0095a50e4: ea4301b9  str	w10, [sp, #0x140]
0xfffffff0095a50e8: ff4b01b9  str	wzr, [sp, #0x148]
0xfffffff0095a50ec: e99301b9  str	w9, [sp, #0x190]
0xfffffff0095a50f0: ebdf01b9  str	w11, [sp, #0x1dc]
0xfffffff0095a50f4: e9020791  add	x9, x23, #0x1c0
0xfffffff0095a50f8: eac30491  add	x10, sp, #0x130
0xfffffff0095a50fc: 2b01088b  add	x11, x9, x8
0xfffffff0095a5100: 6089400c  ld2	{v0.2s, v1.2s}, [x11]
0xfffffff0095a5104: 0208202e  rev32	v2.8b, v0.8b
0xfffffff0095a5108: 2308202e  rev32	v3.8b, v1.8b
0xfffffff0095a510c: 4b01088b  add	x11, x10, x8
0xfffffff0095a5110: 6b810091  add	x11, x11, #0x20
0xfffffff0095a5114: 6289000c  st2	{v2.2s, v3.2s}, [x11]
0xfffffff0095a5118: 08410091  add	x8, x8, #0x10
0xfffffff0095a511c: 1f0101f1  cmp	x8, #0x40
0xfffffff0095a5120: e1feff54  b.ne	#0xfffffff0095a50fc
