; Candidate 4086
; ADRP+ADD at VM 0xfffffff00879150c (fileoff 0x178d50c): page=0x1fe9a0000 add_imm=0xd90

0xfffffff00879148c: e18b03ad  stp	q1, q2, [sp, #0x70]
0xfffffff008791490: 284440f9  ldr	x8, [x1, #0x88]
0xfffffff008791494: e84b00f9  str	x8, [sp, #0x90]
0xfffffff008791498: 2180c13c  ldur	q1, [x1, #0x18]
0xfffffff00879149c: 2280c23c  ldur	q2, [x1, #0x28]
0xfffffff0087914a0: 2380c33c  ldur	q3, [x1, #0x38]
0xfffffff0087914a4: e28f01ad  stp	q2, q3, [sp, #0x30]
0xfffffff0087914a8: 2280c43c  ldur	q2, [x1, #0x48]
0xfffffff0087914ac: e28302ad  stp	q2, q0, [sp, #0x50]
0xfffffff0087914b0: 2080c03c  ldur	q0, [x1, #8]
0xfffffff0087914b4: e08700ad  stp	q0, q1, [sp, #0x10]
0xfffffff0087914b8: 28208052  mov	w8, #0x101
0xfffffff0087914bc: e8330179  strh	w8, [sp, #0x98]
0xfffffff0087914c0: e1430091  add	x1, sp, #0x10
0xfffffff0087914c4: 65140094  bl	#0xfffffff008796658
0xfffffff0087914c8: f40300aa  mov	x20, x0
0xfffffff0087914cc: 60030034  cbz	w0, #0xfffffff008791538
0xfffffff0087914d0: 484effd0  adrp	x8, #0xfffffff00715b000
0xfffffff0087914d4: 08691991  add	x8, x8, #0x65a
0xfffffff0087914d8: e85300a9  stp	x8, x20, [sp]
0xfffffff0087914dc: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087914e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087914e4: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087914e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087914ec: a34dfff0  adrp	x3, #0xfffffff007148000
0xfffffff0087914f0: 63903891  add	x3, x3, #0xe24
0xfffffff0087914f4: 02008052  mov	w2, #0
0xfffffff0087914f8: 0e87ee97  bl	#0xfffffff008333130
0xfffffff0087914fc: 10000014  b	#0xfffffff00879153c
0xfffffff008791500: 484effd0  adrp	x8, #0xfffffff00715b000
0xfffffff008791504: 08691991  add	x8, x8, #0x65a
0xfffffff008791508: e80300f9  str	x8, [sp]
0xfffffff00879150c: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791510: 00403691  add	x0, x0, #0xd90
0xfffffff008791514: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791518: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879151c: a34dfff0  adrp	x3, #0xfffffff007148000
0xfffffff008791520: 63c43791  add	x3, x3, #0xdf1
0xfffffff008791524: 02008052  mov	w2, #0
0xfffffff008791528: 0287ee97  bl	#0xfffffff008333130
0xfffffff00879152c: 54588052  mov	w20, #0x2c2
0xfffffff008791530: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008791534: 02000014  b	#0xfffffff00879153c
0xfffffff008791538: 7f020039  strb	wzr, [x19]
0xfffffff00879153c: e00314aa  mov	x0, x20
0xfffffff008791540: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008791544: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008791548: ff030391  add	sp, sp, #0xc0
0xfffffff00879154c: ff0f5fd6  retab	
0xfffffff008791550: 7f2303d5  pacibsp	
0xfffffff008791554: ffc300d1  sub	sp, sp, #0x30
0xfffffff008791558: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00879155c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008791560: fd830091  add	x29, sp, #0x20
0xfffffff008791564: f30300aa  mov	x19, x0
0xfffffff008791568: 084041b9  ldr	w8, [x0, #0x140]
0xfffffff00879156c: 494effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008791570: 29e90391  add	x9, x9, #0xfa
0xfffffff008791574: e92300a9  stp	x9, x8, [sp]
0xfffffff008791578: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff00879157c: 00403691  add	x0, x0, #0xd90
0xfffffff008791580: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791584: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791588: a34dffb0  adrp	x3, #0xfffffff007146000
