; Candidate 6592
; ADRP+ADD at VM 0xfffffff0088348e4 (fileoff 0x18308e4): page=0x1fe9b5000 add_imm=0xe80

0xfffffff008834864: 604ffff0  adrp	x0, #0xfffffff007223000
0xfffffff008834868: 00f00291  add	x0, x0, #0xbc
0xfffffff00883486c: f42300a9  stp	x20, x8, [sp]
0xfffffff008834870: fc0ad697  bl	#0xfffffff007db7460
0xfffffff008834874: 14008052  mov	w20, #0
0xfffffff008834878: 22000014  b	#0xfffffff008834900
0xfffffff00883487c: 680240f9  ldr	x8, [x19]
0xfffffff008834880: 1f3940b9  ldr	wzr, [x8, #0x38]
0xfffffff008834884: 1f3d40b9  ldr	wzr, [x8, #0x3c]
0xfffffff008834888: 49fe0194  bl	#0xfffffff0088b41ac
0xfffffff00883488c: f40300aa  mov	x20, x0
0xfffffff008834890: c0008052  mov	w0, #6
0xfffffff008834894: ef1b0194  bl	#0xfffffff00887b850
0xfffffff008834898: 680240f9  ldr	x8, [x19]
0xfffffff00883489c: 690a40b9  ldr	w9, [x19, #8]
0xfffffff0088348a0: 0a3940b9  ldr	w10, [x8, #0x38]
0xfffffff0088348a4: 083d40b9  ldr	w8, [x8, #0x3c]
0xfffffff0088348a8: 6bd640b9  ldr	w11, [x19, #0xd4]
0xfffffff0088348ac: eb3300f9  str	x11, [sp, #0x60]
0xfffffff0088348b0: eb0316aa  mov	x11, x22
0xfffffff0088348b4: f82f05a9  stp	x24, x11, [sp, #0x50]
0xfffffff0088348b8: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088348bc: e95f03a9  stp	x9, x23, [sp, #0x30]
0xfffffff0088348c0: c8338052  mov	w8, #0x19e
0xfffffff0088348c4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088348c8: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff0088348cc: 08950291  add	x8, x8, #0xa5
0xfffffff0088348d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088348d4: 280f8052  mov	w8, #0x79
0xfffffff0088348d8: c350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff0088348dc: 63803391  add	x3, x3, #0xce0
0xfffffff0088348e0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088348e4: a04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088348e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088348ec: a18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088348f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088348f4: 02008052  mov	w2, #0
0xfffffff0088348f8: 0efaeb97  bl	#0xfffffff008333130
0xfffffff0088348fc: 14008052  mov	w20, #0
0xfffffff008834900: 76d600b9  str	w22, [x19, #0xd4]
0xfffffff008834904: 200f8052  mov	w0, #0x79
0xfffffff008834908: 01018052  mov	w1, #8
0xfffffff00883490c: b11b0194  bl	#0xfffffff00887b7d0
0xfffffff008834910: c0040034  cbz	w0, #0xfffffff0088349a8
0xfffffff008834914: 200f8052  mov	w0, #0x79
0xfffffff008834918: c01b0194  bl	#0xfffffff00887b818
0xfffffff00883491c: f60300aa  mov	x22, x0
0xfffffff008834920: 23fe0194  bl	#0xfffffff0088b41ac
0xfffffff008834924: f50300aa  mov	x21, x0
0xfffffff008834928: 00018052  mov	w0, #8
0xfffffff00883492c: c91b0194  bl	#0xfffffff00887b850
0xfffffff008834930: 76010034  cbz	w22, #0xfffffff00883495c
0xfffffff008834934: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008834938: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883493c: 08950291  add	x8, x8, #0xa5
0xfffffff008834940: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834944: 280f8052  mov	w8, #0x79
0xfffffff008834948: f52300a9  stp	x21, x8, [sp]
0xfffffff00883494c: 004fffb0  adrp	x0, #0xfffffff007215000
0xfffffff008834950: 00a81591  add	x0, x0, #0x56a
0xfffffff008834954: c30ad697  bl	#0xfffffff007db7460
0xfffffff008834958: 14000014  b	#0xfffffff0088349a8
0xfffffff00883495c: 14fe0194  bl	#0xfffffff0088b41ac
0xfffffff008834960: f50300aa  mov	x21, x0
