; Candidate 259
; ADRP+ADD at VM 0xfffffff007e77acc (fileoff 0xe73acc): page=0x1ff1d7000 add_imm=0xd31

0xfffffff007e77a4c: 00043791  add	x0, x0, #0xdc1
0xfffffff007e77a50: af721894  bl	#0xfffffff00849450c
0xfffffff007e77a54: 9f2403d5  bti	j
0xfffffff007e77a58: 28b78452  mov	w8, #0x25b9
0xfffffff007e77a5c: a98efff0  adrp	x9, #0xfffffff00704e000
0xfffffff007e77a60: 29a91891  add	x9, x9, #0x62a
0xfffffff007e77a64: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e77a68: e00300f9  str	x0, [sp]
0xfffffff007e77a6c: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77a70: 00d83591  add	x0, x0, #0xd76
0xfffffff007e77a74: a6721894  bl	#0xfffffff00849450c
0xfffffff007e77a78: 001c01b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007e77a7c: 00001591  add	x0, x0, #0x540
0xfffffff007e77a80: e10315aa  mov	x1, x21
0xfffffff007e77a84: 02008052  mov	w2, #0
0xfffffff007e77a88: 1cd0fc97  bl	#0xfffffff007dabaf8
0xfffffff007e77a8c: bafeff17  b	#0xfffffff007e77574
0xfffffff007e77a90: 001c01b0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007e77a94: 00001591  add	x0, x0, #0x540
0xfffffff007e77a98: 33d3fc97  bl	#0xfffffff007dac764
0xfffffff007e77a9c: 45ffff17  b	#0xfffffff007e777b0
0xfffffff007e77aa0: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77aa4: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77aa8: 89a78452  mov	w9, #0x253c
0xfffffff007e77aac: e82700a9  stp	x8, x9, [sp]
0xfffffff007e77ab0: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77ab4: 00c03391  add	x0, x0, #0xcf0
0xfffffff007e77ab8: 95721894  bl	#0xfffffff00849450c
0xfffffff007e77abc: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77ac0: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77ac4: e9a78452  mov	w9, #0x253f
0xfffffff007e77ac8: e82700a9  stp	x8, x9, [sp]
0xfffffff007e77acc: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77ad0: 00c43491  add	x0, x0, #0xd31
0xfffffff007e77ad4: 8e721894  bl	#0xfffffff00849450c
0xfffffff007e77ad8: a88efff0  adrp	x8, #0xfffffff00704e000
0xfffffff007e77adc: 08a91891  add	x8, x8, #0x62a
0xfffffff007e77ae0: c9858452  mov	w9, #0x242e
0xfffffff007e77ae4: e82700a9  stp	x8, x9, [sp]
0xfffffff007e77ae8: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77aec: 00943291  add	x0, x0, #0xca5
0xfffffff007e77af0: 87721894  bl	#0xfffffff00849450c
0xfffffff007e77af4: e88e8452  mov	w8, #0x2477
0xfffffff007e77af8: 02000014  b	#0xfffffff007e77b00
0xfffffff007e77afc: 08918452  mov	w8, #0x2488
0xfffffff007e77b00: a98efff0  adrp	x9, #0xfffffff00704e000
0xfffffff007e77b04: 29a91891  add	x9, x9, #0x62a
0xfffffff007e77b08: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e77b0c: f30300f9  str	x19, [sp]
0xfffffff007e77b10: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77b14: 00702491  add	x0, x0, #0x91c
0xfffffff007e77b18: 7d721894  bl	#0xfffffff00849450c
0xfffffff007e77b1c: a8b18452  mov	w8, #0x258d
0xfffffff007e77b20: 12000014  b	#0xfffffff007e77b68
0xfffffff007e77b24: a8dd8452  mov	w8, #0x26ed
0xfffffff007e77b28: a98efff0  adrp	x9, #0xfffffff00704e000
0xfffffff007e77b2c: 29a91891  add	x9, x9, #0x62a
0xfffffff007e77b30: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e77b34: f30300f9  str	x19, [sp]
0xfffffff007e77b38: a08efff0  adrp	x0, #0xfffffff00704e000
0xfffffff007e77b3c: 00f01791  add	x0, x0, #0x5fc
0xfffffff007e77b40: 73721894  bl	#0xfffffff00849450c
0xfffffff007e77b44: 48b18452  mov	w8, #0x258a
0xfffffff007e77b48: 02000014  b	#0xfffffff007e77b50
