; Candidate 9255
; ADRP+ADD at VM 0xfffffff008a16e48 (fileoff 0x1a12e48): page=0x1fe883000 add_imm=0xe40

0xfffffff008a16dc8: 81000054  b.ne	#0xfffffff008a16dd8
0xfffffff008a16dcc: e00316aa  mov	x0, x22
0xfffffff008a16dd0: e10315aa  mov	x1, x21
0xfffffff008a16dd4: 4a0e3694  bl	#0xfffffff00979a6fc
0xfffffff008a16dd8: f60800b5  cbnz	x22, #0xfffffff008a16ef4
0xfffffff008a16ddc: 900240f9  ldr	x16, [x20]
0xfffffff008a16de0: f10314aa  mov	x17, x20
0xfffffff008a16de4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a16de8: 301ac1da  autda	x16, x17
0xfffffff008a16dec: 113d80d2  mov	x17, #0x1e8
0xfffffff008a16df0: 1002118b  add	x16, x16, x17
0xfffffff008a16df4: 080240f9  ldr	x8, [x16]
0xfffffff008a16df8: e90310aa  mov	x9, x16
0xfffffff008a16dfc: e00314aa  mov	x0, x20
0xfffffff008a16e00: 010080d2  mov	x1, #0
0xfffffff008a16e04: f10309aa  mov	x17, x9
0xfffffff008a16e08: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a16e0c: 11093fd7  blraa	x8, x17
0xfffffff008a16e10: 900240f9  ldr	x16, [x20]
0xfffffff008a16e14: f10314aa  mov	x17, x20
0xfffffff008a16e18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a16e1c: 301ac1da  autda	x16, x17
0xfffffff008a16e20: 113d80d2  mov	x17, #0x1e8
0xfffffff008a16e24: 1002118b  add	x16, x16, x17
0xfffffff008a16e28: 080240f9  ldr	x8, [x16]
0xfffffff008a16e2c: e90310aa  mov	x9, x16
0xfffffff008a16e30: e00314aa  mov	x0, x20
0xfffffff008a16e34: 010080d2  mov	x1, #0
0xfffffff008a16e38: f10309aa  mov	x17, x9
0xfffffff008a16e3c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a16e40: 11093fd7  blraa	x8, x17
0xfffffff008a16e44: e04f00a9  stp	x0, x19, [sp]
0xfffffff008a16e48: 0044fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a16e4c: 00003991  add	x0, x0, #0xe40
0xfffffff008a16e50: a181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a16e54: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a16e58: 4344ffb0  adrp	x3, #0xfffffff00729f000
0xfffffff008a16e5c: 63782691  add	x3, x3, #0x99e
0xfffffff008a16e60: 02028052  mov	w2, #0x10
0xfffffff008a16e64: b370e497  bl	#0xfffffff008333130
0xfffffff008a16e68: 900240f9  ldr	x16, [x20]
0xfffffff008a16e6c: f10314aa  mov	x17, x20
0xfffffff008a16e70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a16e74: 301ac1da  autda	x16, x17
0xfffffff008a16e78: f10310aa  mov	x17, x16
0xfffffff008a16e7c: f147c1da  xpacd	x17
0xfffffff008a16e80: 1f0211eb  cmp	x16, x17
0xfffffff008a16e84: 40000054  b.eq	#0xfffffff008a16e8c
0xfffffff008a16e88: 408e38d4  brk	#0xc472
0xfffffff008a16e8c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a16e90: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a16e94: e00314aa  mov	x0, x20
0xfffffff008a16e98: 010080d2  mov	x1, #0
0xfffffff008a16e9c: f10308aa  mov	x17, x8
0xfffffff008a16ea0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a16ea4: 31093fd7  blraa	x9, x17
0xfffffff008a16ea8: e04f00a9  stp	x0, x19, [sp]
0xfffffff008a16eac: 2044ffb0  adrp	x0, #0xfffffff00729b000
0xfffffff008a16eb0: 00a83f91  add	x0, x0, #0xfea
0xfffffff008a16eb4: 5b00e597  bl	#0xfffffff008357020
0xfffffff008a16eb8: 0f000014  b	#0xfffffff008a16ef4
0xfffffff008a16ebc: 180080d2  mov	x24, #0
0xfffffff008a16ec0: f8ceffb5  cbnz	x24, #0xfffffff008a1689c
0xfffffff008a16ec4: 0b000014  b	#0xfffffff008a16ef0
