; Candidate 1272
; ADRP+ADD at VM 0xfffffff008328d8c (fileoff 0x1324d8c): page=0x1e98000 add_imm=0xdb8

0xfffffff008328d0c: 82108052  mov	w2, #0x84
0xfffffff008328d10: 030080d2  mov	x3, #0
0xfffffff008328d14: fbf5e997  bl	#0xfffffff007da6500
0xfffffff008328d18: 8806e0d2  mov	x8, #0x34000000000000
0xfffffff008328d1c: 08bc40b3  bfxil	x8, x0, #0, #0x30
0xfffffff008328d20: 887e01a9  stp	x8, xzr, [x20, #0x10]
0xfffffff008328d24: 9f1200f9  str	xzr, [x20, #0x20]
0xfffffff008328d28: 9f1240f9  ldr	xzr, [x20, #0x20]
0xfffffff008328d2c: 40b2ff90  adrp	x0, #0xfffffff007970000
0xfffffff008328d30: 00c02491  add	x0, x0, #0x930
0xfffffff008328d34: 01008052  mov	w1, #0
0xfffffff008328d38: 67f8e997  bl	#0xfffffff007da6ed4
0xfffffff008328d3c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008328d40: 000000ad  stp	q0, q0, [x0]
0xfffffff008328d44: 000001ad  stp	q0, q0, [x0, #0x20]
0xfffffff008328d48: 1ffc04a9  stp	xzr, xzr, [x0, #0x48]
0xfffffff008328d4c: f0fffff0  adrp	x16, #0xfffffff008327000
0xfffffff008328d50: 10e23891  add	x16, x16, #0xe38
0xfffffff008328d54: 117b8ed2  mov	x17, #0x73d8
0xfffffff008328d58: 3002c1da  pacia	x16, x17
0xfffffff008328d5c: 10d005a9  stp	x16, x20, [x0, #0x58]
0xfffffff008328d60: 1f7c07a9  stp	xzr, xzr, [x0, #0x70]
0xfffffff008328d64: 1f3400f9  str	xzr, [x0, #0x68]
0xfffffff008328d68: 480080d2  mov	x8, #2
0xfffffff008328d6c: 2844a0f2  movk	x8, #0x221, lsl #16
0xfffffff008328d70: 2800c0f2  movk	x8, #1, lsl #32
0xfffffff008328d74: 082000f9  str	x8, [x0, #0x40]
0xfffffff008328d78: 801600f9  str	x0, [x20, #0x28]
0xfffffff008328d7c: e00313aa  mov	x0, x19
0xfffffff008328d80: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008328d84: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008328d88: ff0f5fd6  retab	
0xfffffff008328d8c: c0f40090  adrp	x0, #0xfffffff00a1c0000
0xfffffff008328d90: 00e03691  add	x0, x0, #0xdb8
0xfffffff008328d94: 1edd0594  bl	#0xfffffff0084a020c
0xfffffff008328d98: 5f2403d5  bti	c
0xfffffff008328d9c: 28008052  mov	w8, #1
0xfffffff008328da0: 080800b9  str	w8, [x0, #8]
0xfffffff008328da4: 30b0ff90  adrp	x16, #0xfffffff00792c000
0xfffffff008328da8: 10221e91  add	x16, x16, #0x788
0xfffffff008328dac: 10420091  add	x16, x16, #0x10
0xfffffff008328db0: f10300aa  mov	x17, x0
0xfffffff008328db4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008328db8: 300ac1da  pacda	x16, x17
0xfffffff008328dbc: 100000f9  str	x16, [x0]
0xfffffff008328dc0: c0035fd6  ret	
0xfffffff008328dc4: 5f2403d5  bti	c
0xfffffff008328dc8: 28008052  mov	w8, #1
0xfffffff008328dcc: 080800b9  str	w8, [x0, #8]
0xfffffff008328dd0: 30b0ff90  adrp	x16, #0xfffffff00792c000
0xfffffff008328dd4: 10221e91  add	x16, x16, #0x788
0xfffffff008328dd8: 10420091  add	x16, x16, #0x10
0xfffffff008328ddc: f10300aa  mov	x17, x0
0xfffffff008328de0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008328de4: 300ac1da  pacda	x16, x17
0xfffffff008328de8: 100000f9  str	x16, [x0]
0xfffffff008328dec: c0035fd6  ret	
0xfffffff008328df0: 5f2403d5  bti	c
0xfffffff008328df4: 08008092  mov	x8, #-1
0xfffffff008328df8: 080000f9  str	x8, [x0]
0xfffffff008328dfc: c0035fd6  ret	
0xfffffff008328e00: 5f2403d5  bti	c
0xfffffff008328e04: 4f8fe817  b	#0xfffffff007d4cb40
0xfffffff008328e08: 7f2303d5  pacibsp	
