; Candidate 7681
; ADRP+ADD at VM 0xfffffff0088788e4 (fileoff 0x18748e4): page=0x1fe971000 add_imm=0xe80

0xfffffff008878864: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008878868: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff00887886c: 2bc50f91  add	x11, x9, #0x3f1
0xfffffff008878870: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff008878874: 48238052  mov	w8, #0x11a
0xfffffff008878878: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff00887887c: 29451391  add	x9, x9, #0x4d1
0xfffffff008878880: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff008878884: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878888: 08053c91  add	x8, x8, #0xf01
0xfffffff00887888c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008878890: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008878894: a80b8052  mov	w8, #0x5d
0xfffffff008878898: c04cffd0  adrp	x0, #0xfffffff007212000
0xfffffff00887889c: 00081f91  add	x0, x0, #0x7c2
0xfffffff0088788a0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088788a4: effad497  bl	#0xfffffff007db7460
0xfffffff0088788a8: 7d000014  b	#0xfffffff008878a9c
0xfffffff0088788ac: 40ee0094  bl	#0xfffffff0088b41ac
0xfffffff0088788b0: f50300aa  mov	x21, x0
0xfffffff0088788b4: 00018052  mov	w0, #8
0xfffffff0088788b8: e60b0094  bl	#0xfffffff00887b850
0xfffffff0088788bc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088788c0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088788c4: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff0088788c8: 08451391  add	x8, x8, #0x4d1
0xfffffff0088788cc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088788d0: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff0088788d4: 08053c91  add	x8, x8, #0xf01
0xfffffff0088788d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088788dc: a80b8052  mov	w8, #0x5d
0xfffffff0088788e0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088788e4: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088788e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088788ec: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088788f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088788f4: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff0088788f8: 634c0591  add	x3, x3, #0x153
0xfffffff0088788fc: 02008052  mov	w2, #0
0xfffffff008878900: 0ceaea97  bl	#0xfffffff008333130
0xfffffff008878904: 94f1ffb5  cbnz	x20, #0xfffffff008878734
0xfffffff008878908: a00b8052  mov	w0, #0x5d
0xfffffff00887890c: 81008052  mov	w1, #4
0xfffffff008878910: b00b0094  bl	#0xfffffff00887b7d0
0xfffffff008878914: c00f0034  cbz	w0, #0xfffffff008878b0c
0xfffffff008878918: a00b8052  mov	w0, #0x5d
0xfffffff00887891c: bf0b0094  bl	#0xfffffff00887b818
0xfffffff008878920: f60300aa  mov	x22, x0
0xfffffff008878924: 22ee0094  bl	#0xfffffff0088b41ac
0xfffffff008878928: f50300aa  mov	x21, x0
0xfffffff00887892c: 80008052  mov	w0, #4
0xfffffff008878930: c80b0094  bl	#0xfffffff00887b850
0xfffffff008878934: 960b0034  cbz	w22, #0xfffffff008878aa4
0xfffffff008878938: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00887893c: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff008878940: 294d1491  add	x9, x9, #0x513
0xfffffff008878944: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008878948: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff00887894c: c8228052  mov	w8, #0x116
0xfffffff008878950: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff008878954: 29451391  add	x9, x9, #0x4d1
0xfffffff008878958: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887895c: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878960: 08053c91  add	x8, x8, #0xf01
