; Candidate 3716
; ADRP+ADD at VM 0xfffffff0087532e8 (fileoff 0x174f2e8): page=0x1fe9de000 add_imm=0xd90

0xfffffff008753268: a88351f8  ldur	x8, [x29, #-0xe8]
0xfffffff00875326c: 9f0208eb  cmp	x20, x8
0xfffffff008753270: a1c4ff54  b.ne	#0xfffffff008752b04
0xfffffff008753274: f7fdff17  b	#0xfffffff008752a50
0xfffffff008753278: ebf340b9  ldr	w11, [sp, #0xf0]
0xfffffff00875327c: 54f6ffb5  cbnz	x20, #0xfffffff008753144
0xfffffff008753280: a9ffff17  b	#0xfffffff008753124
0xfffffff008753284: fa8700b9  str	w26, [sp, #0x84]
0xfffffff008753288: ba4352b8  ldur	w26, [x29, #-0xdc]
0xfffffff00875328c: f6ffff17  b	#0xfffffff008753264
0xfffffff008753290: 18008052  mov	w24, #0
0xfffffff008753294: b5021d32  orr	w21, w21, #8
0xfffffff008753298: 30ffff17  b	#0xfffffff008752f58
0xfffffff00875329c: 11d08452  mov	w17, #0x2680
0xfffffff0087532a0: 1125119b  madd	x17, x8, x17, x9
0xfffffff0087532a4: 31d24039  ldrb	w17, [x17, #0x34]
0xfffffff0087532a8: 3f020071  cmp	w17, #0
0xfffffff0087532ac: 51050011  add	w17, w10, #1
0xfffffff0087532b0: e001517a  ccmp	w15, w17, #0, eq
0xfffffff0087532b4: c089407a  ccmp	w14, #0, #0, hi
0xfffffff0087532b8: ee179f1a  cset	w14, eq
0xfffffff0087532bc: eeb700b9  str	w14, [sp, #0xb4]
0xfffffff0087532c0: 72fdff17  b	#0xfffffff008752888
0xfffffff0087532c4: a82773a9  ldp	x8, x9, [x29, #-0xd0]
0xfffffff0087532c8: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff0087532cc: 0941388b  add	x9, x8, w24, uxtw
0xfffffff0087532d0: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087532d4: c90100b4  cbz	x9, #0xfffffff00875330c
0xfffffff0087532d8: e9f18052  mov	w9, #0x78f
0xfffffff0087532dc: e84fff90  adrp	x8, #0xfffffff00714f000
0xfffffff0087532e0: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087532e4: e82700a9  stp	x8, x9, [sp]
0xfffffff0087532e8: e04effd0  adrp	x0, #0xfffffff007131000
0xfffffff0087532ec: 00403691  add	x0, x0, #0xd90
0xfffffff0087532f0: 4195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087532f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087532f8: 634fffb0  adrp	x3, #0xfffffff007140000
0xfffffff0087532fc: 63603e91  add	x3, x3, #0xf98
0xfffffff008753300: 02008052  mov	w2, #0
0xfffffff008753304: 8b7fef97  bl	#0xfffffff008333130
0xfffffff008753308: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff00875330c: 0903080b  add	w9, w24, w8
0xfffffff008753310: 8a0209ab  adds	x10, x20, x9
0xfffffff008753314: 22030054  b.hs	#0xfffffff008753378
0xfffffff008753318: eb03182a  mov	w11, w24
0xfffffff00875331c: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008753320: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff008753324: aa8353f8  ldur	x10, [x29, #-0xc8]
0xfffffff008753328: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff00875332c: 08010b8b  add	x8, x8, x11
0xfffffff008753330: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008753334: e80100b4  cbz	x8, #0xfffffff008753370
0xfffffff008753338: 09f28052  mov	w9, #0x790
0xfffffff00875333c: e84fff90  adrp	x8, #0xfffffff00714f000
0xfffffff008753340: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008753344: e82700a9  stp	x8, x9, [sp]
0xfffffff008753348: e04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875334c: 00403691  add	x0, x0, #0xd90
0xfffffff008753350: 4195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008753354: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008753358: 634fffb0  adrp	x3, #0xfffffff007140000
0xfffffff00875335c: 63303f91  add	x3, x3, #0xfcc
0xfffffff008753360: 02008052  mov	w2, #0
0xfffffff008753364: 737fef97  bl	#0xfffffff008333130
