; Candidate 12214
; ADRP+ADD at VM 0xfffffff009068d5c (fileoff 0x2064d5c): page=0x1fe3ea000 add_imm=0xdee

0xfffffff009068cdc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009068ce0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009068ce4: ff0f5fd6  retab	
0xfffffff009068ce8: 7f2303d5  pacibsp	
0xfffffff009068cec: ff4304d1  sub	sp, sp, #0x110
0xfffffff009068cf0: eb2b096d  stp	d11, d10, [sp, #0x90]
0xfffffff009068cf4: e9230a6d  stp	d9, d8, [sp, #0xa0]
0xfffffff009068cf8: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff009068cfc: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff009068d00: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff009068d04: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff009068d08: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff009068d0c: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff009068d10: fd030491  add	x29, sp, #0x100
0xfffffff009068d14: f60301aa  mov	x22, x1
0xfffffff009068d18: fa0300aa  mov	x26, x0
0xfffffff009068d1c: d5578052  mov	w21, #0x2be
0xfffffff009068d20: 1500bc72  movk	w21, #0xe000, lsl #16
0xfffffff009068d24: 28904178  ldurh	w8, [x1, #0x19]
0xfffffff009068d28: 1fc90071  cmp	w8, #0x32
0xfffffff009068d2c: 49068052  mov	w9, #0x32
0xfffffff009068d30: 1431891a  csel	w20, w8, w9, lo
0xfffffff009068d34: 28704278  ldurh	w8, [x1, #0x27]
0xfffffff009068d38: 1fc90071  cmp	w8, #0x32
0xfffffff009068d3c: 1731891a  csel	w23, w8, w9, lo
0xfffffff009068d40: 2a10417c  ldur	h10, [x1, #0x11]
0xfffffff009068d44: 293042bc  ldur	s9, [x1, #0x23]
0xfffffff009068d48: 2830417c  ldur	h8, [x1, #0x13]
0xfffffff009068d4c: 80018052  mov	w0, #0xc
0xfffffff009068d50: f820ca97  bl	#0xfffffff0082f1130
0xfffffff009068d54: 404700b4  cbz	x0, #0xfffffff00906963c
0xfffffff009068d58: f30300aa  mov	x19, x0
0xfffffff009068d5c: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068d60: 00b83791  add	x0, x0, #0xdee
0xfffffff009068d64: ccf8ca97  bl	#0xfffffff008327094
0xfffffff009068d68: b54318b8  stur	w21, [x29, #-0x7c]
0xfffffff009068d6c: 404500b4  cbz	x0, #0xfffffff009069614
0xfffffff009068d70: fc0300aa  mov	x28, x0
0xfffffff009068d74: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068d78: 00e83e91  add	x0, x0, #0xfba
0xfffffff009068d7c: c6f8ca97  bl	#0xfffffff008327094
0xfffffff009068d80: fb0300aa  mov	x27, x0
0xfffffff009068d84: 204700b4  cbz	x0, #0xfffffff009069668
0xfffffff009068d88: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068d8c: 00303f91  add	x0, x0, #0xfcc
0xfffffff009068d90: c1f8ca97  bl	#0xfffffff008327094
0xfffffff009068d94: a04600b4  cbz	x0, #0xfffffff009069668
0xfffffff009068d98: e03f00f9  str	x0, [sp, #0x78]
0xfffffff009068d9c: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068da0: 00643f91  add	x0, x0, #0xfd9
0xfffffff009068da4: bcf8ca97  bl	#0xfffffff008327094
0xfffffff009068da8: 204600b4  cbz	x0, #0xfffffff00906966c
0xfffffff009068dac: e03b00f9  str	x0, [sp, #0x70]
0xfffffff009068db0: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068db4: 008c3f91  add	x0, x0, #0xfe3
0xfffffff009068db8: b7f8ca97  bl	#0xfffffff008327094
0xfffffff009068dbc: a04500b4  cbz	x0, #0xfffffff009069670
0xfffffff009068dc0: e03700f9  str	x0, [sp, #0x68]
0xfffffff009068dc4: 401fffd0  adrp	x0, #0xfffffff007452000
0xfffffff009068dc8: 00bc3f91  add	x0, x0, #0xfef
0xfffffff009068dcc: b2f8ca97  bl	#0xfffffff008327094
0xfffffff009068dd0: 204500b4  cbz	x0, #0xfffffff009069674
0xfffffff009068dd4: e03300f9  str	x0, [sp, #0x60]
0xfffffff009068dd8: 401fffd0  adrp	x0, #0xfffffff007452000
