; Candidate 14415
; ADRP+ADD at VM 0xfffffff009776728 (fileoff 0x2772728): page=0x1fde23000 add_imm=0xd59

0xfffffff0097766a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0097766ac: e90310aa  mov	x9, x16
0xfffffff0097766b0: e00317aa  mov	x0, x23
0xfffffff0097766b4: f10309aa  mov	x17, x9
0xfffffff0097766b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0097766bc: 11093fd7  blraa	x8, x17
0xfffffff0097766c0: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff0097766c4: 0925ff90  adrp	x9, #0xfffffff007c16000
0xfffffff0097766c8: 29b542f9  ldr	x9, [x9, #0x568]
0xfffffff0097766cc: 290140f9  ldr	x9, [x9]
0xfffffff0097766d0: 3f0108eb  cmp	x9, x8
0xfffffff0097766d4: 01010054  b.ne	#0xfffffff0097766f4
0xfffffff0097766d8: e00313aa  mov	x0, x19
0xfffffff0097766dc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0097766e0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0097766e4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0097766e8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0097766ec: ff830191  add	sp, sp, #0x60
0xfffffff0097766f0: ff0f5fd6  retab	
0xfffffff0097766f4: d69d9797  bl	#0xfffffff007d5de4c
0xfffffff0097766f8: 7f2303d5  pacibsp	
0xfffffff0097766fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009776700: fd030091  mov	x29, sp
0xfffffff009776704: 00f1fef0  adrp	x0, #0xfffffff007599000
0xfffffff009776708: 00e03491  add	x0, x0, #0xd38
0xfffffff00977670c: 4582af97  bl	#0xfffffff008357020
0xfffffff009776710: 00008052  mov	w0, #0
0xfffffff009776714: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009776718: ff0f5fd6  retab	
0xfffffff00977671c: 7f2303d5  pacibsp	
0xfffffff009776720: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009776724: fd030091  mov	x29, sp
0xfffffff009776728: 00f1fef0  adrp	x0, #0xfffffff007599000
0xfffffff00977672c: 00643591  add	x0, x0, #0xd59
0xfffffff009776730: 3c82af97  bl	#0xfffffff008357020
0xfffffff009776734: 00008052  mov	w0, #0
0xfffffff009776738: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00977673c: ff0f5fd6  retab	
0xfffffff009776740: 7f2303d5  pacibsp	
0xfffffff009776744: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009776748: fd030091  mov	x29, sp
0xfffffff00977674c: a86000b0  adrp	x8, #0xfffffff00a38b000
0xfffffff009776750: 01c947f9  ldr	x1, [x8, #0xf90]
0xfffffff009776754: 100040f9  ldr	x16, [x0]
0xfffffff009776758: f10300aa  mov	x17, x0
0xfffffff00977675c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009776760: 301ac1da  autda	x16, x17
0xfffffff009776764: 112180d2  mov	x17, #0x108
0xfffffff009776768: 1002118b  add	x16, x16, x17
0xfffffff00977676c: 080240f9  ldr	x8, [x16]
0xfffffff009776770: e90310aa  mov	x9, x16
0xfffffff009776774: f10309aa  mov	x17, x9
0xfffffff009776778: 715df0f2  movk	x17, #0x82eb, lsl #48
0xfffffff00977677c: 11093fd7  blraa	x8, x17
0xfffffff009776780: 0825ff90  adrp	x8, #0xfffffff007c16000
0xfffffff009776784: 081143f9  ldr	x8, [x8, #0x620]
0xfffffff009776788: 080140f9  ldr	x8, [x8]
0xfffffff00977678c: 080140f9  ldr	x8, [x8]
0xfffffff009776790: 1f0008eb  cmp	x0, x8
0xfffffff009776794: 20010054  b.eq	#0xfffffff0097767b8
0xfffffff009776798: 0825ff90  adrp	x8, #0xfffffff007c16000
0xfffffff00977679c: 080d43f9  ldr	x8, [x8, #0x618]
0xfffffff0097767a0: 080140f9  ldr	x8, [x8]
0xfffffff0097767a4: 080140f9  ldr	x8, [x8]
