; Candidate 671
; ADRP+ADD at VM 0xfffffff008012658 (fileoff 0x100e658): page=0x1ff064000 add_imm=0xe50

0xfffffff0080125d8: 08ed47b9  ldr	w8, [x8, #0x7ec]
0xfffffff0080125dc: 28020034  cbz	w8, #0xfffffff008012620
0xfffffff0080125e0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0080125e4: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff0080125e8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff0080125ec: 1f090071  cmp	w8, #2
0xfffffff0080125f0: 8b010054  b.lt	#0xfffffff008012620
0xfffffff0080125f4: e2c30091  add	x2, sp, #0x30
0xfffffff0080125f8: c0038052  mov	w0, #0x1e
0xfffffff0080125fc: e10313aa  mov	x1, x19
0xfffffff008012600: 03088052  mov	w3, #0x40
0xfffffff008012604: 987c0c94  bl	#0xfffffff008331864
0xfffffff008012608: c882ffb0  adrp	x8, #0xfffffff00706b000
0xfffffff00801260c: 086d1a91  add	x8, x8, #0x69b
0xfffffff008012610: e80300a9  stp	x8, x0, [sp]
0xfffffff008012614: c182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff008012618: 211c1a91  add	x1, x1, #0x687
0xfffffff00801261c: 290cf697  bl	#0xfffffff007d956c0
0xfffffff008012620: 00008052  mov	w0, #0
0xfffffff008012624: 6affff17  b	#0xfffffff0080123cc
0xfffffff008012628: 092ef597  bl	#0xfffffff007d5de4c
0xfffffff00801262c: c082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008012630: 00701891  add	x0, x0, #0x61c
0xfffffff008012634: c182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff008012638: 21dc1891  add	x1, x1, #0x637
0xfffffff00801263c: 020f8052  mov	w2, #0x78
0xfffffff008012640: 75341294  bl	#0xfffffff00849f814
0xfffffff008012644: 89158052  mov	w9, #0xac
0xfffffff008012648: c882ffb0  adrp	x8, #0xfffffff00706b000
0xfffffff00801264c: 08e11991  add	x8, x8, #0x678
0xfffffff008012650: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008012654: f50300f9  str	x21, [sp]
0xfffffff008012658: 2083ff90  adrp	x0, #0xfffffff007076000
0xfffffff00801265c: 00403991  add	x0, x0, #0xe50
0xfffffff008012660: ab071294  bl	#0xfffffff00849450c
0xfffffff008012664: 0c000000  udf	#0xc
0xfffffff008012668: 4c000000  udf	#0x4c
0xfffffff00801266c: 70000000  udf	#0x70
0xfffffff008012670: 94000000  udf	#0x94
0xfffffff008012674: b8000000  udf	#0xb8
0xfffffff008012678: 7f2303d5  pacibsp	
0xfffffff00801267c: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008012680: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008012684: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008012688: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff00801268c: fd030391  add	x29, sp, #0xc0
0xfffffff008012690: f30302aa  mov	x19, x2
0xfffffff008012694: f40301aa  mov	x20, x1
0xfffffff008012698: a80d01b0  adrp	x8, #0xfffffff00a1c7000
0xfffffff00801269c: 08010091  add	x8, x8, #0
0xfffffff0080126a0: 080140f9  ldr	x8, [x8]
0xfffffff0080126a4: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff0080126a8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0080126ac: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff0080126b0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff0080126b4: e013803d  str	q0, [sp, #0x40]
0xfffffff0080126b8: e1030191  add	x1, sp, #0x40
0xfffffff0080126bc: 9fe4fd97  bl	#0xfffffff007f8b938
0xfffffff0080126c0: e00b0035  cbnz	w0, #0xfffffff00801283c
0xfffffff0080126c4: f55340b9  ldr	w21, [sp, #0x50]
0xfffffff0080126c8: 75000034  cbz	w21, #0xfffffff0080126d4
0xfffffff0080126cc: 080080d2  mov	x8, #0
0xfffffff0080126d0: 0c000014  b	#0xfffffff008012700
0xfffffff0080126d4: f56740b9  ldr	w21, [sp, #0x64]
