; Candidate 8898
; ADRP+ADD at VM 0xfffffff0088eb43c (fileoff 0x18e743c): page=0x1fe983000 add_imm=0xd98

0xfffffff0088eb3bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eb3c0: 301ac1da  autda	x16, x17
0xfffffff0088eb3c4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088eb3c8: e90310aa  mov	x9, x16
0xfffffff0088eb3cc: f10309aa  mov	x17, x9
0xfffffff0088eb3d0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088eb3d4: 11093fd7  blraa	x8, x17
0xfffffff0088eb3d8: 6803188b  add	x8, x27, x24
0xfffffff0088eb3dc: b502198b  add	x21, x21, x25
0xfffffff0088eb3e0: 1f011aeb  cmp	x8, x26
0xfffffff0088eb3e4: 88fcff54  b.hi	#0xfffffff0088eb374
0xfffffff0088eb3e8: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb3ec: 00503491  add	x0, x0, #0xd14
0xfffffff0088eb3f0: 56010094  bl	#0xfffffff0088eb948
0xfffffff0088eb3f4: 688a40b9  ldr	w8, [x19, #0x88]
0xfffffff0088eb3f8: 02f17dd3  lsl	x2, x8, #3
0xfffffff0088eb3fc: 614a40f9  ldr	x1, [x19, #0x90]
0xfffffff0088eb400: 7f4a00f9  str	xzr, [x19, #0x90]
0xfffffff0088eb404: 6089fff0  adrp	x0, #0xfffffff007a1a000
0xfffffff0088eb408: 00c03f91  add	x0, x0, #0xff0
0xfffffff0088eb40c: 77aee997  bl	#0xfffffff008356de8
0xfffffff0088eb410: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088eb414: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088eb418: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088eb41c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0088eb420: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0088eb424: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff0088eb428: ffc30191  add	sp, sp, #0x70
0xfffffff0088eb42c: ff0f5fd6  retab	
0xfffffff0088eb430: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb434: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088eb438: 44010094  bl	#0xfffffff0088eb948
0xfffffff0088eb43c: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb440: 00603691  add	x0, x0, #0xd98
0xfffffff0088eb444: 41010094  bl	#0xfffffff0088eb948
0xfffffff0088eb448: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb44c: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088eb450: 3e010094  bl	#0xfffffff0088eb948
0xfffffff0088eb454: 7f2303d5  pacibsp	
0xfffffff0088eb458: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088eb45c: fd030091  mov	x29, sp
0xfffffff0088eb460: e80300aa  mov	x8, x0
0xfffffff0088eb464: 000040f9  ldr	x0, [x0]
0xfffffff0088eb468: 080940b9  ldr	w8, [x8, #8]
0xfffffff0088eb46c: 090c088b  add	x9, x0, x8, lsl #3
0xfffffff0088eb470: 280100eb  subs	x8, x9, x0
0xfffffff0088eb474: c3010054  b.lo	#0xfffffff0088eb4ac
0xfffffff0088eb478: 0afd60d3  lsr	x10, x8, #0x20
0xfffffff0088eb47c: 8a0100b5  cbnz	x10, #0xfffffff0088eb4ac
0xfffffff0088eb480: 290100eb  subs	x9, x9, x0
0xfffffff0088eb484: ea031fda  ngc	x10, xzr
0xfffffff0088eb488: 0b00b052  mov	w11, #-0xffffffff80000000
0xfffffff0088eb48c: 2b010bab  adds	x11, x9, x11
0xfffffff0088eb490: 4a358a9a  cinc	x10, x10, hs
0xfffffff0088eb494: 4a014092  and	x10, x10, #1
0xfffffff0088eb498: 4a814baa  orr	x10, x10, x11, lsr #32
0xfffffff0088eb49c: ea0000b5  cbnz	x10, #0xfffffff0088eb4b8
0xfffffff0088eb4a0: 018109aa  orr	x1, x8, x9, lsl #32
0xfffffff0088eb4a4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088eb4a8: ff0f5fd6  retab	
0xfffffff0088eb4ac: 004cfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088eb4b0: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088eb4b4: 25010094  bl	#0xfffffff0088eb948
0xfffffff0088eb4b8: 004cfff0  adrp	x0, #0xfffffff00726e000
