; Candidate 6710
; ADRP+ADD at VM 0xfffffff00883c4e0 (fileoff 0x18384e0): page=0x1fe9e7000 add_imm=0xd2e

0xfffffff00883c460: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00883c464: e90310aa  mov	x9, x16
0xfffffff00883c468: f10309aa  mov	x17, x9
0xfffffff00883c46c: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff00883c470: 11093fd7  blraa	x8, x17
0xfffffff00883c474: a02b0034  cbz	w0, #0xfffffff00883c9e8
0xfffffff00883c478: 600a8052  mov	w0, #0x53
0xfffffff00883c47c: 81008052  mov	w1, #4
0xfffffff00883c480: d4fc0094  bl	#0xfffffff00887b7d0
0xfffffff00883c484: 00140034  cbz	w0, #0xfffffff00883c704
0xfffffff00883c488: 600a8052  mov	w0, #0x53
0xfffffff00883c48c: e3fc0094  bl	#0xfffffff00887b818
0xfffffff00883c490: f60300aa  mov	x22, x0
0xfffffff00883c494: 46df0194  bl	#0xfffffff0088b41ac
0xfffffff00883c498: f50300aa  mov	x21, x0
0xfffffff00883c49c: 80008052  mov	w0, #4
0xfffffff00883c4a0: ecfc0094  bl	#0xfffffff00887b850
0xfffffff00883c4a4: 76320034  cbz	w22, #0xfffffff00883caf0
0xfffffff00883c4a8: 682643a9  ldp	x8, x9, [x19, #0x30]
0xfffffff00883c4ac: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff00883c4b0: aa4eff90  adrp	x10, #0xfffffff007210000
0xfffffff00883c4b4: 4a553791  add	x10, x10, #0xdd5
0xfffffff00883c4b8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00883c4bc: 48148052  mov	w8, #0xa2
0xfffffff00883c4c0: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883c4c4: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883c4c8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883c4cc: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c4d0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883c4d4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883c4d8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883c4dc: 680a8052  mov	w8, #0x53
0xfffffff00883c4e0: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883c4e4: 00b83491  add	x0, x0, #0xd2e
0xfffffff00883c4e8: 85000014  b	#0xfffffff00883c6fc
0xfffffff00883c4ec: 600a8052  mov	w0, #0x53
0xfffffff00883c4f0: 81008052  mov	w1, #4
0xfffffff00883c4f4: b7fc0094  bl	#0xfffffff00887b7d0
0xfffffff00883c4f8: 00030034  cbz	w0, #0xfffffff00883c558
0xfffffff00883c4fc: 600a8052  mov	w0, #0x53
0xfffffff00883c500: c6fc0094  bl	#0xfffffff00887b818
0xfffffff00883c504: f50300aa  mov	x21, x0
0xfffffff00883c508: 29df0194  bl	#0xfffffff0088b41ac
0xfffffff00883c50c: f40300aa  mov	x20, x0
0xfffffff00883c510: 80008052  mov	w0, #4
0xfffffff00883c514: cffc0094  bl	#0xfffffff00887b850
0xfffffff00883c518: d5080034  cbz	w21, #0xfffffff00883c630
0xfffffff00883c51c: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c520: 08493091  add	x8, x8, #0xc12
0xfffffff00883c524: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883c528: 08128052  mov	w8, #0x90
0xfffffff00883c52c: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883c530: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883c534: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883c538: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c53c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883c540: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883c544: 680a8052  mov	w8, #0x53
0xfffffff00883c548: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883c54c: 003c2f91  add	x0, x0, #0xbcf
0xfffffff00883c550: f42300a9  stp	x20, x8, [sp]
0xfffffff00883c554: c3ebd597  bl	#0xfffffff007db7460
0xfffffff00883c558: 150080d2  mov	x21, #0
0xfffffff00883c55c: 79000014  b	#0xfffffff00883c740
