; Candidate 9934
; ADRP+ADD at VM 0xfffffff008bcb930 (fileoff 0x1bc7930): page=0x1feec9000 add_imm=0xe70

0xfffffff008bcb8b0: f803162a  mov	w24, w22
0xfffffff008bcb8b4: ff0218eb  cmp	x23, x24
0xfffffff008bcb8b8: c9010054  b.ls	#0xfffffff008bcb8f0
0xfffffff008bcb8bc: 483bffb0  adrp	x8, #0xfffffff007334000
0xfffffff008bcb8c0: 085d0791  add	x8, x8, #0x1d7
0xfffffff008bcb8c4: e80300f9  str	x8, [sp]
0xfffffff008bcb8c8: c039ffd0  adrp	x0, #0xfffffff007305000
0xfffffff008bcb8cc: 00400c91  add	x0, x0, #0x310
0xfffffff008bcb8d0: 0176ffd0  adrp	x1, #0xfffffff007a8d000
0xfffffff008bcb8d4: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008bcb8d8: e33afff0  adrp	x3, #0xfffffff00732a000
0xfffffff008bcb8dc: 63683591  add	x3, x3, #0xd5a
0xfffffff008bcb8e0: 02008052  mov	w2, #0
0xfffffff008bcb8e4: 139edd97  bl	#0xfffffff008333130
0xfffffff008bcb8e8: 00008052  mov	w0, #0
0xfffffff008bcb8ec: 7d000014  b	#0xfffffff008bcbae0
0xfffffff008bcb8f0: f70315aa  mov	x23, x21
0xfffffff008bcb8f4: fc0e4178  ldrh	w28, [x23, #0x10]!
0xfffffff008bcb8f8: 28034079  ldrh	w8, [x25]
0xfffffff008bcb8fc: 1c3d1033  bfi	w28, w8, #0x10, #0x10
0xfffffff008bcb900: 29074079  ldrh	w9, [x25, #2]
0xfffffff008bcb904: 2b0b4079  ldrh	w11, [x25, #4]
0xfffffff008bcb908: 3b0f4079  ldrh	w27, [x25, #6]
0xfffffff008bcb90c: 3a134079  ldrh	w26, [x25, #8]
0xfffffff008bcb910: 487f1b1b  mul	w8, w26, w27
0xfffffff008bcb914: 0a7d0b1b  mul	w10, w8, w11
0xfffffff008bcb918: 4c7d091b  mul	w12, w10, w9
0xfffffff008bcb91c: 1f400071  cmp	w0, #0x10
0xfffffff008bcb920: e9230329  stp	w9, w8, [sp, #0x18]
0xfffffff008bcb924: eb2b0229  stp	w11, w10, [sp, #0x10]
0xfffffff008bcb928: ec0f00b9  str	w12, [sp, #0xc]
0xfffffff008bcb92c: c1040054  b.ne	#0xfffffff008bcb9c4
0xfffffff008bcb930: 4076ffb0  adrp	x0, #0xfffffff007a94000
0xfffffff008bcb934: 00c03991  add	x0, x0, #0xe70
0xfffffff008bcb938: ef2ade97  bl	#0xfffffff0083564f4
0xfffffff008bcb93c: f90300aa  mov	x25, x0
0xfffffff008bcb940: 3076fff0  adrp	x16, #0xfffffff007a92000
0xfffffff008bcb944: 10423091  add	x16, x16, #0xc10
0xfffffff008bcb948: 10420091  add	x16, x16, #0x10
0xfffffff008bcb94c: f10300aa  mov	x17, x0
0xfffffff008bcb950: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb954: 300ac1da  pacda	x16, x17
0xfffffff008bcb958: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcb95c: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcb960: 180800f9  str	x24, [x0, #0x10]
0xfffffff008bcb964: 28008052  mov	w8, #1
0xfffffff008bcb968: 08a00039  strb	w8, [x0, #0x28]
0xfffffff008bcb96c: 00fb7fd3  lsl	x0, x24, #1
0xfffffff008bcb970: f12cde97  bl	#0xfffffff008356d34
0xfffffff008bcb974: 200700f9  str	x0, [x25, #8]
0xfffffff008bcb978: 280b40f9  ldr	x8, [x25, #0x10]
0xfffffff008bcb97c: 20a301a9  stp	x0, x8, [x25, #0x18]
0xfffffff008bcb980: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bcb984: 400100b4  cbz	x0, #0xfffffff008bcb9ac
0xfffffff008bcb988: 100040f9  ldr	x16, [x0]
0xfffffff008bcb98c: f10300aa  mov	x17, x0
0xfffffff008bcb990: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb994: 301ac1da  autda	x16, x17
0xfffffff008bcb998: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcb99c: e90310aa  mov	x9, x16
0xfffffff008bcb9a0: f10309aa  mov	x17, x9
0xfffffff008bcb9a4: 511af3f2  movk	x17, #0x98d2, lsl #48
0xfffffff008bcb9a8: 11093fd7  blraa	x8, x17
0xfffffff008bcb9ac: 990600f9  str	x25, [x20, #8]
