; Candidate 15619
; ADRP+ADD at VM 0xfffffff009c67314 (fileoff 0x2c63314): page=0x1fd9ea000 add_imm=0xe82

0xfffffff009c67294: 11c6fff2  movk	x17, #0xfe30, lsl #48
0xfffffff009c67298: 31093fd7  blraa	x9, x17
0xfffffff009c6729c: 80010037  tbnz	w0, #0, #0xfffffff009c672cc
0xfffffff009c672a0: 700240f9  ldr	x16, [x19]
0xfffffff009c672a4: f10313aa  mov	x17, x19
0xfffffff009c672a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c672ac: 301ac1da  autda	x16, x17
0xfffffff009c672b0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009c672b4: e90310aa  mov	x9, x16
0xfffffff009c672b8: e00313aa  mov	x0, x19
0xfffffff009c672bc: f10309aa  mov	x17, x9
0xfffffff009c672c0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009c672c4: 11093fd7  blraa	x8, x17
0xfffffff009c672c8: 130080d2  mov	x19, #0
0xfffffff009c672cc: e00313aa  mov	x0, x19
0xfffffff009c672d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009c672d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009c672d8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff009c672dc: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff009c672e0: ff0f5fd6  retab	
0xfffffff009c672e4: 7f2303d5  pacibsp	
0xfffffff009c672e8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c672ec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c672f0: fd430091  add	x29, sp, #0x10
0xfffffff009c672f4: f30301aa  mov	x19, x1
0xfffffff009c672f8: f40300aa  mov	x20, x0
0xfffffff009c672fc: 40cffed0  adrp	x0, #0xfffffff007651000
0xfffffff009c67300: 00983991  add	x0, x0, #0xe66
0xfffffff009c67304: 0b45dc97  bl	#0xfffffff009378730
0xfffffff009c67308: 88ae40b9  ldr	w8, [x20, #0xac]
0xfffffff009c6730c: 0801002a  orr	w8, w8, w0
0xfffffff009c67310: 88ae00b9  str	w8, [x20, #0xac]
0xfffffff009c67314: 40cffed0  adrp	x0, #0xfffffff007651000
0xfffffff009c67318: 00083a91  add	x0, x0, #0xe82
0xfffffff009c6731c: 0545dc97  bl	#0xfffffff009378730
0xfffffff009c67320: 88ae40b9  ldr	w8, [x20, #0xac]
0xfffffff009c67324: 0800082a  orr	w8, w0, w8
0xfffffff009c67328: 09288052  mov	w9, #0x140
0xfffffff009c6732c: 0801092a  orr	w8, w8, w9
0xfffffff009c67330: 88ae00b9  str	w8, [x20, #0xac]
0xfffffff009c67334: 4804ff90  adrp	x8, #0xfffffff007cef000
0xfffffff009c67338: 082146f9  ldr	x8, [x8, #0xc40]
0xfffffff009c6733c: 02010b91  add	x2, x8, #0x2c0
0xfffffff009c67340: 106141f9  ldr	x16, [x8, #0x2c0]
0xfffffff009c67344: e00314aa  mov	x0, x20
0xfffffff009c67348: e10313aa  mov	x1, x19
0xfffffff009c6734c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c67350: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c67354: ff2303d5  autibsp	
0xfffffff009c67358: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009c6735c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009c67364
0xfffffff009c67360: 208e38d4  brk	#0xc471
0xfffffff009c67364: f10302aa  mov	x17, x2
0xfffffff009c67368: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009c6736c: 110a1fd7  braa	x16, x17
0xfffffff009c67370: 5f2403d5  bti	c
0xfffffff009c67374: 60008052  mov	w0, #3
0xfffffff009c67378: c0035fd6  ret	
0xfffffff009c6737c: 5f2403d5  bti	c
0xfffffff009c67380: ddf49917  b	#0xfffffff0082e46f4
0xfffffff009c67384: 5f2403d5  bti	c
0xfffffff009c67388: 00304e39  ldrb	w0, [x0, #0x38c]
0xfffffff009c6738c: c0035fd6  ret	
0xfffffff009c67390: 7f2303d5  pacibsp	
