; Candidate 2958
; ADRP+ADD at VM 0xfffffff0086f8690 (fileoff 0x16f4690): page=0x1fea39000 add_imm=0xd90

0xfffffff0086f8610: 088548b9  ldr	w8, [x8, #0x884]
0xfffffff0086f8614: eba302a9  stp	x11, x8, [sp, #0x28]
0xfffffff0086f8618: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0086f861c: e80318aa  mov	x8, x24
0xfffffff0086f8620: fba300a9  stp	x27, x8, [sp, #8]
0xfffffff0086f8624: c852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0086f8628: 08491591  add	x8, x8, #0x552
0xfffffff0086f862c: e80300f9  str	x8, [sp]
0xfffffff0086f8630: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8634: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8638: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f863c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f8640: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f8644: 63082d91  add	x3, x3, #0xb42
0xfffffff0086f8648: 02008052  mov	w2, #0
0xfffffff0086f864c: b9eaf097  bl	#0xfffffff008333130
0xfffffff0086f8650: 48034039  ldrb	w8, [x26]
0xfffffff0086f8654: a8000034  cbz	w8, #0xfffffff0086f8668
0xfffffff0086f8658: 08008052  mov	w8, #0
0xfffffff0086f865c: 34268052  mov	w20, #0x131
0xfffffff0086f8660: 48070039  strb	w8, [x26, #1]
0xfffffff0086f8664: 04000014  b	#0xfffffff0086f8674
0xfffffff0086f8668: 48074039  ldrb	w8, [x26, #1]
0xfffffff0086f866c: 08040034  cbz	w8, #0xfffffff0086f86ec
0xfffffff0086f8670: 94278052  mov	w20, #0x13c
0xfffffff0086f8674: e90318aa  mov	x9, x24
0xfffffff0086f8678: e91300f9  str	x9, [sp, #0x20]
0xfffffff0086f867c: c952ffb0  adrp	x9, #0xfffffff007151000
0xfffffff0086f8680: 29491591  add	x9, x9, #0x552
0xfffffff0086f8684: e96f00a9  stp	x9, x27, [sp]
0xfffffff0086f8688: e803082a  mov	w8, w8
0xfffffff0086f868c: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0086f8690: c051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f8694: 00403691  add	x0, x0, #0xd90
0xfffffff0086f8698: 2198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f869c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f86a0: e351ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f86a4: 63ec3d91  add	x3, x3, #0xf7b
0xfffffff0086f86a8: 02008052  mov	w2, #0
0xfffffff0086f86ac: a1eaf097  bl	#0xfffffff008333130
0xfffffff0086f86b0: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0086f86b4: 2998ffb0  adrp	x9, #0xfffffff0079fd000
0xfffffff0086f86b8: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0086f86bc: 290140f9  ldr	x9, [x9]
0xfffffff0086f86c0: 3f0108eb  cmp	x9, x8
0xfffffff0086f86c4: e1610054  b.ne	#0xfffffff0086f9300
0xfffffff0086f86c8: e00314aa  mov	x0, x20
0xfffffff0086f86cc: fd7b5ba9  ldp	x29, x30, [sp, #0x1b0]
0xfffffff0086f86d0: f44f5aa9  ldp	x20, x19, [sp, #0x1a0]
0xfffffff0086f86d4: f65759a9  ldp	x22, x21, [sp, #0x190]
0xfffffff0086f86d8: f85f58a9  ldp	x24, x23, [sp, #0x180]
0xfffffff0086f86dc: fa6757a9  ldp	x26, x25, [sp, #0x170]
0xfffffff0086f86e0: fc6f56a9  ldp	x28, x27, [sp, #0x160]
0xfffffff0086f86e4: ff030791  add	sp, sp, #0x1c0
0xfffffff0086f86e8: ff0f5fd6  retab	
0xfffffff0086f86ec: 80da59f9  ldr	x0, [x20, #0x33b0]
0xfffffff0086f86f0: 88f259f9  ldr	x8, [x20, #0x33e0]
0xfffffff0086f86f4: 01211c91  add	x1, x8, #0x708
0xfffffff0086f86f8: 8f6e0094  bl	#0xfffffff008714134
0xfffffff0086f86fc: 94278052  mov	w20, #0x13c
0xfffffff0086f8700: 28008052  mov	w8, #1
0xfffffff0086f8704: d7ffff17  b	#0xfffffff0086f8660
0xfffffff0086f8708: 8c2a4039  ldrb	w12, [x20, #0xa]
0xfffffff0086f870c: ac000034  cbz	w12, #0xfffffff0086f8720
