; Candidate 13771
; ADRP+ADD at VM 0xfffffff00957c2a4 (fileoff 0x25782a4): page=0x1fe66f000 add_imm=0xd28

0xfffffff00957c224: e40f0429  stp	w4, w3, [sp, #0x20]
0xfffffff00957c228: f90302aa  mov	x25, x2
0xfffffff00957c22c: e12b00b9  str	w1, [sp, #0x28]
0xfffffff00957c230: f70300aa  mov	x23, x0
0xfffffff00957c234: 6833ffb0  adrp	x8, #0xfffffff007be9000
0xfffffff00957c238: 080546f9  ldr	x8, [x8, #0xc08]
0xfffffff00957c23c: 080140f9  ldr	x8, [x8]
0xfffffff00957c240: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff00957c244: e8030291  add	x8, sp, #0x80
0xfffffff00957c248: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00957c24c: 008108ad  stp	q0, q0, [x8, #0x110]
0xfffffff00957c250: 008107ad  stp	q0, q0, [x8, #0xf0]
0xfffffff00957c254: 008106ad  stp	q0, q0, [x8, #0xd0]
0xfffffff00957c258: 008105ad  stp	q0, q0, [x8, #0xb0]
0xfffffff00957c25c: 008104ad  stp	q0, q0, [x8, #0x90]
0xfffffff00957c260: 008103ad  stp	q0, q0, [x8, #0x70]
0xfffffff00957c264: 008102ad  stp	q0, q0, [x8, #0x50]
0xfffffff00957c268: 008101ad  stp	q0, q0, [x8, #0x30]
0xfffffff00957c26c: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff00957c270: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00957c274: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00957c278: e013803d  str	q0, [sp, #0x40]
0xfffffff00957c27c: ff5f0079  strh	wzr, [sp, #0x2e]
0xfffffff00957c280: 6033fff0  adrp	x0, #0xfffffff007beb000
0xfffffff00957c284: 00a03391  add	x0, x0, #0xce8
0xfffffff00957c288: 9b68b797  bl	#0xfffffff0083564f4
0xfffffff00957c28c: f30300aa  mov	x19, x0
0xfffffff00957c290: a00000b4  cbz	x0, #0xfffffff00957c2a4
0xfffffff00957c294: 617000b0  adrp	x1, #0xfffffff00a389000
0xfffffff00957c298: 21c00391  add	x1, x1, #0xf0
0xfffffff00957c29c: 00458052  mov	w0, #0x228
0xfffffff00957c2a0: 0c9cb597  bl	#0xfffffff0082e32d0
0xfffffff00957c2a4: 6033fff0  adrp	x0, #0xfffffff007beb000
0xfffffff00957c2a8: 00a03491  add	x0, x0, #0xd28
0xfffffff00957c2ac: 9268b797  bl	#0xfffffff0083564f4
0xfffffff00957c2b0: f40300aa  mov	x20, x0
0xfffffff00957c2b4: a00000b4  cbz	x0, #0xfffffff00957c2c8
0xfffffff00957c2b8: 617000b0  adrp	x1, #0xfffffff00a389000
0xfffffff00957c2bc: 21c00391  add	x1, x1, #0xf0
0xfffffff00957c2c0: 00458052  mov	w0, #0x228
0xfffffff00957c2c4: 039cb597  bl	#0xfffffff0082e32d0
0xfffffff00957c2c8: f52240f9  ldr	x21, [x23, #0x40]
0xfffffff00957c2cc: e00315aa  mov	x0, x21
0xfffffff00957c2d0: cff7a697  bl	#0xfffffff007f3a20c
0xfffffff00957c2d4: 162840f9  ldr	x22, [x0, #0x50]
0xfffffff00957c2d8: e02240f9  ldr	x0, [x23, #0x40]
0xfffffff00957c2dc: ccf7a697  bl	#0xfffffff007f3a20c
0xfffffff00957c2e0: bf0216eb  cmp	x21, x22
0xfffffff00957c2e4: 08258052  mov	w8, #0x128
0xfffffff00957c2e8: 09268052  mov	w9, #0x130
0xfffffff00957c2ec: 2801889a  csel	x8, x9, x8, eq
0xfffffff00957c2f0: 1b6868f8  ldr	x27, [x0, x8]
0xfffffff00957c2f4: 530000b4  cbz	x19, #0xfffffff00957c2fc
0xfffffff00957c2f8: 7f0600b9  str	wzr, [x19, #4]
0xfffffff00957c2fc: 48018052  mov	w8, #0xa
0xfffffff00957c300: fc0313aa  mov	x28, x19
0xfffffff00957c304: 88cf0178  strh	w8, [x28, #0x1c]!
0xfffffff00957c308: e8030191  add	x8, sp, #0x40
0xfffffff00957c30c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff00957c310: e8fefe90  adrp	x8, #0xfffffff007558000
0xfffffff00957c314: 009540fd  ldr	d0, [x8, #0x128]
0xfffffff00957c318: 3804b052  mov	w24, #-0x7fdf0000
0xfffffff00957c31c: e01f00fd  str	d0, [sp, #0x38]
0xfffffff00957c320: e82340b9  ldr	w8, [sp, #0x20]
