; Candidate 7137
; ADRP+ADD at VM 0xfffffff00885a008 (fileoff 0x1856008): page=0x1fe98f000 add_imm=0xe80

0xfffffff008859f88: f60300f9  str	x22, [sp]
0xfffffff008859f8c: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859f90: 00003a91  add	x0, x0, #0xe80
0xfffffff008859f94: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008859f98: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859f9c: 02008052  mov	w2, #0
0xfffffff008859fa0: 6464eb97  bl	#0xfffffff008333130
0xfffffff008859fa4: 16008052  mov	w22, #0
0xfffffff008859fa8: 84ffff17  b	#0xfffffff008859db8
0xfffffff008859fac: 80680194  bl	#0xfffffff0088b41ac
0xfffffff008859fb0: f70300aa  mov	x23, x0
0xfffffff008859fb4: 80008052  mov	w0, #4
0xfffffff008859fb8: 26860094  bl	#0xfffffff00887b850
0xfffffff008859fbc: e80316aa  mov	x8, x22
0xfffffff008859fc0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008859fc4: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008859fc8: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008859fcc: fa2306a9  stp	x26, x8, [sp, #0x60]
0xfffffff008859fd0: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff008859fd4: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008859fd8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008859fdc: e8558152  mov	w8, #0xaaf
0xfffffff008859fe0: 694effd0  adrp	x9, #0xfffffff007227000
0xfffffff008859fe4: 29250191  add	x9, x9, #0x49
0xfffffff008859fe8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008859fec: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff008859ff0: 08811191  add	x8, x8, #0x460
0xfffffff008859ff4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008859ff8: 880c8052  mov	w8, #0x64
0xfffffff008859ffc: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff00885a000: 63682591  add	x3, x3, #0x95a
0xfffffff00885a004: f72300a9  stp	x23, x8, [sp]
0xfffffff00885a008: 604cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885a00c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885a010: 618dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00885a014: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885a018: 02008052  mov	w2, #0
0xfffffff00885a01c: 4564eb97  bl	#0xfffffff008333130
0xfffffff00885a020: e00314aa  mov	x0, x20
0xfffffff00885a024: e10315aa  mov	x1, x21
0xfffffff00885a028: df021031  cmn	w22, #0x400
0xfffffff00885a02c: a1000054  b.ne	#0xfffffff00885a040
0xfffffff00885a030: 02008052  mov	w2, #0
0xfffffff00885a034: 227cfe97  bl	#0xfffffff0087f90bc
0xfffffff00885a038: f67f8012  mov	w22, #-0x400
0xfffffff00885a03c: 5fffff17  b	#0xfffffff008859db8
0xfffffff00885a040: 02008012  mov	w2, #-1
0xfffffff00885a044: 1e7cfe97  bl	#0xfffffff0087f90bc
0xfffffff00885a048: 5cffff17  b	#0xfffffff008859db8
0xfffffff00885a04c: 7f2303d5  pacibsp	
0xfffffff00885a050: ff8303d1  sub	sp, sp, #0xe0
0xfffffff00885a054: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff00885a058: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff00885a05c: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00885a060: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff00885a064: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff00885a068: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff00885a06c: fd430391  add	x29, sp, #0xd0
0xfffffff00885a070: f50302aa  mov	x21, x2
0xfffffff00885a074: f40301aa  mov	x20, x1
0xfffffff00885a078: f30300aa  mov	x19, x0
0xfffffff00885a07c: 800c8052  mov	w0, #0x64
0xfffffff00885a080: e1008052  mov	w1, #7
0xfffffff00885a084: d3850094  bl	#0xfffffff00887b7d0
