; Candidate 1312
; ADRP+ADD at VM 0xfffffff00834bf00 (fileoff 0x1347f00): page=0x1fed58000 add_imm=0xd29

0xfffffff00834be80: 340440f9  ldr	x20, [x1, #8]
0xfffffff00834be84: 940000b4  cbz	x20, #0xfffffff00834be94
0xfffffff00834be88: 281440b9  ldr	w8, [x1, #0x14]
0xfffffff00834be8c: 1ff10071  cmp	w8, #0x3c
0xfffffff00834be90: 03030054  b.lo	#0xfffffff00834bef0
0xfffffff00834be94: 21514139  ldrb	w1, [x9, #0x54]
0xfffffff00834be98: 020080d2  mov	x2, #0
0xfffffff00834be9c: 030080d2  mov	x3, #0
0xfffffff00834bea0: 91000094  bl	#0xfffffff00834c0e4
0xfffffff00834bea4: f30300aa  mov	x19, x0
0xfffffff00834bea8: 40020035  cbnz	w0, #0xfffffff00834bef0
0xfffffff00834beac: 2866ffb0  adrp	x8, #0xfffffff007010000
0xfffffff00834beb0: 0061c23d  ldr	q0, [x8, #0x980]
0xfffffff00834beb4: 8042823c  stur	q0, [x20, #0x24]
0xfffffff00834beb8: 88078052  mov	w8, #0x3c
0xfffffff00834bebc: 880600b9  str	w8, [x20, #4]
0xfffffff00834bec0: 2866ff90  adrp	x8, #0xfffffff00700f000
0xfffffff00834bec4: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff00834bec8: 80c201fc  stur	d0, [x20, #0x1c]
0xfffffff00834becc: 9f4203f8  stur	xzr, [x20, #0x34]
0xfffffff00834bed0: 08000014  b	#0xfffffff00834bef0
0xfffffff00834bed4: 291d40b9  ldr	w9, [x9, #0x1c]
0xfffffff00834bed8: 73220011  add	w19, w19, #8
0xfffffff00834bedc: 3f01086b  cmp	w9, w8
0xfffffff00834bee0: 80000054  b.eq	#0xfffffff00834bef0
0xfffffff00834bee4: c06aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff00834bee8: 00a43491  add	x0, x0, #0xd29
0xfffffff00834beec: 895dfe97  bl	#0xfffffff0082e3510
0xfffffff00834bef0: e00313aa  mov	x0, x19
0xfffffff00834bef4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00834bef8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00834befc: ff0f5fd6  retab	
0xfffffff00834bf00: c06aff90  adrp	x0, #0xfffffff0070a3000
0xfffffff00834bf04: 00a43491  add	x0, x0, #0xd29
0xfffffff00834bf08: 825dfe97  bl	#0xfffffff0082e3510
0xfffffff00834bf0c: 200020d4  brk	#1
0xfffffff00834bf10: 7f2303d5  pacibsp	
0xfffffff00834bf14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00834bf18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00834bf1c: fd430091  add	x29, sp, #0x10
0xfffffff00834bf20: e80300aa  mov	x8, x0
0xfffffff00834bf24: e0578052  mov	w0, #0x2bf
0xfffffff00834bf28: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff00834bf2c: 090140f9  ldr	x9, [x8]
0xfffffff00834bf30: 2a2140b9  ldr	w10, [x9, #0x20]
0xfffffff00834bf34: 5f050071  cmp	w10, #1
0xfffffff00834bf38: 61030054  b.ne	#0xfffffff00834bfa4
0xfffffff00834bf3c: 2a4144f8  ldur	x10, [x9, #0x44]
0xfffffff00834bf40: 5f0500f1  cmp	x10, #1
0xfffffff00834bf44: 01030054  b.ne	#0xfffffff00834bfa4
0xfffffff00834bf48: 0a1140b9  ldr	w10, [x8, #0x10]
0xfffffff00834bf4c: 5f710171  cmp	w10, #0x5c
0xfffffff00834bf50: a3020054  b.lo	#0xfffffff00834bfa4
0xfffffff00834bf54: 130540f9  ldr	x19, [x8, #8]
0xfffffff00834bf58: 930000b4  cbz	x19, #0xfffffff00834bf68
0xfffffff00834bf5c: 081540b9  ldr	w8, [x8, #0x14]
0xfffffff00834bf60: 1ff10071  cmp	w8, #0x3c
0xfffffff00834bf64: 03020054  b.lo	#0xfffffff00834bfa4
0xfffffff00834bf68: 28514139  ldrb	w8, [x9, #0x54]
0xfffffff00834bf6c: e00301aa  mov	x0, x1
0xfffffff00834bf70: e10308aa  mov	x1, x8
0xfffffff00834bf74: f1188ad2  mov	x17, #0x50c7
0xfffffff00834bf78: 51083fd7  blraa	x2, x17
0xfffffff00834bf7c: 40010035  cbnz	w0, #0xfffffff00834bfa4
