; Candidate 11388
; ADRP+ADD at VM 0xfffffff008f0a574 (fileoff 0x1f06574): page=0x1fe505000 add_imm=0xde8

0xfffffff008f0a4f4: 00400091  add	x0, x0, #0x10
0xfffffff008f0a4f8: 0528d697  bl	#0xfffffff00849450c
0xfffffff008f0a4fc: 7f2303d5  pacibsp	
0xfffffff008f0a500: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f0a504: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a508: fd430091  add	x29, sp, #0x10
0xfffffff008f0a50c: 2828ff90  adrp	x8, #0xfffffff00740e000
0xfffffff008f0a510: 08250c91  add	x8, x8, #0x309
0xfffffff008f0a514: e9168152  mov	w9, #0x8b7
0xfffffff008f0a518: e82700a9  stp	x8, x9, [sp]
0xfffffff008f0a51c: 2028ffb0  adrp	x0, #0xfffffff00740f000
0xfffffff008f0a520: 00181091  add	x0, x0, #0x406
0xfffffff008f0a524: fa27d697  bl	#0xfffffff00849450c
0xfffffff008f0a528: 7f2303d5  pacibsp	
0xfffffff008f0a52c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f0a530: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a534: fd430091  add	x29, sp, #0x10
0xfffffff008f0a538: 2828ff90  adrp	x8, #0xfffffff00740e000
0xfffffff008f0a53c: 08250c91  add	x8, x8, #0x309
0xfffffff008f0a540: a9188152  mov	w9, #0x8c5
0xfffffff008f0a544: e82700a9  stp	x8, x9, [sp]
0xfffffff008f0a548: 2028ffb0  adrp	x0, #0xfffffff00740f000
0xfffffff008f0a54c: 00181191  add	x0, x0, #0x446
0xfffffff008f0a550: ef27d697  bl	#0xfffffff00849450c
0xfffffff008f0a554: 7f2303d5  pacibsp	
0xfffffff008f0a558: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f0a55c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a560: fd430091  add	x29, sp, #0x10
0xfffffff008f0a564: 2828ffb0  adrp	x8, #0xfffffff00740f000
0xfffffff008f0a568: 08513891  add	x8, x8, #0xe14
0xfffffff008f0a56c: 89548052  mov	w9, #0x2a4
0xfffffff008f0a570: e82700a9  stp	x8, x9, [sp]
0xfffffff008f0a574: 2028ffb0  adrp	x0, #0xfffffff00740f000
0xfffffff008f0a578: 00a03791  add	x0, x0, #0xde8
0xfffffff008f0a57c: e427d697  bl	#0xfffffff00849450c
0xfffffff008f0a580: 7f2303d5  pacibsp	
0xfffffff008f0a584: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f0a588: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a58c: fd430091  add	x29, sp, #0x10
0xfffffff008f0a590: 2828ffd0  adrp	x8, #0xfffffff007410000
0xfffffff008f0a594: 08490691  add	x8, x8, #0x192
0xfffffff008f0a598: 29188052  mov	w9, #0xc1
0xfffffff008f0a59c: e82700a9  stp	x8, x9, [sp]
0xfffffff008f0a5a0: 2028ffd0  adrp	x0, #0xfffffff007410000
0xfffffff008f0a5a4: 00ec0591  add	x0, x0, #0x17b
0xfffffff008f0a5a8: d927d697  bl	#0xfffffff00849450c
0xfffffff008f0a5ac: 00000000  udf	#0
0xfffffff008f0a5b0: 7f2303d5  pacibsp	
0xfffffff008f0a5b4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f0a5b8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f0a5bc: fd430091  add	x29, sp, #0x10
0xfffffff008f0a5c0: 400400b4  cbz	x0, #0xfffffff008f0a648
0xfffffff008f0a5c4: f40300aa  mov	x20, x0
0xfffffff008f0a5c8: 8060ffd0  adrp	x0, #0xfffffff007b1c000
0xfffffff008f0a5cc: 00c03e91  add	x0, x0, #0xfb0
0xfffffff008f0a5d0: c92fd197  bl	#0xfffffff0083564f4
0xfffffff008f0a5d4: f30300aa  mov	x19, x0
0xfffffff008f0a5d8: 7060ffd0  adrp	x16, #0xfffffff007b18000
0xfffffff008f0a5dc: 10022991  add	x16, x16, #0xa40
0xfffffff008f0a5e0: 10420091  add	x16, x16, #0x10
0xfffffff008f0a5e4: f10300aa  mov	x17, x0
0xfffffff008f0a5e8: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f0a5ec: 300ac1da  pacda	x16, x17
0xfffffff008f0a5f0: 100000f9  str	x16, [x0]
