; Candidate 12308
; ADRP+ADD at VM 0xfffffff009087378 (fileoff 0x2083378): page=0x1fe3d2000 add_imm=0xe24

0xfffffff0090872f8: 1f050071  cmp	w8, #1
0xfffffff0090872fc: a0000054  b.eq	#0xfffffff009087310
0xfffffff009087300: 1f090071  cmp	w8, #2
0xfffffff009087304: c1000054  b.ne	#0xfffffff00908731c
0xfffffff009087308: 621a45b9  ldr	w2, [x19, #0x518]
0xfffffff00908730c: 05000014  b	#0xfffffff009087320
0xfffffff009087310: 02c08352  mov	w2, #0x1e00
0xfffffff009087314: 027fb772  movk	w2, #0xbbf8, lsl #16
0xfffffff009087318: 02000014  b	#0xfffffff009087320
0xfffffff00908731c: 42018052  mov	w2, #0xa
0xfffffff009087320: 77721491  add	x23, x19, #0x51c
0xfffffff009087324: 621e05b9  str	w2, [x19, #0x51c]
0xfffffff009087328: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00908732c: a1008052  mov	w1, #5
0xfffffff009087330: 6a710094  bl	#0xfffffff0090a38d8
0xfffffff009087334: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009087338: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff00908733c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009087340: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009087344: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009087348: f72300f9  str	x23, [sp, #0x40]
0xfffffff00908734c: e1c30091  add	x1, sp, #0x30
0xfffffff009087350: e00313aa  mov	x0, x19
0xfffffff009087354: 0fddff97  bl	#0xfffffff00907e790
0xfffffff009087358: 137c4093  sxtw	x19, w0
0xfffffff00908735c: 20020035  cbnz	w0, #0xfffffff0090873a0
0xfffffff009087360: 48018052  mov	w8, #0xa
0xfffffff009087364: c9024039  ldrb	w9, [x22]
0xfffffff009087368: 1f01096b  cmp	w8, w9
0xfffffff00908736c: c3000054  b.lo	#0xfffffff009087384
0xfffffff009087370: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff009087374: f50300f9  str	x21, [sp]
0xfffffff009087378: 801effd0  adrp	x0, #0xfffffff007459000
0xfffffff00908737c: 00903891  add	x0, x0, #0xe24
0xfffffff009087380: 283fcb97  bl	#0xfffffff008357020
0xfffffff009087384: e00313aa  mov	x0, x19
0xfffffff009087388: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff00908738c: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff009087390: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff009087394: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff009087398: ffc30391  add	sp, sp, #0xf0
0xfffffff00908739c: ff0f5fd6  retab	
0xfffffff0090873a0: 080e8252  mov	w8, #0x1070
0xfffffff0090873a4: 891effd0  adrp	x9, #0xfffffff007459000
0xfffffff0090873a8: 29493f91  add	x9, x9, #0xfd2
0xfffffff0090873ac: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090873b0: 881effd0  adrp	x8, #0xfffffff007459000
0xfffffff0090873b4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090873b8: 8a1efff0  adrp	x10, #0xfffffff00745a000
0xfffffff0090873bc: 4a290291  add	x10, x10, #0x8a
0xfffffff0090873c0: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0090873c4: ea0300f9  str	x10, [sp]
0xfffffff0090873c8: 801effd0  adrp	x0, #0xfffffff007459000
0xfffffff0090873cc: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090873d0: 143fcb97  bl	#0xfffffff008357020
0xfffffff0090873d4: c8088052  mov	w8, #0x46
0xfffffff0090873d8: e3ffff17  b	#0xfffffff009087364
0xfffffff0090873dc: 7f2303d5  pacibsp	
0xfffffff0090873e0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0090873e4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0090873e8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0090873ec: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0090873f0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0090873f4: f44f09a9  stp	x20, x19, [sp, #0x90]
