; Candidate 5354
; ADRP+ADD at VM 0xfffffff0087eacc4 (fileoff 0x17e6cc4): page=0x1fe9ff000 add_imm=0xe80

0xfffffff0087eac44: 600a8052  mov	w0, #0x53
0xfffffff0087eac48: f4420294  bl	#0xfffffff00887b818
0xfffffff0087eac4c: f50300aa  mov	x21, x0
0xfffffff0087eac50: 57250394  bl	#0xfffffff0088b41ac
0xfffffff0087eac54: f40300aa  mov	x20, x0
0xfffffff0087eac58: c0008052  mov	w0, #6
0xfffffff0087eac5c: fd420294  bl	#0xfffffff00887b850
0xfffffff0087eac60: b5010034  cbz	w21, #0xfffffff0087eac94
0xfffffff0087eac64: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087eac68: 29198052  mov	w9, #0xc9
0xfffffff0087eac6c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087eac70: 4851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087eac74: 08090891  add	x8, x8, #0x202
0xfffffff0087eac78: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eac7c: 680a8052  mov	w8, #0x53
0xfffffff0087eac80: f42300a9  stp	x20, x8, [sp]
0xfffffff0087eac84: 4051ffd0  adrp	x0, #0xfffffff007214000
0xfffffff0087eac88: 003c0b91  add	x0, x0, #0x2cf
0xfffffff0087eac8c: f531d797  bl	#0xfffffff007db7460
0xfffffff0087eac90: 15000014  b	#0xfffffff0087eace4
0xfffffff0087eac94: 46250394  bl	#0xfffffff0088b41ac
0xfffffff0087eac98: f40300aa  mov	x20, x0
0xfffffff0087eac9c: c0008052  mov	w0, #6
0xfffffff0087eaca0: ec420294  bl	#0xfffffff00887b850
0xfffffff0087eaca4: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087eaca8: 29198052  mov	w9, #0xc9
0xfffffff0087eacac: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087eacb0: 4851ffd0  adrp	x8, #0xfffffff007214000
0xfffffff0087eacb4: 08090891  add	x8, x8, #0x202
0xfffffff0087eacb8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087eacbc: 680a8052  mov	w8, #0x53
0xfffffff0087eacc0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087eacc4: e04ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087eacc8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087eaccc: e190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087eacd0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087eacd4: a352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087eacd8: 63602d91  add	x3, x3, #0xb58
0xfffffff0087eacdc: 02008052  mov	w2, #0
0xfffffff0087eace0: 1421ed97  bl	#0xfffffff008333130
0xfffffff0087eace4: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087eace8: 28021037  tbnz	w8, #2, #0xfffffff0087ead2c
0xfffffff0087eacec: 68021837  tbnz	w8, #3, #0xfffffff0087ead38
0xfffffff0087eacf0: 88029037  tbnz	w8, #0x12, #0xfffffff0087ead40
0xfffffff0087eacf4: c8029837  tbnz	w8, #0x13, #0xfffffff0087ead4c
0xfffffff0087eacf8: e802a037  tbnz	w8, #0x14, #0xfffffff0087ead54
0xfffffff0087eacfc: 2803a837  tbnz	w8, #0x15, #0xfffffff0087ead60
0xfffffff0087ead00: 4803c037  tbnz	w8, #0x18, #0xfffffff0087ead68
0xfffffff0087ead04: 8800c836  tbz	w8, #0x19, #0xfffffff0087ead14
0xfffffff0087ead08: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0087ead0c: 08f97592  and	x8, x8, #0xfffffffffffffbff
0xfffffff0087ead10: 681200f9  str	x8, [x19, #0x20]
0xfffffff0087ead14: 00008052  mov	w0, #0
0xfffffff0087ead18: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087ead1c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087ead20: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087ead24: ffc30191  add	sp, sp, #0x70
0xfffffff0087ead28: ff0f5fd6  retab	
0xfffffff0087ead2c: 29008052  mov	w9, #1
0xfffffff0087ead30: 69420039  strb	w9, [x19, #0x10]
0xfffffff0087ead34: e8fd1f36  tbz	w8, #3, #0xfffffff0087eacf0
0xfffffff0087ead38: 7f420039  strb	wzr, [x19, #0x10]
0xfffffff0087ead3c: c8fd9736  tbz	w8, #0x12, #0xfffffff0087eacf4
0xfffffff0087ead40: 29008052  mov	w9, #1
