; Candidate 12301
; ADRP+ADD at VM 0xfffffff009085bac (fileoff 0x2081bac): page=0x1fe3d4000 add_imm=0xe24

0xfffffff009085b2c: 75940090  adrp	x21, #0xfffffff00a311000
0xfffffff009085b30: b5a20391  add	x21, x21, #0xe8
0xfffffff009085b34: a8024039  ldrb	w8, [x21]
0xfffffff009085b38: b31effb0  adrp	x19, #0xfffffff00745a000
0xfffffff009085b3c: 73ca3791  add	x19, x19, #0xdf2
0xfffffff009085b40: b41eff90  adrp	x20, #0xfffffff007459000
0xfffffff009085b44: 942e3f91  add	x20, x20, #0xfcb
0xfffffff009085b48: 1f290071  cmp	w8, #0xa
0xfffffff009085b4c: a8000054  b.hi	#0xfffffff009085b60
0xfffffff009085b50: f44f00a9  stp	x20, x19, [sp]
0xfffffff009085b54: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085b58: 00583191  add	x0, x0, #0xc56
0xfffffff009085b5c: 3145cb97  bl	#0xfffffff008357020
0xfffffff009085b60: e8b18052  mov	w8, #0x58f
0xfffffff009085b64: a91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009085b68: 29493f91  add	x9, x9, #0xfd2
0xfffffff009085b6c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009085b70: a81eff90  adrp	x8, #0xfffffff007459000
0xfffffff009085b74: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009085b78: aa1effb0  adrp	x10, #0xfffffff00745a000
0xfffffff009085b7c: 4a713791  add	x10, x10, #0xddc
0xfffffff009085b80: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff009085b84: ea0300f9  str	x10, [sp]
0xfffffff009085b88: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085b8c: 00d42c91  add	x0, x0, #0xb35
0xfffffff009085b90: 2445cb97  bl	#0xfffffff008357020
0xfffffff009085b94: a8024039  ldrb	w8, [x21]
0xfffffff009085b98: 1f190171  cmp	w8, #0x46
0xfffffff009085b9c: e8000054  b.hi	#0xfffffff009085bb8
0xfffffff009085ba0: 08008092  mov	x8, #-1
0xfffffff009085ba4: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009085ba8: f40300f9  str	x20, [sp]
0xfffffff009085bac: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085bb0: 00903891  add	x0, x0, #0xe24
0xfffffff009085bb4: 1b45cb97  bl	#0xfffffff008357020
0xfffffff009085bb8: 00008012  mov	w0, #-1
0xfffffff009085bbc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009085bc0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009085bc4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009085bc8: ff830191  add	sp, sp, #0x60
0xfffffff009085bcc: ff0f5fd6  retab	
0xfffffff009085bd0: 7f2303d5  pacibsp	
0xfffffff009085bd4: ffc301d1  sub	sp, sp, #0x70
0xfffffff009085bd8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009085bdc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009085be0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009085be4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009085be8: fd830191  add	x29, sp, #0x60
0xfffffff009085bec: f40300aa  mov	x20, x0
0xfffffff009085bf0: 77940090  adrp	x23, #0xfffffff00a311000
0xfffffff009085bf4: f7a20391  add	x23, x23, #0xe8
0xfffffff009085bf8: e8024039  ldrb	w8, [x23]
0xfffffff009085bfc: b51effb0  adrp	x21, #0xfffffff00745a000
0xfffffff009085c00: b5b63c91  add	x21, x21, #0xf2d
0xfffffff009085c04: b61eff90  adrp	x22, #0xfffffff007459000
0xfffffff009085c08: d62e3f91  add	x22, x22, #0xfcb
0xfffffff009085c0c: 1f290071  cmp	w8, #0xa
0xfffffff009085c10: a8000054  b.hi	#0xfffffff009085c24
0xfffffff009085c14: f65700a9  stp	x22, x21, [sp]
0xfffffff009085c18: a01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009085c1c: 00583191  add	x0, x0, #0xc56
0xfffffff009085c20: 0045cb97  bl	#0xfffffff008357020
0xfffffff009085c24: e00314aa  mov	x0, x20
0xfffffff009085c28: 2b000094  bl	#0xfffffff009085cd4
