; Candidate 12452
; ADRP+ADD at VM 0xfffffff0090a28d8 (fileoff 0x209e8d8): page=0x1fe3c0000 add_imm=0xd7f

0xfffffff0090a2858: f10300aa  mov	x17, x0
0xfffffff0090a285c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a2860: 300ac1da  pacda	x16, x17
0xfffffff0090a2864: 100000f9  str	x16, [x0]
0xfffffff0090a2868: e00314aa  mov	x0, x20
0xfffffff0090a286c: 320ac997  bl	#0xfffffff0082e5134
0xfffffff0090a2870: e00313aa  mov	x0, x19
0xfffffff0090a2874: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090a2878: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090a287c: ff0f5fd6  retab	
0xfffffff0090a2880: 7f2303d5  pacibsp	
0xfffffff0090a2884: ff0302d1  sub	sp, sp, #0x80
0xfffffff0090a2888: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0090a288c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0090a2890: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0090a2894: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0090a2898: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0090a289c: fdc30191  add	x29, sp, #0x70
0xfffffff0090a28a0: f40303aa  mov	x20, x3
0xfffffff0090a28a4: f50302aa  mov	x21, x2
0xfffffff0090a28a8: f60301aa  mov	x22, x1
0xfffffff0090a28ac: f30300aa  mov	x19, x0
0xfffffff0090a28b0: 799300f0  adrp	x25, #0xfffffff00a311000
0xfffffff0090a28b4: 39a30391  add	x25, x25, #0xe8
0xfffffff0090a28b8: 28034039  ldrb	w8, [x25]
0xfffffff0090a28bc: b71dfff0  adrp	x23, #0xfffffff007459000
0xfffffff0090a28c0: f7c22c91  add	x23, x23, #0xb30
0xfffffff0090a28c4: 181eff90  adrp	x24, #0xfffffff007462000
0xfffffff0090a28c8: 18c33691  add	x24, x24, #0xdb0
0xfffffff0090a28cc: 1fa10071  cmp	w8, #0x28
0xfffffff0090a28d0: a8000054  b.hi	#0xfffffff0090a28e4
0xfffffff0090a28d4: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090a28d8: 001eff90  adrp	x0, #0xfffffff007462000
0xfffffff0090a28dc: 00fc3591  add	x0, x0, #0xd7f
0xfffffff0090a28e0: d0d1ca97  bl	#0xfffffff008357020
0xfffffff0090a28e4: 2855fff0  adrp	x8, #0xfffffff007b49000
0xfffffff0090a28e8: 08413791  add	x8, x8, #0xdd0
0xfffffff0090a28ec: 098d48f8  ldr	x9, [x8, #0x88]!
0xfffffff0090a28f0: e00313aa  mov	x0, x19
0xfffffff0090a28f4: e10316aa  mov	x1, x22
0xfffffff0090a28f8: e20315aa  mov	x2, x21
0xfffffff0090a28fc: e30314aa  mov	x3, x20
0xfffffff0090a2900: f10308aa  mov	x17, x8
0xfffffff0090a2904: 113bfcf2  movk	x17, #0xe1d8, lsl #48
0xfffffff0090a2908: 31093fd7  blraa	x9, x17
0xfffffff0090a290c: 601f0036  tbz	w0, #0, #0xfffffff0090a2cf8
0xfffffff0090a2910: e00313aa  mov	x0, x19
0xfffffff0090a2914: 21008052  mov	w1, #1
0xfffffff0090a2918: 42f9ff97  bl	#0xfffffff0090a0e20
0xfffffff0090a291c: 601600f9  str	x0, [x19, #0x28]
0xfffffff0090a2920: e01f00b4  cbz	x0, #0xfffffff0090a2d1c
0xfffffff0090a2924: 2004000f  movi	v0.2s, #1
0xfffffff0090a2928: 600e04fc  str	d0, [x19, #0x40]!
0xfffffff0090a292c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0090a2930: 608e833c  str	q0, [x19, #0x38]!
0xfffffff0090a2934: 7f821b38  sturb	wzr, [x19, #-0x48]
0xfffffff0090a2938: 7f021cf8  stur	xzr, [x19, #-0x40]
0xfffffff0090a293c: 608200ad  stp	q0, q0, [x19, #0x10]
0xfffffff0090a2940: 608201ad  stp	q0, q0, [x19, #0x30]
0xfffffff0090a2944: 608202ad  stp	q0, q0, [x19, #0x50]
0xfffffff0090a2948: 608203ad  stp	q0, q0, [x19, #0x70]
0xfffffff0090a294c: 608204ad  stp	q0, q0, [x19, #0x90]
0xfffffff0090a2950: 608205ad  stp	q0, q0, [x19, #0xb0]
0xfffffff0090a2954: e80313aa  mov	x8, x19
