; Candidate 16256
; ADRP+ADD at VM 0xfffffff009e35704 (fileoff 0x2e31704): page=0x1fd9ee000 add_imm=0xeca

0xfffffff009e35684: 282b04b9  str	w8, [x25, #0x428]
0xfffffff009e35688: e41b40f9  ldr	x4, [sp, #0x30]
0xfffffff009e3568c: e00313aa  mov	x0, x19
0xfffffff009e35690: 41008052  mov	w1, #2
0xfffffff009e35694: 22008052  mov	w2, #1
0xfffffff009e35698: 030080d2  mov	x3, #0
0xfffffff009e3569c: 05008052  mov	w5, #0
0xfffffff009e356a0: 55f40294  bl	#0xfffffff009ef27f4
0xfffffff009e356a4: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009e356a8: a0070034  cbz	w0, #0xfffffff009e3579c
0xfffffff009e356ac: f70300aa  mov	x23, x0
0xfffffff009e356b0: 083e8452  mov	w8, #0x21f0
0xfffffff009e356b4: 6802088b  add	x8, x19, x8
0xfffffff009e356b8: 09158052  mov	w9, #0xa8
0xfffffff009e356bc: 6acffed0  adrp	x10, #0xfffffff007823000
0xfffffff009e356c0: 4abd3b91  add	x10, x10, #0xeef
0xfffffff009e356c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e356c8: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e356cc: c0d0feb0  adrp	x0, #0xfffffff00784e000
0xfffffff009e356d0: 00ac2591  add	x0, x0, #0x96b
0xfffffff009e356d4: 7c280194  bl	#0xfffffff009e7f8c4
0xfffffff009e356d8: 3b008052  mov	w27, #1
0xfffffff009e356dc: f61f40f9  ldr	x22, [sp, #0x38]
0xfffffff009e356e0: d60100b5  cbnz	x22, #0xfffffff009e35718
0xfffffff009e356e4: 0f000014  b	#0xfffffff009e35720
0xfffffff009e356e8: 093e8452  mov	w9, #0x21f0
0xfffffff009e356ec: 6902098b  add	x9, x19, x9
0xfffffff009e356f0: 4a118052  mov	w10, #0x8a
0xfffffff009e356f4: 6bcffed0  adrp	x11, #0xfffffff007823000
0xfffffff009e356f8: 6bbd3b91  add	x11, x11, #0xeef
0xfffffff009e356fc: eb2b00a9  stp	x11, x10, [sp]
0xfffffff009e35700: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e35704: 60cffed0  adrp	x0, #0xfffffff007823000
0xfffffff009e35708: 00283b91  add	x0, x0, #0xeca
0xfffffff009e3570c: 6e280194  bl	#0xfffffff009e7f8c4
0xfffffff009e35710: b7058052  mov	w23, #0x2d
0xfffffff009e35714: 3b008052  mov	w27, #1
0xfffffff009e35718: e00316aa  mov	x0, x22
0xfffffff009e3571c: 49060494  bl	#0xfffffff009f37040
0xfffffff009e35720: e41b40f9  ldr	x4, [sp, #0x30]
0xfffffff009e35724: a40200b4  cbz	x4, #0xfffffff009e35778
0xfffffff009e35728: e00313aa  mov	x0, x19
0xfffffff009e3572c: 41008052  mov	w1, #2
0xfffffff009e35730: e2031baa  mov	x2, x27
0xfffffff009e35734: 030080d2  mov	x3, #0
0xfffffff009e35738: 05008052  mov	w5, #0
0xfffffff009e3573c: 2ef40294  bl	#0xfffffff009ef27f4
0xfffffff009e35740: c0010034  cbz	w0, #0xfffffff009e35778
0xfffffff009e35744: f40300aa  mov	x20, x0
0xfffffff009e35748: 083e8452  mov	w8, #0x21f0
0xfffffff009e3574c: 6802088b  add	x8, x19, x8
0xfffffff009e35750: a91f8052  mov	w9, #0xfd
0xfffffff009e35754: 6acffed0  adrp	x10, #0xfffffff007823000
0xfffffff009e35758: 4abd3b91  add	x10, x10, #0xeef
0xfffffff009e3575c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e35760: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e35764: c0d0feb0  adrp	x0, #0xfffffff00784e000
0xfffffff009e35768: 00ac2591  add	x0, x0, #0x96b
0xfffffff009e3576c: 56280194  bl	#0xfffffff009e7f8c4
0xfffffff009e35770: ff020071  cmp	w23, #0
0xfffffff009e35774: 9702971a  csel	w23, w20, w23, eq
0xfffffff009e35778: e00317aa  mov	x0, x23
0xfffffff009e3577c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e35780: f44f48a9  ldp	x20, x19, [sp, #0x80]
