; Candidate 13822
; ADRP+ADD at VM 0xfffffff0095a6d78 (fileoff 0x25a2d78): page=0x1fe647000 add_imm=0xce8

0xfffffff0095a6cf8: ffdf0a39  strb	wzr, [sp, #0x2b7]
0xfffffff0095a6cfc: e2feff17  b	#0xfffffff0095a6884
0xfffffff0095a6d00: 17008052  mov	w23, #0
0xfffffff0095a6d04: 18008052  mov	w24, #0
0xfffffff0095a6d08: 35008052  mov	w21, #1
0xfffffff0095a6d0c: fb031aaa  mov	x27, x26
0xfffffff0095a6d10: fa0b40f9  ldr	x26, [sp, #0x10]
0xfffffff0095a6d14: 07000014  b	#0xfffffff0095a6d30
0xfffffff0095a6d18: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6d1c: 000c3591  add	x0, x0, #0xd43
0xfffffff0095a6d20: d041a097  bl	#0xfffffff007db7460
0xfffffff0095a6d24: 17008052  mov	w23, #0
0xfffffff0095a6d28: 15008052  mov	w21, #0
0xfffffff0095a6d2c: 18008052  mov	w24, #0
0xfffffff0095a6d30: 68031a2a  orr	w8, w27, w26
0xfffffff0095a6d34: a8000034  cbz	w8, #0xfffffff0095a6d48
0xfffffff0095a6d38: fb6b00a9  stp	x27, x26, [sp]
0xfffffff0095a6d3c: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6d40: 00643891  add	x0, x0, #0xe19
0xfffffff0095a6d44: c741a097  bl	#0xfffffff007db7460
0xfffffff0095a6d48: 98000034  cbz	w24, #0xfffffff0095a6d58
0xfffffff0095a6d4c: e00313aa  mov	x0, x19
0xfffffff0095a6d50: e10316aa  mov	x1, x22
0xfffffff0095a6d54: 9f020094  bl	#0xfffffff0095a77d0
0xfffffff0095a6d58: 95000034  cbz	w21, #0xfffffff0095a6d68
0xfffffff0095a6d5c: e1430b91  add	x1, sp, #0x2d0
0xfffffff0095a6d60: e00313aa  mov	x0, x19
0xfffffff0095a6d64: 338bff97  bl	#0xfffffff009589a30
0xfffffff0095a6d68: 77000034  cbz	w23, #0xfffffff0095a6d74
0xfffffff0095a6d6c: e00313aa  mov	x0, x19
0xfffffff0095a6d70: 24030094  bl	#0xfffffff0095a7a00
0xfffffff0095a6d74: 340100b4  cbz	x20, #0xfffffff0095a6d98
0xfffffff0095a6d78: 2032fff0  adrp	x0, #0xfffffff007bed000
0xfffffff0095a6d7c: 00a03391  add	x0, x0, #0xce8
0xfffffff0095a6d80: e10314aa  mov	x1, x20
0xfffffff0095a6d84: 62beb697  bl	#0xfffffff00835670c
0xfffffff0095a6d88: 016f00f0  adrp	x1, #0xfffffff00a389000
0xfffffff0095a6d8c: 21c00391  add	x1, x1, #0xf0
0xfffffff0095a6d90: e0448092  mov	x0, #-0x228
0xfffffff0095a6d94: 4ff1b497  bl	#0xfffffff0082e32d0
0xfffffff0095a6d98: 680240b9  ldr	w8, [x19]
0xfffffff0095a6d9c: 08011d32  orr	w8, w8, #8
0xfffffff0095a6da0: 680200b9  str	w8, [x19]
0xfffffff0095a6da4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0095a6da8: 0932fff0  adrp	x9, #0xfffffff007be9000
0xfffffff0095a6dac: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff0095a6db0: 290140f9  ldr	x9, [x9]
0xfffffff0095a6db4: 3f0108eb  cmp	x9, x8
0xfffffff0095a6db8: 61050054  b.ne	#0xfffffff0095a6e64
0xfffffff0095a6dbc: ff431191  add	sp, sp, #0x450
0xfffffff0095a6dc0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0095a6dc4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0095a6dc8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0095a6dcc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0095a6dd0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0095a6dd4: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0095a6dd8: ff0f5fd6  retab	
0xfffffff0095a6ddc: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6de0: 00d03591  add	x0, x0, #0xd74
0xfffffff0095a6de4: 9f41a097  bl	#0xfffffff007db7460
0xfffffff0095a6de8: 15008052  mov	w21, #0
0xfffffff0095a6dec: 18008052  mov	w24, #0
0xfffffff0095a6df0: 37008052  mov	w23, #1
0xfffffff0095a6df4: cfffff17  b	#0xfffffff0095a6d30
