; Candidate 940
; ADRP+ADD at VM 0xfffffff00810dbe4 (fileoff 0x1109be4): page=0x210a000 add_imm=0xda8

0xfffffff00810db64: 08010837  tbnz	w8, #1, #0xfffffff00810db84
0xfffffff00810db68: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff00810db6c: c93240b9  ldr	w9, [x22, #0x30]
0xfffffff00810db70: 0801090b  add	w8, w8, w9
0xfffffff00810db74: c91240b9  ldr	w9, [x22, #0x10]
0xfffffff00810db78: 0801094b  sub	w8, w8, w9
0xfffffff00810db7c: 03e10051  sub	w3, w8, #0x38
0xfffffff00810db80: 02000014  b	#0xfffffff00810db88
0xfffffff00810db84: 03008052  mov	w3, #0
0xfffffff00810db88: e22f40f9  ldr	x2, [sp, #0x58]
0xfffffff00810db8c: 800e4079  ldrh	w0, [x20, #6]
0xfffffff00810db90: e10317aa  mov	x1, x23
0xfffffff00810db94: dd060094  bl	#0xfffffff00810f708
0xfffffff00810db98: 08e00011  add	w8, w0, #0x38
0xfffffff00810db9c: c81a00b9  str	w8, [x22, #0x18]
0xfffffff00810dba0: c86200b9  str	w8, [x22, #0x60]
0xfffffff00810dba4: 88118052  mov	w8, #0x8c
0xfffffff00810dba8: e8020039  strb	w8, [x23]
0xfffffff00810dbac: e00313aa  mov	x0, x19
0xfffffff00810dbb0: 41340494  bl	#0xfffffff00821acb4
0xfffffff00810dbb4: f30300aa  mov	x19, x0
0xfffffff00810dbb8: a0ffffb5  cbnz	x0, #0xfffffff00810dbac
0xfffffff00810dbbc: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff00810dbc0: a0e9ffb4  cbz	x0, #0xfffffff00810d8f4
0xfffffff00810dbc4: c7dbf997  bl	#0xfffffff007f84ae0
0xfffffff00810dbc8: 4bffff17  b	#0xfffffff00810d8f4
0xfffffff00810dbcc: e07bffb0  adrp	x0, #0xfffffff00708a000
0xfffffff00810dbd0: 00cc1d91  add	x0, x0, #0x773
0xfffffff00810dbd4: 617bffd0  adrp	x1, #0xfffffff00707b000
0xfffffff00810dbd8: 21ec2a91  add	x1, x1, #0xabb
0xfffffff00810dbdc: 22bc8052  mov	w2, #0x5e1
0xfffffff00810dbe0: 0d470e94  bl	#0xfffffff00849f814
0xfffffff00810dbe4: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dbe8: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dbec: e10318aa  mov	x1, x24
0xfffffff00810dbf0: 02008052  mov	w2, #0
0xfffffff00810dbf4: c177f297  bl	#0xfffffff007dabaf8
0xfffffff00810dbf8: 08ffff17  b	#0xfffffff00810d818
0xfffffff00810dbfc: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc00: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc04: e10318aa  mov	x1, x24
0xfffffff00810dc08: d77af297  bl	#0xfffffff007dac764
0xfffffff00810dc0c: f6e1ffb5  cbnz	x22, #0xfffffff00810d848
0xfffffff00810dc10: 33ffff17  b	#0xfffffff00810d8dc
0xfffffff00810dc14: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc18: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc1c: e10314aa  mov	x1, x20
0xfffffff00810dc20: 02008052  mov	w2, #0
0xfffffff00810dc24: b577f297  bl	#0xfffffff007dabaf8
0xfffffff00810dc28: 90ffff17  b	#0xfffffff00810da68
0xfffffff00810dc2c: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc30: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc34: e10314aa  mov	x1, x20
0xfffffff00810dc38: cb7af297  bl	#0xfffffff007dac764
0xfffffff00810dc3c: c80240f9  ldr	x8, [x22]
0xfffffff00810dc40: e8f2ffb5  cbnz	x8, #0xfffffff00810da9c
0xfffffff00810dc44: 47ffff17  b	#0xfffffff00810d960
0xfffffff00810dc48: 687bffb0  adrp	x8, #0xfffffff00707a000
0xfffffff00810dc4c: 082d3791  add	x8, x8, #0xdcb
0xfffffff00810dc50: 09b58052  mov	w9, #0x5a8
0xfffffff00810dc54: e82700a9  stp	x8, x9, [sp]
0xfffffff00810dc58: 807bff90  adrp	x0, #0xfffffff00707d000
0xfffffff00810dc5c: 00381a91  add	x0, x0, #0x68e
0xfffffff00810dc60: 2b1a0e94  bl	#0xfffffff00849450c
