; Candidate 5851
; ADRP+ADD at VM 0xfffffff008808984 (fileoff 0x1804984): page=0x1fe9e1000 add_imm=0xe80

0xfffffff008808904: 08d11a91  add	x8, x8, #0x6b4
0xfffffff008808908: a96d8052  mov	w9, #0x36d
0xfffffff00880890c: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff008808910: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808914: 08711a91  add	x8, x8, #0x69c
0xfffffff008808918: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880891c: 880e8052  mov	w8, #0x74
0xfffffff008808920: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008808924: f30300f9  str	x19, [sp]
0xfffffff008808928: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880892c: 00003a91  add	x0, x0, #0xe80
0xfffffff008808930: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808934: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008808938: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff00880893c: 63f42691  add	x3, x3, #0x9bd
0xfffffff008808940: 02008052  mov	w2, #0
0xfffffff008808944: fba9ec97  bl	#0xfffffff008333130
0xfffffff008808948: 46feff17  b	#0xfffffff008808260
0xfffffff00880894c: 18ae0294  bl	#0xfffffff0088b41ac
0xfffffff008808950: f30300aa  mov	x19, x0
0xfffffff008808954: 80008052  mov	w0, #4
0xfffffff008808958: becb0194  bl	#0xfffffff00887b850
0xfffffff00880895c: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808960: 08351c91  add	x8, x8, #0x70d
0xfffffff008808964: e96d8052  mov	w9, #0x36f
0xfffffff008808968: e8e302a9  stp	x8, x24, [sp, #0x28]
0xfffffff00880896c: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff008808970: 08711a91  add	x8, x8, #0x69c
0xfffffff008808974: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008808978: 880e8052  mov	w8, #0x74
0xfffffff00880897c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008808980: f30300f9  str	x19, [sp]
0xfffffff008808984: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008808988: 00003a91  add	x0, x0, #0xe80
0xfffffff00880898c: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008808990: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008808994: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008808998: 63402891  add	x3, x3, #0xa10
0xfffffff00880899c: 02008052  mov	w2, #0
0xfffffff0088089a0: e4a9ec97  bl	#0xfffffff008333130
0xfffffff0088089a4: 2ffeff17  b	#0xfffffff008808260
0xfffffff0088089a8: 01ae0294  bl	#0xfffffff0088b41ac
0xfffffff0088089ac: f30300aa  mov	x19, x0
0xfffffff0088089b0: 80008052  mov	w0, #4
0xfffffff0088089b4: a7cb0194  bl	#0xfffffff00887b850
0xfffffff0088089b8: c87ab778  ldrsh	x8, [x22, x23, lsl #1]
0xfffffff0088089bc: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0088089c0: 68008052  mov	w8, #3
0xfffffff0088089c4: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088089c8: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088089cc: 082d1e91  add	x8, x8, #0x78b
0xfffffff0088089d0: e96e8052  mov	w9, #0x377
0xfffffff0088089d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088089d8: 8850ffd0  adrp	x8, #0xfffffff00721a000
0xfffffff0088089dc: 08711a91  add	x8, x8, #0x69c
0xfffffff0088089e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088089e4: 880e8052  mov	w8, #0x74
0xfffffff0088089e8: f32300a9  stp	x19, x8, [sp]
0xfffffff0088089ec: 004fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088089f0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088089f4: 0190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088089f8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088089fc: e351ffb0  adrp	x3, #0xfffffff007245000
0xfffffff008808a00: 63342991  add	x3, x3, #0xa4d
