; Candidate 6763
; ADRP+ADD at VM 0xfffffff008840030 (fileoff 0x183c030): page=0x1fe9a9000 add_imm=0xe80

0xfffffff00883ffb0: f50300aa  mov	x21, x0
0xfffffff00883ffb4: 7ed00194  bl	#0xfffffff0088b41ac
0xfffffff00883ffb8: f40300aa  mov	x20, x0
0xfffffff00883ffbc: e0008052  mov	w0, #7
0xfffffff00883ffc0: 24ee0094  bl	#0xfffffff00887b850
0xfffffff00883ffc4: d5010034  cbz	w21, #0xfffffff00883fffc
0xfffffff00883ffc8: f3ff02a9  stp	x19, xzr, [sp, #0x28]
0xfffffff00883ffcc: 284fffb0  adrp	x8, #0xfffffff007224000
0xfffffff00883ffd0: 09b11791  add	x9, x8, #0x5ec
0xfffffff00883ffd4: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883ffd8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883ffdc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883ffe0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883ffe4: 480a8052  mov	w8, #0x52
0xfffffff00883ffe8: 804effd0  adrp	x0, #0xfffffff007211000
0xfffffff00883ffec: 004c1d91  add	x0, x0, #0x753
0xfffffff00883fff0: f42300a9  stp	x20, x8, [sp]
0xfffffff00883fff4: 1bddd597  bl	#0xfffffff007db7460
0xfffffff00883fff8: 16000014  b	#0xfffffff008840050
0xfffffff00883fffc: 6cd00194  bl	#0xfffffff0088b41ac
0xfffffff008840000: f40300aa  mov	x20, x0
0xfffffff008840004: e0008052  mov	w0, #7
0xfffffff008840008: 12ee0094  bl	#0xfffffff00887b850
0xfffffff00884000c: f3ff02a9  stp	x19, xzr, [sp, #0x28]
0xfffffff008840010: 284fff90  adrp	x8, #0xfffffff007224000
0xfffffff008840014: 09b11791  add	x9, x8, #0x5ec
0xfffffff008840018: 084ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00884001c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008840020: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008840024: 480a8052  mov	w8, #0x52
0xfffffff008840028: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884002c: f40300f9  str	x20, [sp]
0xfffffff008840030: 404dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008840034: 00003a91  add	x0, x0, #0xe80
0xfffffff008840038: 418eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884003c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008840040: 6350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff008840044: 63c03e91  add	x3, x3, #0xfb0
0xfffffff008840048: 02008052  mov	w2, #0
0xfffffff00884004c: 39cceb97  bl	#0xfffffff008333130
0xfffffff008840050: 00008052  mov	w0, #0
0xfffffff008840054: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008840058: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00884005c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008840060: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008840064: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008840068: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff00884006c: ffc30291  add	sp, sp, #0xb0
0xfffffff008840070: ff0f5fd6  retab	
0xfffffff008840074: 7f2303d5  pacibsp	
0xfffffff008840078: ff8301d1  sub	sp, sp, #0x60
0xfffffff00884007c: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008840080: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008840084: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008840088: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00884008c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008840090: fd430191  add	x29, sp, #0x50
0xfffffff008840094: f30300aa  mov	x19, x0
0xfffffff008840098: ff0300f9  str	xzr, [sp]
0xfffffff00884009c: 44d00194  bl	#0xfffffff0088b41ac
0xfffffff0088400a0: e8f99ed2  mov	x8, #0xf7cf
0xfffffff0088400a4: 686abcf2  movk	x8, #0xe353, lsl #16
0xfffffff0088400a8: a874d3f2  movk	x8, #0x9ba5, lsl #32
0xfffffff0088400ac: 8818e4f2  movk	x8, #0x20c4, lsl #48
