; Candidate 9151
; ADRP+ADD at VM 0xfffffff0089fe74c (fileoff 0x19fa74c): page=0x1fe896000 add_imm=0xdf4

0xfffffff0089fe6cc: c00200b4  cbz	x0, #0xfffffff0089fe724
0xfffffff0089fe6d0: 00008052  mov	w0, #0
0xfffffff0089fe6d4: 76920439  strb	w22, [x19, #0x124]
0xfffffff0089fe6d8: 26000014  b	#0xfffffff0089fe770
0xfffffff0089fe6dc: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089fe6e0: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fe6e4: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fe6e8: 89278052  mov	w9, #0x13c
0xfffffff0089fe6ec: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fe6f0: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fe6f4: cb44ff90  adrp	x11, #0xfffffff007296000
0xfffffff0089fe6f8: 6be51a91  add	x11, x11, #0x6b9
0xfffffff0089fe6fc: 12000014  b	#0xfffffff0089fe744
0xfffffff0089fe700: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089fe704: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fe708: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fe70c: c9278052  mov	w9, #0x13e
0xfffffff0089fe710: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fe714: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fe718: cb44ff90  adrp	x11, #0xfffffff007296000
0xfffffff0089fe71c: 6ba91c91  add	x11, x11, #0x72a
0xfffffff0089fe720: 09000014  b	#0xfffffff0089fe744
0xfffffff0089fe724: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff0089fe728: c844ff90  adrp	x8, #0xfffffff007296000
0xfffffff0089fe72c: 08391b91  add	x8, x8, #0x6ce
0xfffffff0089fe730: 09288052  mov	w9, #0x140
0xfffffff0089fe734: aa44ffd0  adrp	x10, #0xfffffff007294000
0xfffffff0089fe738: 4a853991  add	x10, x10, #0xe61
0xfffffff0089fe73c: cb44ff90  adrp	x11, #0xfffffff007296000
0xfffffff0089fe740: 6bf11c91  add	x11, x11, #0x73c
0xfffffff0089fe744: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0089fe748: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0089fe74c: a044ffd0  adrp	x0, #0xfffffff007294000
0xfffffff0089fe750: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089fe754: 43e3ce97  bl	#0xfffffff007db7460
0xfffffff0089fe758: a0578052  mov	w0, #0x2bd
0xfffffff0089fe75c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0089fe760: 7f9e00f9  str	xzr, [x19, #0x138]
0xfffffff0089fe764: 7f2201b9  str	wzr, [x19, #0x120]
0xfffffff0089fe768: 7f920439  strb	wzr, [x19, #0x124]
0xfffffff0089fe76c: 9f5a0039  strb	wzr, [x20, #0x16]
0xfffffff0089fe770: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0089fe774: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0089fe778: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0089fe77c: ff830191  add	sp, sp, #0x60
0xfffffff0089fe780: ff0f5fd6  retab	
0xfffffff0089fe784: 7f2303d5  pacibsp	
0xfffffff0089fe788: ff0301d1  sub	sp, sp, #0x40
0xfffffff0089fe78c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0089fe790: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0089fe794: fdc30091  add	x29, sp, #0x30
0xfffffff0089fe798: f30300aa  mov	x19, x0
0xfffffff0089fe79c: 085841b9  ldr	w8, [x0, #0x158]
0xfffffff0089fe7a0: ea2a8052  mov	w10, #0x157
0xfffffff0089fe7a4: c944ff90  adrp	x9, #0xfffffff007296000
0xfffffff0089fe7a8: 29411d91  add	x9, x9, #0x750
0xfffffff0089fe7ac: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0089fe7b0: e80300f9  str	x8, [sp]
0xfffffff0089fe7b4: a044ffd0  adrp	x0, #0xfffffff007294000
0xfffffff0089fe7b8: 00400c91  add	x0, x0, #0x310
0xfffffff0089fe7bc: 4182ffb0  adrp	x1, #0xfffffff007a47000
0xfffffff0089fe7c0: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089fe7c4: c344ffb0  adrp	x3, #0xfffffff007297000
0xfffffff0089fe7c8: 63d82591  add	x3, x3, #0x976
