; Candidate 14303
; ADRP+ADD at VM 0xfffffff009760640 (fileoff 0x275c640): page=0xc2b000 add_imm=0xea8

0xfffffff0097605c0: c00100b5  cbnz	x0, #0xfffffff0097605f8
0xfffffff0097605c4: b00240f9  ldr	x16, [x21]
0xfffffff0097605c8: f10315aa  mov	x17, x21
0xfffffff0097605cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097605d0: 301ac1da  autda	x16, x17
0xfffffff0097605d4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097605d8: 1002118b  add	x16, x16, x17
0xfffffff0097605dc: 080240f9  ldr	x8, [x16]
0xfffffff0097605e0: e90310aa  mov	x9, x16
0xfffffff0097605e4: e00315aa  mov	x0, x21
0xfffffff0097605e8: 010080d2  mov	x1, #0
0xfffffff0097605ec: f10309aa  mov	x17, x9
0xfffffff0097605f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097605f4: 11093fd7  blraa	x8, x17
0xfffffff0097605f8: e00315aa  mov	x0, x21
0xfffffff0097605fc: 1821fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760600: e00315aa  mov	x0, x21
0xfffffff009760604: 1621fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760608: c00100b5  cbnz	x0, #0xfffffff009760640
0xfffffff00976060c: b00240f9  ldr	x16, [x21]
0xfffffff009760610: f10315aa  mov	x17, x21
0xfffffff009760614: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009760618: 301ac1da  autda	x16, x17
0xfffffff00976061c: 114380d2  mov	x17, #0x218
0xfffffff009760620: 1002118b  add	x16, x16, x17
0xfffffff009760624: 080240f9  ldr	x8, [x16]
0xfffffff009760628: e90310aa  mov	x9, x16
0xfffffff00976062c: e00315aa  mov	x0, x21
0xfffffff009760630: 010080d2  mov	x1, #0
0xfffffff009760634: f10309aa  mov	x17, x9
0xfffffff009760638: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976063c: 11093fd7  blraa	x8, x17
0xfffffff009760640: 406100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009760644: 00a03a91  add	x0, x0, #0xea8
0xfffffff009760648: c410ae97  bl	#0xfffffff0082e4958
0xfffffff00976064c: f60300aa  mov	x22, x0
0xfffffff009760650: e00315aa  mov	x0, x21
0xfffffff009760654: 0221fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760658: f70300aa  mov	x23, x0
0xfffffff00976065c: e00100b5  cbnz	x0, #0xfffffff009760698
0xfffffff009760660: b00240f9  ldr	x16, [x21]
0xfffffff009760664: f10315aa  mov	x17, x21
0xfffffff009760668: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976066c: 301ac1da  autda	x16, x17
0xfffffff009760670: 113d80d2  mov	x17, #0x1e8
0xfffffff009760674: 1002118b  add	x16, x16, x17
0xfffffff009760678: 080240f9  ldr	x8, [x16]
0xfffffff00976067c: e90310aa  mov	x9, x16
0xfffffff009760680: e00315aa  mov	x0, x21
0xfffffff009760684: 010080d2  mov	x1, #0
0xfffffff009760688: f10309aa  mov	x17, x9
0xfffffff00976068c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009760690: 11093fd7  blraa	x8, x17
0xfffffff009760694: f70300aa  mov	x23, x0
0xfffffff009760698: e00315aa  mov	x0, x21
0xfffffff00976069c: f020fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097606a0: f80300aa  mov	x24, x0
0xfffffff0097606a4: e00315aa  mov	x0, x21
0xfffffff0097606a8: ed20fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097606ac: e80300aa  mov	x8, x0
0xfffffff0097606b0: 79f1feb0  adrp	x25, #0xfffffff00758d000
0xfffffff0097606b4: 39c73491  add	x25, x25, #0xd31
0xfffffff0097606b8: e00319aa  mov	x0, x25
0xfffffff0097606bc: c80100b5  cbnz	x8, #0xfffffff0097606f4
