; Candidate 12360
; ADRP+ADD at VM 0xfffffff00908e018 (fileoff 0x208a018): page=0x1fe3cb000 add_imm=0xe24

0xfffffff00908df98: a70b40f9  ldr	x7, [x29, #0x10]
0xfffffff00908df9c: 870000b4  cbz	x7, #0xfffffff00908dfac
0xfffffff00908dfa0: f30a00b4  cbz	x19, #0xfffffff00908e0fc
0xfffffff00908dfa4: ff8400f1  cmp	x7, #0x21
0xfffffff00908dfa8: a20a0054  b.hs	#0xfffffff00908e0fc
0xfffffff00908dfac: 080e8052  mov	w8, #0x70
0xfffffff00908dfb0: 286b089b  madd	x8, x25, x8, x26
0xfffffff00908dfb4: 19210091  add	x25, x8, #8
0xfffffff00908dfb8: e00319aa  mov	x0, x25
0xfffffff00908dfbc: e10318aa  mov	x1, x24
0xfffffff00908dfc0: e20317aa  mov	x2, x23
0xfffffff00908dfc4: e30316aa  mov	x3, x22
0xfffffff00908dfc8: e40315aa  mov	x4, x21
0xfffffff00908dfcc: e50314aa  mov	x5, x20
0xfffffff00908dfd0: e60313aa  mov	x6, x19
0xfffffff00908dfd4: a3fdff97  bl	#0xfffffff00908d660
0xfffffff00908dfd8: 801effb0  adrp	x0, #0xfffffff00745e000
0xfffffff00908dfdc: 00f00991  add	x0, x0, #0x27c
0xfffffff00908dfe0: e10319aa  mov	x1, x25
0xfffffff00908dfe4: 46fdff97  bl	#0xfffffff00908d4fc
0xfffffff00908dfe8: 13008052  mov	w19, #0
0xfffffff00908dfec: 48018052  mov	w8, #0xa
0xfffffff00908dff0: 69034039  ldrb	w9, [x27]
0xfffffff00908dff4: 1f01096b  cmp	w8, w9
0xfffffff00908dff8: 63010054  b.lo	#0xfffffff00908e024
0xfffffff00908dffc: 687e4093  sxtw	x8, w19
0xfffffff00908e000: 891eff90  adrp	x9, #0xfffffff00745e000
0xfffffff00908e004: 29690891  add	x9, x9, #0x21a
0xfffffff00908e008: 6a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff00908e00c: 4a413c91  add	x10, x10, #0xf10
0xfffffff00908e010: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908e014: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908e018: 401efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908e01c: 00903891  add	x0, x0, #0xe24
0xfffffff00908e020: 0024cb97  bl	#0xfffffff008357020
0xfffffff00908e024: e00313aa  mov	x0, x19
0xfffffff00908e028: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00908e02c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00908e030: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00908e034: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00908e038: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00908e03c: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00908e040: ff430291  add	sp, sp, #0x90
0xfffffff00908e044: ff0f5fd6  retab	
0xfffffff00908e048: 282b8052  mov	w8, #0x159
0xfffffff00908e04c: 691efff0  adrp	x9, #0xfffffff00745d000
0xfffffff00908e050: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908e054: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908e058: 481efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908e05c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908e060: 6a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff00908e064: 4aad3c91  add	x10, x10, #0xf2b
0xfffffff00908e068: 2d000014  b	#0xfffffff00908e11c
0xfffffff00908e06c: 482b8052  mov	w8, #0x15a
0xfffffff00908e070: 691efff0  adrp	x9, #0xfffffff00745d000
0xfffffff00908e074: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908e078: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908e07c: 481efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908e080: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908e084: 8a1eff90  adrp	x10, #0xfffffff00745e000
0xfffffff00908e088: 4ab90891  add	x10, x10, #0x22e
0xfffffff00908e08c: 24000014  b	#0xfffffff00908e11c
0xfffffff00908e090: 682b8052  mov	w8, #0x15b
0xfffffff00908e094: 691efff0  adrp	x9, #0xfffffff00745d000
