; Candidate 4220
; ADRP+ADD at VM 0xfffffff008797160 (fileoff 0x1793160): page=0x1fe99a000 add_imm=0xd90

0xfffffff0087970e0: 87f4fe97  bl	#0xfffffff0087542fc
0xfffffff0087970e4: 603a58f9  ldr	x0, [x19, #0x3070]
0xfffffff0087970e8: 9555d897  bl	#0xfffffff007dac73c
0xfffffff0087970ec: 75090035  cbnz	w21, #0xfffffff008797218
0xfffffff0087970f0: 15008052  mov	w21, #0
0xfffffff0087970f4: 00008052  mov	w0, #0
0xfffffff0087970f8: 886640b9  ldr	w8, [x20, #0x64]
0xfffffff0087970fc: e8080035  cbnz	w8, #0xfffffff008797218
0xfffffff008797100: 55000014  b	#0xfffffff008797254
0xfffffff008797104: 294eff90  adrp	x9, #0xfffffff00715b000
0xfffffff008797108: 29451491  add	x9, x9, #0x511
0xfffffff00879710c: e92300a9  stp	x9, x8, [sp]
0xfffffff008797110: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797114: 00403691  add	x0, x0, #0xd90
0xfffffff008797118: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879711c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797120: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797124: 63882091  add	x3, x3, #0x822
0xfffffff008797128: 02008052  mov	w2, #0
0xfffffff00879712c: 0170ee97  bl	#0xfffffff008333130
0xfffffff008797130: a0598052  mov	w0, #0x2cd
0xfffffff008797134: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008797138: 47000014  b	#0xfffffff008797254
0xfffffff00879713c: 68e66ab9  ldr	w8, [x19, #0x2ae4]
0xfffffff008797140: 28030034  cbz	w8, #0xfffffff0087971a4
0xfffffff008797144: e00313aa  mov	x0, x19
0xfffffff008797148: e10314aa  mov	x1, x20
0xfffffff00879714c: ecfdff97  bl	#0xfffffff0087968fc
0xfffffff008797150: a0020034  cbz	w0, #0xfffffff0087971a4
0xfffffff008797154: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797158: 08451491  add	x8, x8, #0x511
0xfffffff00879715c: e80300f9  str	x8, [sp]
0xfffffff008797160: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797164: 00403691  add	x0, x0, #0xd90
0xfffffff008797168: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879716c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797170: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797174: 63442291  add	x3, x3, #0x891
0xfffffff008797178: 02008052  mov	w2, #0
0xfffffff00879717c: ed6fee97  bl	#0xfffffff008333130
0xfffffff008797180: 687241f9  ldr	x8, [x19, #0x2e0]
0xfffffff008797184: 896240b9  ldr	w9, [x20, #0x60]
0xfffffff008797188: 290d4092  and	x9, x9, #0xf
0xfffffff00879718c: 0a178252  mov	w10, #0x10b8
0xfffffff008797190: 21210a9b  madd	x1, x9, x10, x8
0xfffffff008797194: e00313aa  mov	x0, x19
0xfffffff008797198: 92f9ff97  bl	#0xfffffff0087957e0
0xfffffff00879719c: 75278052  mov	w21, #0x13b
0xfffffff0087971a0: 1e000014  b	#0xfffffff008797218
0xfffffff0087971a4: 846240b9  ldr	w4, [x20, #0x60]
0xfffffff0087971a8: e1e30091  add	x1, sp, #0x38
0xfffffff0087971ac: e2d30091  add	x2, sp, #0x34
0xfffffff0087971b0: e3c30091  add	x3, sp, #0x30
0xfffffff0087971b4: e00313aa  mov	x0, x19
0xfffffff0087971b8: 5cfeff97  bl	#0xfffffff008796b28
0xfffffff0087971bc: a0050034  cbz	w0, #0xfffffff008797270
0xfffffff0087971c0: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087971c4: 08451491  add	x8, x8, #0x511
0xfffffff0087971c8: e80300f9  str	x8, [sp]
0xfffffff0087971cc: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087971d0: 00403691  add	x0, x0, #0xd90
0xfffffff0087971d4: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087971d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087971dc: 834dffb0  adrp	x3, #0xfffffff007148000
