; Candidate 13078
; ADRP+ADD at VM 0xfffffff0091e0240 (fileoff 0x21dc240): page=0x1fe2bf000 add_imm=0xcfa

0xfffffff0091e01c0: 000c3591  add	x0, x0, #0xd43
0xfffffff0091e01c4: 97dbc597  bl	#0xfffffff008357020
0xfffffff0091e01c8: c8890090  adrp	x8, #0xfffffff00a318000
0xfffffff0091e01cc: 013941f9  ldr	x1, [x8, #0x270]
0xfffffff0091e01d0: 900240f9  ldr	x16, [x20]
0xfffffff0091e01d4: f10314aa  mov	x17, x20
0xfffffff0091e01d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e01dc: 301ac1da  autda	x16, x17
0xfffffff0091e01e0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0091e01e4: e90310aa  mov	x9, x16
0xfffffff0091e01e8: e00314aa  mov	x0, x20
0xfffffff0091e01ec: e20317aa  mov	x2, x23
0xfffffff0091e01f0: f10309aa  mov	x17, x9
0xfffffff0091e01f4: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff0091e01f8: 11093fd7  blraa	x8, x17
0xfffffff0091e01fc: b00240f9  ldr	x16, [x21]
0xfffffff0091e0200: f10315aa  mov	x17, x21
0xfffffff0091e0204: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e0208: 301ac1da  autda	x16, x17
0xfffffff0091e020c: 112380d2  mov	x17, #0x118
0xfffffff0091e0210: 1002118b  add	x16, x16, x17
0xfffffff0091e0214: 080240f9  ldr	x8, [x16]
0xfffffff0091e0218: e90310aa  mov	x9, x16
0xfffffff0091e021c: e00315aa  mov	x0, x21
0xfffffff0091e0220: 41008052  mov	w1, #2
0xfffffff0091e0224: f10309aa  mov	x17, x9
0xfffffff0091e0228: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff0091e022c: 11093fd7  blraa	x8, x17
0xfffffff0091e0230: e10316aa  mov	x1, x22
0xfffffff0091e0234: b00ec497  bl	#0xfffffff0082e3cf4
0xfffffff0091e0238: f50300aa  mov	x21, x0
0xfffffff0091e023c: 800000b5  cbnz	x0, #0xfffffff0091e024c
0xfffffff0091e0240: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e0244: 00e83391  add	x0, x0, #0xcfa
0xfffffff0091e0248: 76dbc597  bl	#0xfffffff008357020
0xfffffff0091e024c: b00240f9  ldr	x16, [x21]
0xfffffff0091e0250: f10315aa  mov	x17, x21
0xfffffff0091e0254: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e0258: 301ac1da  autda	x16, x17
0xfffffff0091e025c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0091e0260: e90310aa  mov	x9, x16
0xfffffff0091e0264: e00315aa  mov	x0, x21
0xfffffff0091e0268: f10309aa  mov	x17, x9
0xfffffff0091e026c: d1d1faf2  movk	x17, #0xd68e, lsl #48
0xfffffff0091e0270: 11093fd7  blraa	x8, x17
0xfffffff0091e0274: 80f20239  strb	w0, [x20, #0xbc]
0xfffffff0091e0278: 1f440071  cmp	w0, #0x11
0xfffffff0091e027c: 28008052  mov	w8, #1
0xfffffff0091e0280: 0821c01a  lsl	w8, w8, w0
0xfffffff0091e0284: 08450012  and	w8, w8, #0x3ffff
0xfffffff0091e0288: 08410f12  and	w8, w8, #0xfffe0003
0xfffffff0091e028c: 0499407a  ccmp	w8, #0, #4, ls
0xfffffff0091e0290: 61020054  b.ne	#0xfffffff0091e02dc
0xfffffff0091e0294: e803002a  mov	w8, w0
0xfffffff0091e0298: e80300f9  str	x8, [sp]
0xfffffff0091e029c: e015fff0  adrp	x0, #0xfffffff00749f000
0xfffffff0091e02a0: 00143691  add	x0, x0, #0xd85
0xfffffff0091e02a4: 5fdbc597  bl	#0xfffffff008357020
0xfffffff0091e02a8: c8890090  adrp	x8, #0xfffffff00a318000
0xfffffff0091e02ac: 013d41f9  ldr	x1, [x8, #0x278]
0xfffffff0091e02b0: 900240f9  ldr	x16, [x20]
0xfffffff0091e02b4: f10314aa  mov	x17, x20
0xfffffff0091e02b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e02bc: 301ac1da  autda	x16, x17
