; Candidate 16878
; ADRP+ADD at VM 0xfffffff009fd2158 (fileoff 0x2fce158): page=0x1fdd74000 add_imm=0xd10

0xfffffff009fd20d8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff009fd20dc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff009fd20e0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff009fd20e4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff009fd20e8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff009fd20ec: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff009fd20f0: ffc30291  add	sp, sp, #0xb0
0xfffffff009fd20f4: ff0f5fd6  retab	
0xfffffff009fd20f8: 7f2303d5  pacibsp	
0xfffffff009fd20fc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009fd2100: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009fd2104: fd430091  add	x29, sp, #0x10
0xfffffff009fd2108: a8ebfe90  adrp	x8, #0xfffffff007d46000
0xfffffff009fd210c: 109146f9  ldr	x16, [x8, #0xd20]
0xfffffff009fd2110: d00100b4  cbz	x16, #0xfffffff009fd2148
0xfffffff009fd2114: a8ebfe90  adrp	x8, #0xfffffff007d46000
0xfffffff009fd2118: 08813491  add	x8, x8, #0xd20
0xfffffff009fd211c: f10308aa  mov	x17, x8
0xfffffff009fd2120: f163e3f2  movk	x17, #0x1b1f, lsl #48
0xfffffff009fd2124: 3012c1da  autia	x16, x17
0xfffffff009fd2128: f10310aa  mov	x17, x16
0xfffffff009fd212c: f143c1da  xpaci	x17
0xfffffff009fd2130: 1f0211eb  cmp	x16, x17
0xfffffff009fd2134: 40000054  b.eq	#0xfffffff009fd213c
0xfffffff009fd2138: 008e38d4  brk	#0xc470
0xfffffff009fd213c: 51a697d2  mov	x17, #0xbd32
0xfffffff009fd2140: 3002c1da  pacia	x16, x17
0xfffffff009fd2144: 300100b5  cbnz	x16, #0xfffffff009fd2168
0xfffffff009fd2148: 8d0f0094  bl	#0xfffffff009fd5f7c
0xfffffff009fd214c: f30300aa  mov	x19, x0
0xfffffff009fd2150: 5cdefe97  bl	#0xfffffff009f89ac0
0xfffffff009fd2154: e20300aa  mov	x2, x0
0xfffffff009fd2158: a0ebfe90  adrp	x0, #0xfffffff007d46000
0xfffffff009fd215c: 00403491  add	x0, x0, #0xd10
0xfffffff009fd2160: e10313aa  mov	x1, x19
0xfffffff009fd2164: 72e2ff97  bl	#0xfffffff009fcab2c
0xfffffff009fd2168: a0ebfe90  adrp	x0, #0xfffffff007d46000
0xfffffff009fd216c: 00403491  add	x0, x0, #0xd10
0xfffffff009fd2170: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009fd2174: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009fd2178: ff0f5fd6  retab	
0xfffffff009fd217c: 7f2303d5  pacibsp	
0xfffffff009fd2180: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff009fd2184: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009fd2188: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009fd218c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009fd2190: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009fd2194: fd030191  add	x29, sp, #0x40
0xfffffff009fd2198: f30304aa  mov	x19, x4
0xfffffff009fd219c: f40303aa  mov	x20, x3
0xfffffff009fd21a0: f50302aa  mov	x21, x2
0xfffffff009fd21a4: f60301aa  mov	x22, x1
0xfffffff009fd21a8: f70300aa  mov	x23, x0
0xfffffff009fd21ac: 1a0840f9  ldr	x26, [x0, #0x10]
0xfffffff009fd21b0: e00301aa  mov	x0, x1
0xfffffff009fd21b4: bee8ff97  bl	#0xfffffff009fcc4ac
0xfffffff009fd21b8: f80300aa  mov	x24, x0
0xfffffff009fd21bc: e80317aa  mov	x8, x23
0xfffffff009fd21c0: 098d41f8  ldr	x9, [x8, #0x18]!
0xfffffff009fd21c4: e00317aa  mov	x0, x23
0xfffffff009fd21c8: e10318aa  mov	x1, x24
0xfffffff009fd21cc: f10308aa  mov	x17, x8
0xfffffff009fd21d0: f18bf5f2  movk	x17, #0xac5f, lsl #48
0xfffffff009fd21d4: 31093fd7  blraa	x9, x17
