; Candidate 10481
; ADRP+ADD at VM 0xfffffff008d78ad4 (fileoff 0x1d74ad4): page=0x1585000 add_imm=0xd30

0xfffffff008d78a54: 11093fd7  blraa	x8, x17
0xfffffff008d78a58: f7060091  add	x23, x23, #1
0xfffffff008d78a5c: ff0e00f1  cmp	x23, #3
0xfffffff008d78a60: 81f4ff54  b.ne	#0xfffffff008d788f0
0xfffffff008d78a64: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008d78a68: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008d78a6c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008d78a70: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008d78a74: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008d78a78: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff008d78a7c: ffc30191  add	sp, sp, #0x70
0xfffffff008d78a80: ff0f5fd6  retab	
0xfffffff008d78a84: 5f2403d5  bti	c
0xfffffff008d78a88: 1bafd517  b	#0xfffffff0082e46f4
0xfffffff008d78a8c: 7f2303d5  pacibsp	
0xfffffff008d78a90: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d78a94: fd030091  mov	x29, sp
0xfffffff008d78a98: a031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d78a9c: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d78aa0: 3cc2d697  bl	#0xfffffff008329390
0xfffffff008d78aa4: 28ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d78aa8: 003501f9  str	x0, [x8, #0x268]
0xfffffff008d78aac: a031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d78ab0: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d78ab4: 37c2d697  bl	#0xfffffff008329390
0xfffffff008d78ab8: 28ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d78abc: 003901f9  str	x0, [x8, #0x270]
0xfffffff008d78ac0: a031fff0  adrp	x0, #0xfffffff0073af000
0xfffffff008d78ac4: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d78ac8: 32c2d697  bl	#0xfffffff008329390
0xfffffff008d78acc: 28ac00f0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d78ad0: 003d01f9  str	x0, [x8, #0x278]
0xfffffff008d78ad4: 20ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d78ad8: 00c03491  add	x0, x0, #0xd30
0xfffffff008d78adc: e131ffb0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d78ae0: 21f02091  add	x1, x1, #0x83c
0xfffffff008d78ae4: 22ac00b0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008d78ae8: 42e02d91  add	x2, x2, #0xb78
0xfffffff008d78aec: 03068052  mov	w3, #0x30
0xfffffff008d78af0: 12acd597  bl	#0xfffffff0082e3b38
0xfffffff008d78af4: 106bffd0  adrp	x16, #0xfffffff007ada000
0xfffffff008d78af8: 10022991  add	x16, x16, #0xa40
0xfffffff008d78afc: 10420091  add	x16, x16, #0x10
0xfffffff008d78b00: f10300aa  mov	x17, x0
0xfffffff008d78b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d78b08: 300ac1da  pacda	x16, x17
0xfffffff008d78b0c: 100000f9  str	x16, [x0]
0xfffffff008d78b10: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d78b14: ff0f5fd6  retab	
0xfffffff008d78b18: 5f2403d5  bti	c
0xfffffff008d78b1c: 20ac00b0  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d78b20: 00c03491  add	x0, x0, #0xd30
0xfffffff008d78b24: f4aed517  b	#0xfffffff0082e46f4
0xfffffff008d78b28: 7f2303d5  pacibsp	
0xfffffff008d78b2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d78b30: fd030091  mov	x29, sp
0xfffffff008d78b34: e131ffb0  adrp	x1, #0xfffffff0073b5000
0xfffffff008d78b38: 21e42191  add	x1, x1, #0x879
0xfffffff008d78b3c: 22ac00d0  adrp	x2, #0xfffffff00a2fe000
0xfffffff008d78b40: 42c01191  add	x2, x2, #0x470
0xfffffff008d78b44: 03068052  mov	w3, #0x30
0xfffffff008d78b48: fcabd597  bl	#0xfffffff0082e3b38
0xfffffff008d78b4c: 106bffd0  adrp	x16, #0xfffffff007ada000
0xfffffff008d78b50: 10422f91  add	x16, x16, #0xbd0
