; Candidate 9024
; ADRP+ADD at VM 0xfffffff00898c9dc (fileoff 0x19889dc): page=0x1fe8f7000 add_imm=0xdbd

0xfffffff00898c95c: 84f43691  add	x4, x4, #0xdbd
0xfffffff00898c960: eacf00a9  stp	x10, x19, [sp, #8]
0xfffffff00898c964: e00300f9  str	x0, [sp]
0xfffffff00898c968: e00315aa  mov	x0, x21
0xfffffff00898c96c: 61008052  mov	w1, #3
0xfffffff00898c970: e20316aa  mov	x2, x22
0xfffffff00898c974: 03008052  mov	w3, #0
0xfffffff00898c978: f10308aa  mov	x17, x8
0xfffffff00898c97c: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898c980: 31093fd7  blraa	x9, x17
0xfffffff00898c984: 1c000014  b	#0xfffffff00898c9f4
0xfffffff00898c988: 88324239  ldrb	w8, [x20, #0x8c]
0xfffffff00898c98c: 08030034  cbz	w8, #0xfffffff00898c9ec
0xfffffff00898c990: 900240f9  ldr	x16, [x20]
0xfffffff00898c994: f70314aa  mov	x23, x20
0xfffffff00898c998: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff00898c99c: f10314aa  mov	x17, x20
0xfffffff00898c9a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898c9a4: 301ac1da  autda	x16, x17
0xfffffff00898c9a8: 113d80d2  mov	x17, #0x1e8
0xfffffff00898c9ac: 1002118b  add	x16, x16, x17
0xfffffff00898c9b0: 080240f9  ldr	x8, [x16]
0xfffffff00898c9b4: e90310aa  mov	x9, x16
0xfffffff00898c9b8: e00314aa  mov	x0, x20
0xfffffff00898c9bc: 010080d2  mov	x1, #0
0xfffffff00898c9c0: f10309aa  mov	x17, x9
0xfffffff00898c9c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898c9c8: 11093fd7  blraa	x8, x17
0xfffffff00898c9cc: a847fff0  adrp	x8, #0xfffffff007283000
0xfffffff00898c9d0: 084d3791  add	x8, x8, #0xdd3
0xfffffff00898c9d4: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff00898c9d8: e00300f9  str	x0, [sp]
0xfffffff00898c9dc: a047fff0  adrp	x0, #0xfffffff007283000
0xfffffff00898c9e0: 00f43691  add	x0, x0, #0xdbd
0xfffffff00898c9e4: 8f29e797  bl	#0xfffffff008357020
0xfffffff00898c9e8: 03000014  b	#0xfffffff00898c9f4
0xfffffff00898c9ec: f70314aa  mov	x23, x20
0xfffffff00898c9f0: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff00898c9f4: 955640f9  ldr	x21, [x20, #0xa8]
0xfffffff00898c9f8: 900240f9  ldr	x16, [x20]
0xfffffff00898c9fc: f01ac1da  autda	x16, x23
0xfffffff00898ca00: 11cd80d2  mov	x17, #0x668
0xfffffff00898ca04: 1002118b  add	x16, x16, x17
0xfffffff00898ca08: 080240f9  ldr	x8, [x16]
0xfffffff00898ca0c: e90310aa  mov	x9, x16
0xfffffff00898ca10: f00308aa  mov	x16, x8
0xfffffff00898ca14: f10309aa  mov	x17, x9
0xfffffff00898ca18: 7140e5f2  movk	x17, #0x2a03, lsl #48
0xfffffff00898ca1c: 3012c1da  autia	x16, x17
0xfffffff00898ca20: f10310aa  mov	x17, x16
0xfffffff00898ca24: f143c1da  xpaci	x17
0xfffffff00898ca28: 1f0211eb  cmp	x16, x17
0xfffffff00898ca2c: 40000054  b.eq	#0xfffffff00898ca34
0xfffffff00898ca30: 008e38d4  brk	#0xc470
0xfffffff00898ca34: 31a897d2  mov	x17, #0xbd41
0xfffffff00898ca38: 3002c1da  pacia	x16, x17
0xfffffff00898ca3c: e10310aa  mov	x1, x16
0xfffffff00898ca40: f00200b5  cbnz	x16, #0xfffffff00898ca9c
0xfffffff00898ca44: 10000090  adrp	x16, #0xfffffff00898c000
0xfffffff00898ca48: 10f22b91  add	x16, x16, #0xafc
0xfffffff00898ca4c: b10795d2  mov	x17, #0xa83d
0xfffffff00898ca50: 3002c1da  pacia	x16, x17
0xfffffff00898ca54: e10310aa  mov	x1, x16
0xfffffff00898ca58: e00314aa  mov	x0, x20
