; Candidate 9866
; ADRP+ADD at VM 0xfffffff008b65e68 (fileoff 0x1b61e68): page=0x1fef2e000 add_imm=0xdf0

0xfffffff008b65de8: 08050011  add	w8, w8, #1
0xfffffff008b65dec: a85a00b9  str	w8, [x21, #0x58]
0xfffffff008b65df0: 810640f9  ldr	x1, [x20, #8]
0xfffffff008b65df4: 223effd0  adrp	x2, #0xfffffff00732b000
0xfffffff008b65df8: 42ec2a91  add	x2, x2, #0xabb
0xfffffff008b65dfc: 433efff0  adrp	x3, #0xfffffff007330000
0xfffffff008b65e00: 63300f91  add	x3, x3, #0x3cc
0xfffffff008b65e04: e00313aa  mov	x0, x19
0xfffffff008b65e08: 28c6e297  bl	#0xfffffff0084176a8
0xfffffff008b65e0c: 00080034  cbz	w0, #0xfffffff008b65f0c
0xfffffff008b65e10: a80240b9  ldr	w8, [x21]
0xfffffff008b65e14: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65e18: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65e1c: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65e20: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65e24: 00400c91  add	x0, x0, #0x310
0xfffffff008b65e28: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65e2c: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65e30: 033eff90  adrp	x3, #0xfffffff007325000
0xfffffff008b65e34: 63940391  add	x3, x3, #0xe5
0xfffffff008b65e38: 02008052  mov	w2, #0
0xfffffff008b65e3c: bd34df97  bl	#0xfffffff008333130
0xfffffff008b65e40: 800640f9  ldr	x0, [x20, #8]
0xfffffff008b65e44: 100040f9  ldr	x16, [x0]
0xfffffff008b65e48: f10300aa  mov	x17, x0
0xfffffff008b65e4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65e50: 301ac1da  autda	x16, x17
0xfffffff008b65e54: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65e58: e90310aa  mov	x9, x16
0xfffffff008b65e5c: f10309aa  mov	x17, x9
0xfffffff008b65e60: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65e64: 11093fd7  blraa	x8, x17
0xfffffff008b65e68: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65e6c: 00c03791  add	x0, x0, #0xdf0
0xfffffff008b65e70: 66ffff17  b	#0xfffffff008b65c08
0xfffffff008b65e74: b3578052  mov	w19, #0x2bd
0xfffffff008b65e78: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65e7c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008b65e80: 000540f9  ldr	x0, [x8, #8]
0xfffffff008b65e84: 100040f9  ldr	x16, [x0]
0xfffffff008b65e88: f10300aa  mov	x17, x0
0xfffffff008b65e8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65e90: 301ac1da  autda	x16, x17
0xfffffff008b65e94: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65e98: e90310aa  mov	x9, x16
0xfffffff008b65e9c: f10309aa  mov	x17, x9
0xfffffff008b65ea0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65ea4: 11093fd7  blraa	x8, x17
0xfffffff008b65ea8: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff008b65eac: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008b65eb0: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65eb4: 00c03491  add	x0, x0, #0xd30
0xfffffff008b65eb8: 97ffff17  b	#0xfffffff008b65d14
0xfffffff008b65ebc: b3578052  mov	w19, #0x2bd
0xfffffff008b65ec0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b65ec4: a80240b9  ldr	w8, [x21]
0xfffffff008b65ec8: 493efff0  adrp	x9, #0xfffffff007330000
0xfffffff008b65ecc: 29ad0a91  add	x9, x9, #0x2ab
0xfffffff008b65ed0: e82700a9  stp	x8, x9, [sp]
0xfffffff008b65ed4: 003dff90  adrp	x0, #0xfffffff007305000
0xfffffff008b65ed8: 00400c91  add	x0, x0, #0x310
0xfffffff008b65edc: 4179ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008b65ee0: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008b65ee4: 033eff90  adrp	x3, #0xfffffff007325000
